ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
978-4-06-510175-9	NeuN 1		高橋ツトム			講談社		2017.9				ヤングマガジン				¥650	
978-4-06-510176-6	うそつきは初恋のはじまり 3		西島黎			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510177-3	育てち魔おう! 5		飯島浩介			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510179-7	UQ HOLDER! 14		赤松健			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510180-3	ハピネス 6		押見修造			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510182-7	バウンダー 2	最強の少年項羽	大山タクミ			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510183-4	ふらいんぐうぃっち 6		石塚千尋			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510184-1	100万の命の上に俺は立っている 3		奈央晃徳 漫画	山川直輝 原作		講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510195-7	将来的に死んでくれ 2		長門知大			講談社		2017.9				週刊少年マガジン	Shonen Magazine Comics			¥429	
978-4-06-510197-1	ちびドラ! 1		宮本ちゆ			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510199-5	零 影巫女 7		hakus 漫画	天樹征丸 原作		講談社		2017.9				週刊少年マガジン	SHONEN MAGAZINE COMICS			¥429	
978-4-06-510201-5	かつて神だった獣たちへ 6		めいびい			講談社		2017.9				週刊少年マガジン				¥429	
978-4-06-510211-4	7人のシェイクスピア 第1部3		ハロルド作石		新装版	講談社		2017.9				ヤングマガジン				¥1000	
978-4-06-510226-8	1日外出録ハンチョウ 2		上原求 漫画	福本伸行 協力		講談社		2017.9				ヤングマガジン				¥580	
978-4-07-423893-4	よくわかる強迫症	小さなことが気になって、やめられないあなたへ	有園正俊 著	上島国利 監修		主婦の友社		2017.10	127p	21cm		こころのクスリBOOKS				¥1400	
978-4-07-425107-0	和食屋の「だし」おかず	これだけでしみじみうまい。	笠原将弘 著			主婦の友社		2017.10	111p	21cm						¥1280	
978-4-07-425219-0	ずぼらでもやせるおからごはん		今泉久美 料理			主婦の友社		2017.9	65p	26cm		主婦の友生活シリーズ				¥750	
978-4-07-425857-4	大人の動物占いPREMIUM 2018年版	動物占いイヤーブック	主婦の友社 編			主婦の友社		2017.10	399p	19cm						¥1000	
978-4-07-426093-5	いつも買う鶏むね・豚こまで!おいしい糖質オフ	節約しながらダイエット!				主婦の友社		2017.9	97p	26cm		主婦の友生活シリーズ				¥780	
978-4-07-426101-7	「間取りにもデザインにも工夫がある家」ベスト50					主婦の友社		2017.9	289p	27cm		はじめての家づくり特装版				¥1900	
978-4-07-426130-7	薬も手術もいらない!脊柱管狭窄症は自宅で治せる	歩けなくなってしまってからではもう手遅れ今すぐ実践して症状を改善!	『健康』編集部 編			主婦の友インフォス	主婦の友社	2017.9	65p	27cm		主婦の友ヒットシリーズ	しあわせMOOK			¥880	
978-4-07-426207-6	秋野菜があれば!おいしい旬レシピ					主婦の友社		2017.9	97p	26cm		主婦の友生活シリーズ	季節の野菜レシピシリーズ			¥680	
978-4-07-426213-7	大人のpremium PLUS 1 LIVING VOL.5					主婦の友社		2017.9	146p	30cm					しなやかに生きるあの人の暮らしとインテリア	¥1380	
978-4-07-426354-7	授かり力アップ!妊活女子の『冷えとり』ガイド	子宮ポカポカ!授かり体質に♥				主婦の友社		2017.9	95p	23cm		主婦の友生活シリーズ				¥980	
978-4-07-426437-7	簡単!ふわふわボンボンマスコット80	くるくる巻けば、初めてでもすぐできる	主婦の友社 編			主婦の友社		2017.10	63p	26cm						¥1100	
978-4-07-427069-9	みんな元気にやすらぎ体操	みるみる健康、そこそこ長生き!	テレビ朝日 著	尾陰由美子 運動指導		主婦の友社		2017.9	47p	26cm	DVDビデオディスク(1枚 12cm)	主婦の友生活シリーズ				¥1200	
978-4-08-102234-2	ワンピース・マガジン Vol.3	ONE PIECE magazine	尾田栄一郎 原作			集英社		2017.9	167p	26cm		SHUEISHA MOOK				¥900	
978-4-08-608049-1	天明の月 2		前田珠子 著			集英社		2017.9	183p	15cm		コバルト文庫 ま2-120	破妖の剣外伝			¥540	
978-4-08-608050-7	変装令嬢と家出騎士	縁談が断れなくてツライです。	秋杜フユ 著			集英社		2017.9	285p	15cm		コバルト文庫 あ25-9				¥600	
978-4-08-703425-7	暗殺教室	殺たん センター試験から私大・国立まで!問題集の時間	松井優征 原作	久麻當郎 小説		集英社		2017.9	191p	21cm		JUMP J BOOKS				¥1200	
978-4-08-703426-4	BORUTO-ボルト- NOVEL3	NARUTO NEXT GENERATIONS	重信康 小説	岸本斉史 原作		集英社		2017.9	256p	18cm		JUMP J BOOKS			忍の夜を照らす者!	¥650	
978-4-08-771120-2	死神と道連れ		赤川次郎 著			集英社		2017.9	227p	19cm		SUZUME BUS	怪異名所巡り 9			¥1300	
978-4-08-780819-3	a Table	雅姫のテーブル12カ月	雅姫 著			集英社		2017.9	125p	21×21cm						¥1500	
978-4-08-780820-9	ゆめみやげ		夢眠ねむ 著			集英社		2017.9	111p	21cm						¥1500	
978-4-08-781635-8	会社の中の発達障害	いつも嫌なことを言う上司、いつも迷惑をかける部下	星野仁彦 著			集英社		2017.9	189p	19cm						¥1200	
978-4-08-881137-6	伝説の勇者の婚活 4		中村尚儁			集英社		2017.9				ジャンプコミックス	SQ			¥438	
978-4-08-881149-9	千早さんはそのままでいい 3		くずしろ			集英社		2017.9				ジャンプコミックス	SQ.			¥438	
978-4-08-881151-2	終極エンゲージ 2		三輪ヨシユキ 漫画	江藤俊司 原作		集英社		2017.9				ジャンプコミックス				¥400	
978-4-08-881154-3	ふたりぼっち戦争 1		肘原えるぼ			集英社		2017.9				ジャンプコミックス				¥438	
978-4-08-881155-0	逆転裁判 3	その「真実」、異議あり!	影山なおゆき 漫画	カプコン 原作		集英社		2017.9				ジャンプコミックス			逆転、そしてサヨナラ	¥480	
978-4-08-881157-4	僕のヒーローアカデミアすまっしゅ!! 4		根田啓史	堀越耕平		集英社		2017.9				ジャンプコミックス				¥350	
978-4-08-881158-1	誰が賢者を殺したか? 3		三雲ネリ 作画	奈々本篠介 原作		集英社		2017.9				ジャンプコミックス				¥400	
978-4-08-881159-8	ROUTE END 2		中川海二			集英社		2017.9				ジャンプコミックス				¥514	
978-4-08-881174-1	血界戦線Back 2 Back 3		内藤泰弘			集英社		2017.9				ジャンプコミックス	SQ.		深夜大戦	¥438	
978-4-08-881201-4	ゆらぎ荘の幽奈さん 7		ミウラタダヒロ			集英社		2017.9				ジャンプコミックス			コガラシ救出大作戦	¥400	
978-4-08-881202-1	僕のヒーローアカデミア Vol.15	MY HERO ACADEMIA	堀越耕平 著			集英社		2017.9	177p	18cm		ジャンプコミックス			抗う運命	¥400	
978-4-08-881203-8	火ノ丸相撲 16		川田 著			集英社		2017.9	1冊	18cm		ジャンプコミックス			どうだった…?	¥400	
978-4-08-881204-5	食戟のソーマ 26		佐伯俊 作画	附田祐斗 原作		集英社		2017.9	190p	18cm		ジャンプコミックス			2nd BOUT	¥400	
978-4-08-881205-2	約束のネバーランド 5	THE PROMISED NEVERLAND	出水ぽすか 作画	白井カイウ 原作		集英社		2017.9	193p	18cm		ジャンプコミックス			脱出	¥400	
978-4-08-881241-0	奴隷遊戯 1		木村隆志 漫画	ヤマイナナミ 原作		集英社		2017.9				ジャンプコミックス				¥514	
978-4-08-881242-7	命を分けたきみと、人生最後の夢をみる 2		小倉祐也	ウェルザード		集英社		2017.9				ジャンプコミックス				¥400	
978-4-08-881247-2	ド級編隊エグゼロス 1		きただりょうま			集英社		2017.9				ジャンプコミックス				¥438	
978-4-08-881249-6	ヴィジランテ-僕のヒーローアカデミアILLEGALS- 2		別天荒人 作画	古橋秀之 脚本		集英社		2017.9				ジャンプコミックス			断罪	¥438	
978-4-08-881257-1	エンペラーといっしょ 4		mato			集英社		2017.9				ジャンプコミックス				¥850	
978-4-08-881258-8	TVアニメ僕のヒーローアカデミア公式ガイドブックUltimate Animation Guide		堀越耕平	週刊少年ジャンプ編集部 編		集英社		2017.9								¥850	
978-4-08-881259-5	Dr.STONE 2		Boichi 作画	稲垣理一郎 原作		集英社		2017.9				ジャンプコミックス			石の世界の二つの国	¥400	
978-4-08-881263-2	キン肉マン 第60巻		ゆでたまご 著			集英社		2017.9				ジャンプコミックス			完璧超人始祖よ、永遠に!!の巻	¥400	
978-4-09-112557-6	はじめてアンパンマン ふりふり号	0・1さいおすわりできたら				小学館		2017.9	32p	26cm		小学館のカラーワイド				¥980	
978-4-09-116443-8	仮面ライダービルド	へんしんせよ!かめんライダービルド!!				小学館		2017.9	18p	27cm		てれびくんギンピカシール絵本				¥550	
978-4-09-139409-5	キミはそのときケモノになるもっと×4		時山はじめ 著			小学館		2017.9				モバフラフラワーコミックスα				¥454	
978-4-09-139410-1	同居人は秘密のSカレ 2		綺条有都 著			小学館		2017.9				モバフラフラワーコミックスα				¥454	
978-4-09-139422-4	社長とあんあん〜12時前のシンデレラ〜		佐々木柚奈			小学館		2017.9				モバフラフラワーコミックスα				¥454	
978-4-09-139429-3	猫山さん 2	新井理恵劇場	新井理恵 著			小学館		2017.9				flowersフラワーコミックスα				¥429	
978-4-09-139440-8	きっと愛してしまうんだ。 4		一井かずみ 著			小学館		2017.9				プチコミックフラワーコミックスα				¥429	
978-4-09-139442-2	キラキラ♥ドロップ		はやかわともこ 著			小学館		2017.9				プチコミックフラワーコミックスα				¥429	
978-4-09-139443-9	突然ですが、明日結婚します 8		宮園いづみ			小学館		2017.9				プチコミックフラワーコミックスα				¥429	
978-4-09-139569-6	深夜のダメ恋図鑑 3		尾崎衣良 著			小学館		2017.9				プチコミックフラワーコミックスα				¥429	
978-4-09-189623-0	血の轍 1		押見修造 著			小学館		2017.9				ビッグコミックス				¥600	
978-4-09-310860-7	DVD映像でよく分かる脳卒中片マヒのリハビリ入院中から始める「川平法」		川平和美 監修			小学館		2017.9	39p	21cm	DVDビデオディスク(1枚 12cm)					¥1600	
978-4-09-388575-1	ただのオタクで売れてない芸人で借金300万円あったボクが、年収800万円になった件について。		向清太朗 著			小学館		2017.9	166p	19cm						¥1200	
978-4-09-406375-2	くそったれバッキー・デント		デイヴィッド・ドゥカヴニー 著	高取芳彦 訳		小学館		2017.9	455p	16cm		小学館文庫 ト4-2				¥850	
978-4-09-406440-7	猫のほそ道	ノラ猫俳句旅	嵐山光三郎 著	浅生ハルミン 絵		小学館		2017.9	219p	16cm		小学館文庫 あ4-2				¥770	
978-4-09-406448-3	食料植民地ニッポン		青沼陽一郎 著			小学館		2017.9	349p	16cm		小学館文庫 あ14-3				¥650	
978-4-09-406450-6	未完の贈り物	娘には目も鼻もありません	倉本美香 著			小学館		2017.9	365p	16cm		小学館文庫 く14-1				¥670	
978-4-09-406451-3	小説あさひなぐ		きりしま志帆 著	こざき亜衣 原作		小学館		2017.9	205p	16cm		小学館文庫 き6-1				¥510	
978-4-09-406452-0	千の命		植松三十里 著			小学館		2017.9	380p	16cm		小学館文庫 う9-3				¥670	
978-4-09-406453-7	伴侶の偏差値		深沢潮 著			小学館		2017.9	316p	16cm		小学館文庫 ふ2-1				¥620	
978-4-09-406458-2	独裁者ですが、なにか?		荒木源 著			小学館		2017.9	215p	16cm		小学館文庫 あ19-9				¥510	
978-4-09-682257-9	熊を彫る人	木彫りの熊が誘うアイヌの森 命を紡ぐ彫刻家・藤戸竹喜の仕事	在本彌生 写真	村岡俊也 文		小学館		2017.9	120p	26×13cm						¥2300	
978-4-09-726714-0	くねくね!	小さい子どものための手遊び絵本	クレール・ズケリ・ローマー 作			小学館		2017.9	1冊(ページ付なし)	17×17cm		デコボコえほん				¥1400	
978-4-09-726737-9	だっこっこ	おはなし7つ 0・1・2歳ママバッグえほん	100%ORANGE ほか作			小学館		2017.9	43p	22cm						¥980	
978-4-10-772003-0	HIDE AND SEEK 1		榊カルラ 著			新潮社		2017.9				BUNCH COMICS				¥580	
978-4-10-772004-7	子育てビフォーアフター 1		吉川景都 著			新潮社		2017.9				BUNCH COMICS				¥560	
978-4-10-772006-1	間違った子を魔法少女にしてしまった 2		双龍 著			新潮社		2017.9				BUNCH COMICS				¥580	
978-4-10-772007-8	その日、宇宙は地球を知る 2		中島こうき 著			新潮社		2017.9				BUNCH COMICS				¥580	
978-4-10-772008-5	宇宙戦艦ティラミス 4		伊藤亰 作画	宮川サトシ 原作		新潮社		2017.9				BUNCH COMICS				¥580	
978-4-10-772009-2	少女終末旅行 5		つくみず			新潮社		2017.9				BUNCH COMICS				¥580	
978-4-10-772010-8	エリア51 15		久正人			新潮社		2017.9				BUNCH COMICS				¥600	
978-4-10-772011-5	BTOOOM! 24		井上淳哉			新潮社		2017.9				BUNCH COMICS				¥580	
978-4-10-910098-4	わが心の京都府警		樋口文和 著			新潮社図書編集室	新潮社	2017.8	211p	19cm						¥1300	
978-4-12-005001-5	秋田實笑いの変遷		藤田富美恵 著			中央公論新社		2017.9	285p	20cm						¥1850	
978-4-12-005002-2	『戦争論』入門	クラウゼヴィッツに学ぶ戦略・戦術・兵站	清水多吉 著			中央公論新社		2017.9	317p	20cm						¥2200	
978-4-12-005003-9	厄祓いの極意		江原啓之 著			中央公論新社		2017.9	228p	18cm						¥1100	
978-4-12-150594-1	統計は暴走する		佐々木彈 著			中央公論新社		2017.9	254p	18cm		中公新書ラクレ 594				¥780	
978-4-12-150595-8	教育とは何?	日本のエリートはニセモノか	尾木直樹 著	茂木健一郎 著		中央公論新社		2017.9	188p	18cm		中公新書ラクレ 595				¥780	
978-4-12-206449-2	花咲舞が黙ってない		池井戸潤 著			中央公論新社		2017.9	428p	16cm		中公文庫 い125-1				¥740	
978-4-15-001923-5	樹脂		エーネ・リール 著	枇谷玲子 訳		早川書房		2017.9	263p	19cm		HAYAKAWA POCKET MYSTERY BOOKS 1923				¥1600	
978-4-15-012140-2	偽アルマディスト		デトレフ・G.ヴィンター 著	H.G.エーヴェルス 著		早川書房		2017.9	271p	16cm		ハヤカワ文庫 SF 2140	宇宙英雄ローダン・シリーズ 552			¥660	
978-4-15-012142-6	ネクサス 上		ラメズ・ナム 著	中原尚哉 訳		早川書房		2017.9	351p	16cm		ハヤカワ文庫 SF 2142				¥860	
978-4-15-012143-3	ネクサス 下		ラメズ・ナム 著	中原尚哉 訳		早川書房		2017.9	362p	16cm		ハヤカワ文庫 SF 2143				¥860	
978-4-15-041418-4	放たれた虎		ミック・ヘロン 著	田村義進 訳		早川書房		2017.9	509p	16cm		ハヤカワ文庫 NV 1418				¥1160	
978-4-15-050508-0	マインドハンター	FBI連続殺人プロファイリング班	ジョン・ダグラス 著	マーク・オルシェイカー 著		早川書房		2017.9	375p	16cm		ハヤカワ文庫 NF 508				¥960	
978-4-15-182901-7	東の果て、夜へ		ビル・ビバリー 著	熊谷千寿 訳		早川書房		2017.9	447p	16cm		ハヤカワ・ミステリ文庫 HM 454-1				¥920	
978-4-15-209706-4	あなたの脳のはなし	神経科学者が解き明かす意識の謎	デイヴィッド・イーグルマン 著	大田直子 訳		早川書房		2017.9	282p	19cm						¥1800	
978-4-15-209707-1	海の地政学	海軍提督が語る歴史と戦略	ジェイムズ・スタヴリディス 著	北川知子 訳		早川書房		2017.9	324p	20cm						¥2200	
978-4-15-209708-8	LIFE DESIGN	スタンフォード式最高の人生設計	ビル・バーネット 著	デイヴ・エヴァンス 著		早川書房		2017.9	314p	19cm						¥1600	
978-4-15-209709-5	機龍警察狼眼殺手		月村了衛 著			早川書房		2017.9	485p	20cm		ハヤカワ・ミステリワールド				¥1900	
978-4-16-390361-3	女と骨盤		片山洋次郎 著			文藝春秋		2017.9	238p	19cm						¥1300	
978-4-16-390718-5	消滅遊戯		ロジャー・ホッブズ 著	田口俊樹 訳		文藝春秋		2017.9	383p	20cm		ゴーストマン 2				¥1900	
978-4-16-390720-8	希望が死んだ夜に		天祢涼 著			文藝春秋		2017.9	268p	19cm						¥1700	
