ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
978-4-16-790919-2	晩鐘 上		佐藤愛子 著			文藝春秋		2017.9	218p	16cm		文春文庫 さ18-27				¥600	
978-4-16-790920-8	晩鐘 下		佐藤愛子 著			文藝春秋		2017.9	296p	16cm		文春文庫 さ18-28				¥640	
978-4-16-790921-5	侵入者	自称小説家 Pierrots	折原一 著			文藝春秋		2017.9	426p	16cm		文春文庫 お26-18				¥880	
978-4-16-790922-2	遠謀	奏者番陰記録	上田秀人 著			文藝春秋		2017.9	317p	16cm		文春文庫 う34-1				¥680	
978-4-16-790923-9	紀尾井坂版元殺人事件	書き下ろし時代小説	風野真知雄 著			文藝春秋		2017.9	229p	16cm		文春文庫 か46-35	耳袋秘帖	殺人事件シリーズ 23		¥620	
978-4-16-790924-6	暗闘七人		鳥羽亮 著			文藝春秋		2017.9	275p	16cm		文春文庫 と26-13	八丁堀「鬼彦組」激闘篇 2			¥670	
978-4-16-790925-3	高丘親王航海記		澁澤龍彦 著		新装版	文藝春秋		2017.9	267p	16cm		文春文庫 し21-7				¥720	
978-4-16-790926-0	冬日淡々		佐伯泰英 著		決定版	文藝春秋		2017.9	337p	16cm		文春文庫 さ63-64	酔いどれ小籐次 14			¥720	
978-4-16-790927-7	鬼平犯科帳 18		池波正太郎 著		決定版	文藝春秋		2017.9	303p	16cm		文春文庫 い4-118				¥660	
978-4-16-790928-4	鬼平犯科帳 19		池波正太郎 著		決定版	文藝春秋		2017.9	377p	16cm		文春文庫 い4-119				¥740	
978-4-16-790929-1	古今盛衰抄		田辺聖子 著			文藝春秋		2017.9	342p	16cm		文春文庫 た3-55				¥830	
978-4-16-790930-7	藤沢周平句集		藤沢周平 著			文藝春秋		2017.9	198p	16cm		文春文庫 ふ1-69				¥700	
978-4-16-790931-4	ナショナリズムの正体		半藤一利 著	保阪正康 著		文藝春秋		2017.9	281p	16cm		文春文庫 は8-33				¥690	
978-4-16-790932-1	仲代達矢が語る日本映画黄金時代		仲代達矢 述	春日太一 著	完全版	文藝春秋		2017.9	309p	16cm		文春文庫 か71-3				¥790	
978-4-16-790933-8	哲学散歩		木田元 著			文藝春秋		2017.9	222p	16cm		文春文庫 き45-1				¥660	
978-4-16-790935-2	池上彰のこれが「世界のルール」だ!		池上彰 著			文藝春秋		2017.9	307p	16cm		文春文庫 い81-7				¥660	
978-4-18-143711-4	3年目教師勝負の学級づくり	マンネリの毎日を脱却する極め付きの指導技術56	授業力&学級づくり研究会 著			明治図書出版		2017.9	126p	22cm		教師力ステップアップ				¥1760	
978-4-18-143815-9	3年目教師勝負の授業づくり	伸び悩みの壁を脱出する極め付きの指導技術56	授業力&学級づくり研究会 著			明治図書出版		2017.9	126p	22cm		教師力ステップアップ				¥1760	
978-4-18-215118-7	担任になったら必ず身につけたい!小学校低学年困った場面の指導法	この1冊で指導法と予防法が分かる!	広山隆行 著			明治図書出版		2017.9	151p	22cm		学級経営サポートBOOKS				¥1760	
978-4-19-710502-1	LOVEberry vol.9	JC→JKのためのファッション♡コスメ♡ヘアアレBOOK♥				徳間書店		2017.9	111p	29cm		TOWNMOOK				¥546	
978-4-19-770182-7	ブロウ		オオヒラヨウ 著			ティーダワークス	徳間書店	2017.9				ANIMAGE COMICS miere				¥680	
978-4-19-827011-7	神秘の絶景写真:アメージング・ジャパン	English and Japanese written together				CHRONICLE BOOKS JAPAN	徳間書店	2017.9	67p	37cm		ATM MOOK				¥926	
978-4-19-827013-1	キャンプ・グッズ・マガジン	おしゃれなキャンプ用品集めてみました全402製品				CHRONICLE BOOKS JAPAN	徳間書店	2017.9	129p	29cm		ATM MOOK				¥926	
978-4-19-850974-3	京都・舞鶴殺人事件	書下し長篇ミステリー	梓林太郎 著			徳間書店		2017.9	254p	18cm		TOKUMA NOVELS	道原伝吉シリーズ			¥900	
978-4-19-864467-3	んで、今日本だすの♥	柿原徹也パーソナルBOOK	柿原徹也 著			徳間書店		2017.9	93p	26cm						¥3000	
978-4-19-864470-3	BATSUGUN	TRUTH STORY BATSUGUN COMIC+MUSIC CD+MAKING	井上淳哉 著	GAMEgene編集部 編		アンビット	徳間書店	2017.9	267p	23cm	録音ディスク(1枚 12cm)					¥2200	
978-4-19-894148-2	暴虐連鎖		南英男 著			徳間書店		2017.9	333p	15cm		徳間文庫 み14-123	潜入刑事 3			¥660	
978-4-19-894253-3	ミステリ博物館		赤川次郎 著			徳間書店		2017.9	391p	15cm		徳間文庫 あ1-96				¥670	
978-4-19-894254-0	御松茸騒動		朝井まかて 著			徳間書店		2017.9	293p	15cm		徳間文庫 あ57-2	徳間時代小説文庫			¥640	
978-4-19-894255-7	修羅		麻倉一矢 著			徳間書店		2017.9	294p	15cm		徳間文庫 あ61-5	徳間時代小説文庫	将軍の影法師葵慎之助 4		¥640	
978-4-19-894256-4	中韓を滅ぼす儒教の呪縛		井沢元彦 著			徳間書店		2017.9	262p	15cm		徳間文庫 い17-19				¥700	
978-4-19-894257-1	人妻オークション		草凪優 著			徳間書店		2017.9	317p	15cm		徳間文庫 く16-31				¥640	
978-4-19-894260-1	無間如来		武内涼 著			徳間書店		2017.9	313p	15cm		徳間文庫 た61-4	徳間時代小説文庫	妖草師 4		¥660	
978-4-19-894261-8	デュアル・ライフ	二重生活	夏樹静子 著			徳間書店		2017.9	477p	15cm		徳間文庫 な21-21				¥820	
978-4-19-894262-5	空色バウムクーヘン		吉野万理子 著			徳間書店		2017.9	365p	15cm		徳間文庫 よ26-1				¥670	
978-4-19-894263-2	ダブルチェイサー	警察庁広域機動隊	六道慧 著			徳間書店		2017.9	381p	15cm		徳間文庫 り7-24				¥670	
978-4-251-04430-3	ビブリオバトルへ、ようこそ!		濱野京子 作	森川泉 絵		あかね書房		2017.9	207p	21cm		スプラッシュ・ストーリーズ 30				¥1300	
978-4-253-13112-4	月に手をのばせ 9	QPトム&ジェリー外伝	奥嶋ひろまさ 漫画	高橋ヒロシ 原作		秋田書店		2017.9				SHŌNEN CHAMPION COMICS EXTRA				¥562	
978-4-253-13281-7	聖闘士星矢NEXT DIMENSION冥王神話 11		車田正美			秋田書店		2017.9				SHŌNEN CHAMPION COMICS EXTRA				¥714	
978-4-253-21973-0	ビンゾー 3	BINZO	古谷野孝雄			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22021-7	サンセットローズ 21		米原秀幸			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22042-2	魔法少女・オブ・ジ・エンド 16		佐藤健太郎			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22077-4	ヨメクラ 7		千明太郎			秋田書店		2017.9				SHŌNEN CHAMPION COMICS				¥429	
978-4-253-22358-4	刃牙道 18		板垣恵介			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22407-9	魔法少女サイト 7		佐藤健太郎			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22455-0	ハリガネサービス 17	HARIGANE service	荒達哉 著			秋田書店		2017.9	184p	18cm		少年チャンピオン・コミックス				¥429	
978-4-253-22569-4	いいなり 4		糸杉柾宏			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22677-6	SHONANセブン 11		高橋伸輔 漫画	藤沢とおる 原作		秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22712-4	弱虫ペダル 52		渡辺航 著			秋田書店		2017.9	180p	18cm		少年チャンピオン・コミックス				¥429	
978-4-253-22746-9	SAND STORM SLUGGER 6		高嶋栄充			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22794-0	鮫島、最後の十五日 14		佐藤タカヒロ			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22809-1	Gメン 14	G-MEN	小沢としお			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-253-22822-0	あつまれ!ふしぎ研究部 #2		安部真弘			秋田書店		2017.9				少年チャンピオン・コミックス				¥429	
978-4-254-18051-0	環境のための数学・統計学ハンドブック		Frank R.Spellman 著	Nancy E.Whiting 著		朝倉書店		2017.9	809p	22cm						¥20000	
978-4-254-26171-4	コンクリート工学		大塚浩司 著	武田三弘 著	第3版	朝倉書店		2017.9	181p	21cm						¥2800	
978-4-265-08153-0	たからもののあなた		まつおりかこ 作・絵			岩崎書店		2017.9	1冊(ページ付なし)	24cm		えほんのぼうけん 83				¥1300	
978-4-265-08225-4	せん		あらいひろゆき 作・絵			岩崎書店		2017.9	1冊(ページ付なし)	16cm		すこやかあかちゃんえほん 5				¥850	
978-4-267-02092-6	受け継がれる平和の心	原水爆禁止宣言と神奈川	創価学会神奈川青年部 編			潮出版社		2017.9	127p	21cm						¥741	
978-4-267-02100-8	民衆こそ王者 10	池田大作とその時代	「池田大作とその時代」編纂委員会 著			潮出版社		2017.9	196p	19cm					「炎の海を越えて」篇	¥954	
978-4-267-02101-5	太陽の心で 第1巻	忘れ得ぬ旅	池田大作 著			潮出版社		2017.9	95p	21cm						¥741	
978-4-274-22095-1	算数でめぐるグルグル!地球のふしぎ		アン・ルーニー 著	みちしたのぶひろ 訳		オーム社		2017.9	32p	26cm		算数パワーでやってみよう! 2				¥1900	
978-4-274-50665-9	配線器具入門	安全な設計・施工・取扱いのポイント	高橋秀憲 共著	川島政敏 共著	改訂2版	オーム社		2017.9	230p	21cm						¥2200	
978-4-284-20404-0	こどもブッダのことば	悩みや不安にふりまわされない!	齋藤孝 監修			日本図書センター		2017.9	71p	21cm						¥1500	
978-4-286-18320-6	世界で一番お酒に弱い日本人	自分のアルコール体質を知って、お酒とうまく付き合うために	横井秀輔 著			文芸社		2017.9	185p	19cm						¥1200	
978-4-286-18555-2	清風の記憶	二河城棗盗難始末記	深江允 著			文芸社		2017.9	122p	19cm						¥1000	
978-4-286-18574-3	統合失調症セキララ	とーしつ娘は問題児?	藤木美和 著			文芸社		2017.9	111p	20cm						¥1100	
978-4-286-18581-1	おじいさん		啞無 さく・え			文芸社		2017.9	1冊(ページ付なし)	19×27cm						¥1200	
978-4-286-18628-3	観光の誕生	人はなぜ旅をするのか	樫井賢一 著			文芸社		2017.9	215p	19cm						¥1200	
978-4-290-08635-7	博多高等学校 30年春受験用					教英出版		2017	6冊	26cm		福岡県私立高等学校入学試験問題集 9				¥2300	
978-4-290-08640-1	東筑紫学園<照曜館>高等学校 30年春受験用					教英出版		2017	6冊	26cm		福岡県私立高等学校入学試験問題集 14				¥2500	
978-4-290-08642-5	敬愛高等学校 30年春受験用					教英出版		2017	6冊	26cm		福岡県私立高等学校入学試験問題集 16				¥2400	
978-4-290-08647-0	筑陽学園高等学校<専願入試> 30年春受験用					教英出版		2017	7冊	26cm		福岡県私立高等学校入学試験問題集 21				¥2300	
978-4-290-08648-7	筑陽学園高等学校<前期入試> 30年春受験用					教英出版		2017	6冊	26cm		福岡県私立高等学校入学試験問題集 22				¥2400	
978-4-290-08650-0	筑紫台高等学校 30年春受験用					教英出版		2017	6冊	26cm		福岡県私立高等学校入学試験問題集 24				¥2400	
978-4-290-08838-2	山梨英和中学校 30年春受験用					教英出版		2017	4冊	26cm		山梨県私立中学校入学試験問題集 1				¥2300	
978-4-290-08839-9	山梨学院中学校 30年春受験用					教英出版		2017	4冊	26cm		山梨県私立中学校入学試験問題集 2				¥2500	
978-4-290-08949-5	県立兵庫県立大学附属中学校 30年春受験用					教英出版		2017	9冊	26cm		兵庫県国立・公立・私立中学校入学試験問題集 2				¥2300	
978-4-290-09029-3	済美平成中等教育学校 30年春受験用					教英出版		2017	5冊	26cm		愛媛県公立・私立中学校入学試験問題集 3				¥2500	
978-4-290-09030-9	新田青雲中等教育学校 30年春受験用					教英出版		2017	5冊	26cm		愛媛県公立・私立中学校入学試験問題集 4				¥2500	
978-4-290-09216-7	鹿児島県公立高等学校入学試験問題集 30年春受験用					教英出版		2017	6冊	26cm						¥850	
978-4-290-09217-4	沖縄県公立高等学校入学試験問題集 30年春受験用					教英出版		2017	6冊	26cm						¥850	
978-4-290-09261-7	愛知県公立高校Aグループ過去8年分入試問題集国語 30年春受験用					教英出版		2017	68p	30cm						¥550	
978-4-290-09262-4	愛知県公立高校Aグループ過去8年分入試問題集社会 30年春受験用					教英出版		2017	98p	30cm						¥600	
978-4-290-09263-1	愛知県公立高校Aグループ過去8年分入試問題集数学 30年春受験用					教英出版		2017	54p	30cm						¥550	
978-4-290-09264-8	愛知県公立高校Aグループ過去8年分入試問題集理科 30年春受験用					教英出版		2017	100p	30cm						¥600	
978-4-290-09265-5	愛知県公立高校Aグループ過去8年分入試問題集英語 30年春受験用					教英出版		2017	88p	30cm						¥550	
978-4-290-09266-2	愛知県公立高校Bグループ過去8年分入試問題集国語 30年春受験用					教英出版		2017	68p	30cm						¥550	
978-4-290-09267-9	愛知県公立高校Bグループ過去8年分入試問題集社会 30年春受験用					教英出版		2017	98p	30cm						¥600	
978-4-290-09268-6	愛知県公立高校Bグループ過去8年分入試問題集数学 30年春受験用					教英出版		2017	54p	30cm						¥550	
978-4-290-09269-3	愛知県公立高校Bグループ過去8年分入試問題集理科 30年春受験用					教英出版		2017	100p	30cm						¥600	
978-4-290-09270-9	愛知県公立高校Bグループ過去8年分入試問題集英語 30年春受験用					教英出版		2017	88p	30cm						¥550	
978-4-295-00193-5	格安スマホ・格安SIM乗り換え完全ガイド	できる 乗り換えの「モヤモヤ」をすべて解決!	法林岳之 著	白根雅彦 著		インプレス		2017.9	127p	26cm						¥980	
978-4-295-00205-5	Rではじめる機械学習	データサイズを抑えて軽量な環境で攻略法を探る 機械学習を手軽に試せる!	長橋賢吾 著			インプレス		2017.9	15, 318p	24cm		impress top gear				¥3600	
978-4-295-00209-3	世界一やさしいアマゾン グーグル YouTubeの使いかた					インプレス		2017.9	79p	28cm		impress mook				¥480	
978-4-295-00224-6	これからのSIerの話をしよう	エンジニアの働き方改革	梅田弘之 著			インプレス		2017.9	206p	21cm		Think IT BOOKS				¥1800	
978-4-295-00231-4	徹底攻略Cisco CCNA Routing & Switching問題集ICND2編<200-105J><200-125J>V3.0対応	試験番号200-105J 200-125J	ソキウス・ジャパン 編・著			インプレス		2017.9	606p	21cm						¥2750	
978-4-295-00232-1	5000円ではじめる仮想通貨投資入門	ビットコイン、イーサリアム、リップル、ネムの買い方・売り方・育て方	上野義治 著			インプレス		2017.9	174p	19cm						¥1500	
978-4-295-00234-5	VRを気軽に体験モバイルVRコンテンツを作ろう!		酒井駿介 著			インプレス		2017.9	97p	24cm		THINK IT BOOKS				¥1800	
978-4-295-40125-4	ひとり暮らしビジネスマンのための食事と健康大改善		松村和夏 著			クロスメディア・パブリッシング	インプレス	2017.9	190p	19cm		Business Life 020				¥1280	
978-4-306-09448-2	復興百年誌	石碑が語る関東大震災	武村雅之 著			鹿島出版会		2017.9	294p	20cm						¥3400	
978-4-307-05051-7	臨床脳波検査スキルアップ		所司睦文 著	小野澤裕也 著	第2版	金原出版		2017.9	306p	26cm						¥5200	
978-4-309-02608-4	池澤夏樹、文学全集を編む		河出書房新社編集部 編			河出書房新社		2017.9	239p	21cm						¥1600	
978-4-309-27881-0	濱直史の美しい立体切り絵	鮮やかな色と繊細な影が重なるペーパーアート	濱直史 著			河出書房新社		2017.9	47p	26cm						¥1500	
978-4-309-28643-3	夫の恋を許せますか?	もう一度、彼を信じたいあなたへ	武石晃一 監修		増補新版	河出書房新社		2017.9	253p	19cm						¥1400	
978-4-309-28644-0	樹脂粘土で作るかわいいスイーツデコのアクセサリー	絶賛!ミニチュアスイーツ73			改訂新版	河出書房新社		2017.9	63p	24cm						¥1200	
978-4-309-28646-4	バター・卵なしのやさしいパウンドケーキSteamed & Baked		今井洋子 著			河出書房新社		2017.9	79p	26cm						¥1500	
978-4-309-41560-4	ゼロの日に叫ぶ		似鳥鶏 著			河出書房新社		2017.9	411p	15cm		河出文庫 に7-3	戦力外捜査官 3			¥740	
978-4-309-41562-8	動きすぎてはいけない	ジル・ドゥルーズと生成変化の哲学	千葉雅也 著			河出書房新社		2017.9	475p	15cm		河出文庫 ち6-1				¥1000	
978-4-309-41563-5	がらくた少女と人喰い煙突		矢樹純 著			河出書房新社		2017.9	389p	15cm		河出文庫 や38-1				¥790	
978-4-309-41564-2	HOSONO百景	いつか夢に見た音の旅	細野晴臣 著	中矢俊一郎 編		河出書房新社		2017.9	268p	15cm		河出文庫 ほ13-1				¥750	
978-4-309-41565-9	性愛論		橋爪大三郎 著			河出書房新社		2017.9	259p	15cm		河出文庫 は21-2				¥900	
978-4-309-41566-6	疑問の黒枠		小酒井不木 著			河出書房新社		2017.9	298p	15cm		河出文庫 こ22-1				¥800	
978-4-309-46450-3	ほんとうの中国の話をしよう		余華 著	飯塚容 訳		河出書房新社		2017.9	283p	15cm		河出文庫 ヨ1-1				¥920	
978-4-309-46451-0	パタゴニア		ブルース・チャトウィン 著	芹沢真理子 訳		河出書房新社		2017.9	389p	15cm		河出文庫 チ6-1				¥1200	
978-4-313-13376-1	公務員の旅費法質疑応答集		旅費法令研究会 編		第6次改訂版	学陽書房		2017.9	271p	21cm						¥3200	
978-4-319-27848-0	茨城県の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	306p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-27874-9	群馬県の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	298p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-27900-5	千葉県・千葉市の小学校教諭過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	308p	21cm		教員採用試験過去問シリーズ 2				¥1500	
978-4-319-27940-1	新潟県・新潟市の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	317p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-28063-6	滋賀県の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	318p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-28166-4	岡山県・岡山市の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	305p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-28179-4	広島県・広島市の教職教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	294p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-28191-6	山口県の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	313p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-28241-8	高知県の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	326p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-28364-4	京都市の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	298p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-28376-7	神戸市の教職・一般教養過去問 2019年度版		協同教育研究会 編			協同出版		2017.9	316p	21cm		教員採用試験過去問シリーズ 1				¥1500	
978-4-319-45714-4	岩手県の数学科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	296p	21cm		教員採用試験参考書シリーズ 6				¥1500	
978-4-319-45725-0	宮城県・仙台市の数学科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	306p	21cm		教員採用試験参考書シリーズ 6				¥1500	
978-4-319-45795-3	群馬県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	323p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45808-0	埼玉県・さいたま市の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	318p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45845-5	神奈川県・横浜市・川崎市・相模原市の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	338p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45859-2	新潟県・新潟市の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	319p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45871-4	富山県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	323p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45883-7	石川県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	321p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45895-0	福井県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	322p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45907-0	山梨県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	312p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45920-9	長野県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	322p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45931-5	岐阜県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	329p	21cm		教員採用試験参考書シリーズ 4				¥1500	
978-4-319-45944-5	静岡県・静岡市・浜松市の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	320p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45956-8	愛知県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	328p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45981-0	滋賀県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	317p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-45994-0	京都府の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	330p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46006-9	大阪府・大阪市・堺市・豊能地区の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	320p	21cm		教員採用試験参考書シリーズ 4				¥1500	
978-4-319-46018-2	兵庫県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	315p	21cm		教員採用試験参考書シリーズ 4				¥1500	
978-4-319-46030-4	奈良県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	309p	21cm		教員採用試験参考書シリーズ 4				¥1500	
978-4-319-46043-4	和歌山県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	303p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46055-7	鳥取県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	305p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46068-7	島根県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	326p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46081-6	岡山県・岡山市の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	303p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46093-9	広島県・広島市の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	340p	21cm		教員採用試験参考書シリーズ 4				¥1500	
978-4-319-46104-2	山口県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	332p	21cm		教員採用試験参考書シリーズ 4				¥1500	
978-4-319-46117-2	徳島県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	340p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46129-5	香川県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	345p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46142-4	愛媛県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	326p	21cm		教員採用試験参考書シリーズ 5				¥1500	
978-4-319-46153-0	高知県の社会科参考書 2019年度版		協同教育研究会 編			協同出版		2017.9	336p	21cm		教員採用試験参考書シリーズ 4				¥1500	
978-4-320-05782-1	数理生物学講義 展開編	An Introductory Course in Mathematical Biology	齋藤保久 著	佐藤一憲 著		共立出版		2017.9	324p	26cm					数理モデル解析の講究	¥4400	
978-4-320-11254-4	最小二乗法・交互最小二乗法		森裕一 著	黒田正博 著		共立出版		2017.9	109p	21cm		統計学One Point 3				¥2200	
978-4-320-11255-1	時系列解析		柴田里程 著			共立出版		2017.9	124p	21cm		統計学One Point 4				¥2200	
978-4-322-13105-5	KINZAI Financial Plan No.391(2017.9)					金融財政事情研究会ファイナンシャル・プランニング技能士センター	きんざい	2017.9	68p	26cm					<特集>教育事情最前線	¥505	
978-4-322-13142-0	確定拠出年金関連法令条文集 2017年度版		三菱UFJ信託銀行株式会社確定拠出年金業務部 監修	きんざいファイナンシャル・プランナーズ・センター 編		きんざい		2017.9	204p	26cm		FPセレクション				¥1800	
978-4-323-07398-9	幽霊ランナー		岡田潤 作			金の星社		2017.8	205p	20cm						¥1300	
978-4-324-10375-3	自治六法 平成30年版		地方自治法令研究会 編集			ぎょうせい		2017.8	1冊	21cm						¥4000	
978-4-331-80368-4	相撲巡業の楽しみ方徹底ガイド		横野レイコ 著	荒井太郎 著		廣済堂出版		2017.9	96p	29cm		廣済堂ベストムック 363号				¥1200	
978-4-333-02760-6	友情の輪パプアニューギニアの人たちと		日野多香子 文			佼成出版社		2017.9	95p	22cm		はじめてのノンフィクションシリーズ				¥1300	
978-4-334-75360-3	オイディプス王		ソポクレス 著	河合祥一郎 訳		光文社		2017.9	166p	16cm		光文社古典新訳文庫 KAソ3-1				¥740	
978-4-334-75361-0	君主論		マキャヴェッリ 著	森川辰文 訳		光文社		2017.9	272p	16cm		光文社古典新訳文庫 KBマ2-1				¥860	
978-4-334-75362-7	ナルニア国物語 5		C.S.ルイス 著	土屋京子 訳		光文社		2017.9	409p	16cm		光文社古典新訳文庫 KAル1-5			ドーン・トレッダー号の航海	¥760	
978-4-334-77507-0	二十年かけて君と出会った		喜多嶋隆 著			光文社		2017.9	391p	16cm		光文社文庫 き1-58	CFギャング・シリーズ			¥720	
978-4-334-77510-0	おふるなボクたち		中島たい子 著			光文社		2017.9	295p	16cm		光文社文庫 な44-1				¥680	
978-4-334-77523-0	牡丹色のウエストポーチ	杉原爽香<44歳の春> 文庫オリジナル/長編青春ミステリー	赤川次郎 著			光文社		2017.9	318p	16cm		光文社文庫 あ1-170	杉原爽香シリーズ 30			¥620	
978-4-334-77524-7	ワイルド・サイドを歩け		東山彰良 著			光文社		2017.9	420p	16cm		光文社文庫 ひ16-3				¥740	
978-4-334-77525-4	私刑		川中大樹 著			光文社		2017.9	404p	16cm		光文社文庫 か56-3				¥900	
978-4-334-77526-1	奇妙な遺産	村主准教授のミステリアスな講座	大村友貴美 著			光文社		2017.9	283p	16cm		光文社文庫 お53-1				¥720	
978-4-334-77527-8	野心あらためず	日高見国伝	後藤竜二 著			光文社		2017.9	312p	16cm		光文社文庫 こ41-1				¥700	
978-4-334-77528-5	棟居刑事の東京夜会	長編推理小説	森村誠一 著			光文社		2017.9	365p	16cm		光文社文庫 も2-89				¥680	
978-4-334-77529-2	弱気の蟲	二大長編推理小説	松本清張 著			光文社		2017.9	487p	16cm		光文社文庫 ま1-48	光文社文庫プレミアム	松本清張プレミアム・ミステリー		¥800	
978-4-334-77530-8	わたしのおせっかい談義		沢村貞子 著		新装版	光文社		2017.9	252p	16cm		光文社文庫 さ7-5				¥600	
978-4-334-77531-5	関の孫六	文庫書下ろし/長編時代小説	藤井邦夫 著			光文社		2017.9	309p	16cm		光文社文庫 ふ20-23	光文社時代小説文庫	御刀番左京之介 8		¥580	
978-4-334-77532-2	寒梅	文庫書下ろし/長編時代小説	藤原緋沙子 著			光文社		2017.9	301p	16cm		光文社文庫 ふ17-22	光文社時代小説文庫	隅田川御用帳 17		¥600	
978-4-334-77534-6	つばき	長編時代小説	山本一力 著			光文社		2017.9	446p	16cm		光文社文庫 や29-2	光文社時代小説文庫			¥720	
