978-4-00-022236-5	ウィトゲンシュタインとウィリアム・ジェイムズ	プラグマティズムの水脈	ラッセル・B.グッドマン 著	嘉指信雄 訳		岩波書店		2017.8	324, 54p	20cm						¥4000	
978-4-00-026502-7	シリーズ刑事司法を考える 第2巻		指宿信 編集委員	木谷明 編集委員		岩波書店		2017.8	381p	22cm					捜査と弁護	¥3600	
978-4-00-029206-1	ジハード主義	アルカイダからイスラーム国へ	保坂修司 著			岩波書店		2017.8	234, 8p	19cm		岩波現代全書 106				¥2200	
978-4-00-061212-8	山川静夫の文楽思い出ばなし		山川静夫 著			岩波書店		2017.8	155p	20cm						¥1700	
978-4-00-061213-5	生体認証国家	グローバルな監視政治と南アフリカの近現代	キース・ブレッケンリッジ 著	堀内隆行 訳		岩波書店		2017.8	224, 58p	22cm						¥4200	
978-4-00-061214-2	ニュースクール	二〇世紀アメリカのしなやかな反骨者たち	紀平英作 著			岩波書店		2017.8	227, 11p	20cm						¥2400	
978-4-00-431674-9	一茶の相続争い	北国街道柏原宿訴訟始末	高橋敏 著			岩波書店		2017.8	184, 8p	18cm		岩波新書 新赤版 1674				¥760	
978-4-00-431675-6	日本文化をよむ	5つのキーワード	藤田正勝 著			岩波書店		2017.8	202p	18cm		岩波新書 新赤版 1675				¥780	
978-4-00-500858-2	漱石先生の手紙が教えてくれたこと		小山慶太 著			岩波書店		2017.8	209p	18cm		岩波ジュニア新書 858				¥880	
978-4-00-500859-9	マンボウのひみつ		澤井悦郎 著			岩波書店		2017.8	187, 2p	18cm		岩波ジュニア新書 859				¥1000	
978-4-01-094477-6	実践IELTS技能別問題集スピーキング		河野太一 著			旺文社		2017.8	279p	21cm						¥2400	
978-4-01-094478-3	実践IELTS技能別問題集ライティング		河野太一 著			旺文社		2017.8	295p	21cm						¥2300	
978-4-02-277535-1	脳卒中と心臓病のいい病院	血管を強くして突然死を防ぐ!				朝日新聞出版		2017.9	210p	29cm		週刊朝日MOOK				¥907	
978-4-02-278258-8	秋の京都 2017				ハンディ版	朝日新聞出版		2017.9	128p	23cm		ASAHI ORIGINAL			今年の秋は、紅葉×国宝	¥880	
978-4-03-202770-9	いっぽんのせんとマヌエル		パトリシオ・メナ 絵	マリア・ホセ・フェラーダ 文		偕成社		2017.9	36p	17×20cm						¥1300	
978-4-04-068583-0	オレん家のフロ事情 7		いときち			KADOKAWA		2017.8				MFコミックス	ジーンシリーズ			¥550	
978-4-04-068904-3	騙し絵の牙		塩田武士 著			KADOKAWA		2017.8	380p	20cm						¥1600	
978-4-04-069359-0	春日坂高校漫画研究部 3		島陰涙亜 漫画	あずまの章 原作		KADOKAWA		2017.8				MFコミックス	ジーンシリーズ			¥550	
978-4-04-069360-6	職人男子神田くん 2		木下さとし			KADOKAWA		2017.8				MFコミックス	ジーンシリーズ			¥550	
978-4-04-069362-0	ぼくのとなりに暗黒破壊神がいます。 8		亜樹新			KADOKAWA		2017.8				MFコミックス	ジーンシリーズ			¥550	
978-4-04-069364-4	被虐のノエル 1		しゃもじ 漫画	カナヲ 原作		KADOKAWA		2017.8				MFコミックス	ジーンシリーズ			¥550	
978-4-04-069366-8	RACK-13係の残酷器械- 10		荆木吠人			KADOKAWA		2017.8				MFコミックス	ジーンシリーズ			¥550	
978-4-04-105192-4	バック・ステージ	BACK STAGE	芦沢央 著			KADOKAWA		2017.8	267p	20cm						¥1500	
978-4-04-105286-0	蒼穹のアルトシエル 2		犬魔人 著			KADOKAWA		2017.9	268p	15cm		角川スニーカー文庫 い-3-1-2				¥640	
978-4-04-105295-2	SUPER LOVERS 11		あべ美幸 著			KADOKAWA		2017.9	156p	19cm		あすかコミックスCL-DX				¥600	
978-4-04-105390-4	本日も教官なり		小野寺史宜 著			KADOKAWA		2017.9	290p	19cm						¥1500	
978-4-04-105523-6	後宮香妃物語 2		伊藤たつき 著			KADOKAWA		2017.9	253p	15cm		角川ビーンズ文庫 BB60-30			二人の皇太子と真実の想い	¥600	
978-4-04-105572-4	オリンピックがやってきた	1964年北国の家族の物語	堀川アサコ 著			KADOKAWA		2017.9	259p	19cm						¥1500	
978-4-04-105653-0	mikulife	KEI画集	KEI 著			KADOKAWA		2017.8	126p	30cm						¥2500	
978-4-04-105684-4	緋色の玉座 2		高橋祐一 著			KADOKAWA		2017.9	285p	15cm		角川スニーカー文庫 た-7-2-2				¥640	
978-4-04-105723-0	地獄の犬たち	Hell dogs	深町秋生 著			KADOKAWA		2017.9	436p	20cm						¥1600	
978-4-04-105759-9	トゲもふ!はりねずみのあずき	I'm not a mouse,I'm a hedgehog!	角田修一 写真・文			KADOKAWA		2017.9	95p	19cm						¥1100	
978-4-04-105770-4	バトルガールハイスクール<オフィシャルアートワークス>	BATTLE GIRL HIGH SCHOOL OFFICIAL ARTWORKS	コロプラ 原作・監修・著			KADOKAWA		2017.8	175p	30cm						¥3000	
978-4-04-105778-0	いい子いい子してあげる	I will pet you on the head,my good boy	藤谷陽子 著			KADOKAWA		2017.9	170p	19cm		あすかコミックスCL-DX				¥600	
978-4-04-105826-8	神獣皇帝と初恋の誓い		市川紗弓 著			KADOKAWA		2017.9	250p	15cm		角川ルビー文庫 R196-1				¥660	
978-4-04-105829-9	からくりピエロ		40mP 著			KADOKAWA		2017.9	252p	15cm		角川ビーンズ文庫 BB509-1				¥580	
978-4-04-105867-1	冤罪犯		翔田寛 著			KADOKAWA		2017.8	303p	20cm						¥1600	
978-4-04-105900-5	好きになって、ゴメン。	I'm sorry that I love you	杉原マチコ 著			KADOKAWA		2017.9	155p	19cm		あすかコミックスCL-DX				¥600	
978-4-04-105966-1	竜は宝石たちと戯れる		鴇六連 著			KADOKAWA		2017.9	270p	15cm		角川ルビー文庫 R158-11	ドラゴンギルド			¥680	
978-4-04-105979-1	リトルウィッチアカデミアクロニクル	Little Witch Academia Chronicle	ニュータイプ 編	TRIGGER 監著		KADOKAWA		2017.8	237p	27cm						¥3600	
978-4-04-105984-5	打ち上げ花火、下から見るか?横から見るか?公式ビジュアルガイド		東宝 監修	シャフト 監修		KADOKAWA		2017.8	123p	28cm						¥1700	
978-4-04-105996-8	けものフレンズコミックアラカルト ジャパリパーク編その2		けものフレンズプロジェクト 原作	少年エース編集部 編		KADOKAWA		2017.8	158p	18cm		角川コミックス・エース				¥600	
978-4-04-106021-6	千葉ジェッツの奇跡	Bリーグ集客ナンバー1クラブの秘密	島田慎二 著			KADOKAWA		2017.9	203p	19cm						¥1400	
978-4-04-106030-8	ウォーター&ビスケットのテーマ 1		河野裕 著	河端ジュン一 著		KADOKAWA		2017.9	383p	15cm		角川スニーカー文庫 こ-1-3-1			コンビニを巡る戦争	¥660	
978-4-04-106036-0	悪役令嬢なのでラスボスを飼ってみました		永瀬さらさ 著			KADOKAWA		2017.9	254p	15cm		角川ビーンズ文庫 BB90-8				¥600	
978-4-04-106040-7	放課後ヒロインプロジェクト!		藤並みなと 著			KADOKAWA		2017.9	255p	15cm		角川ビーンズ文庫 BB94-5				¥580	
978-4-04-106041-4	女王陛下と呼ばないで		柏てん 著			KADOKAWA		2017.9	238p	15cm		角川ビーンズ文庫 BB116-5				¥600	
978-4-04-106043-8	天狗様と永遠の契り		天野かづき 著			KADOKAWA		2017.9	217p	15cm		角川ルビー文庫 R97-49				¥600	
978-4-04-106108-4	アウトサイド・アカデミア!!	《留年組》は最強なので、チートな教師と卒業します	神秋昌史 著			KADOKAWA		2017.9	319p	15cm		角川スニーカー文庫 か-5-3-1				¥620	
978-4-04-106122-0	後輩がこんなにスパダリなんて聞いてない		chi‐co 著			KADOKAWA		2017.9	222p	15cm		角川ルビー文庫 R175-3				¥600	
978-4-04-106211-1	白虎さまの守り神		雨月夜道 著			KADOKAWA		2017.9	230p	15cm		角川ルビー文庫 R191-2				¥640	
978-4-04-601892-2	歩くだけで不調が消える歩行禅のすすめ		塩沼亮潤 著			KADOKAWA		2017.9	239p	19cm						¥1400	
978-4-04-601916-5	「君の名は。」で古文・和歌の読み方が面白いほどわかる本		渡部泰明 監修			KADOKAWA		2017.8	175p	21cm						¥1200	
978-4-04-601961-5	マンガでわかる100%幸せな1%の人々		小林正観 著	沢音千尋 マンガ		KADOKAWA		2017.9	175p	19cm						¥1200	
978-4-04-601963-9	まいにち引き寄せ	朝起きた時からキラキラの私になる!	奥平亜美衣 著			KADOKAWA		2017.9	191p	19cm						¥1400	
978-4-04-601978-3	知らなきゃよかったまさか!の雑学500		雑学総研 著			KADOKAWA		2017.8	283p	15cm		中経の文庫 C55				¥640	
978-4-04-602049-9	損益分岐点の実務が面白いほどわかる本		天明茂 著			KADOKAWA		2017.8	159p	19cm		ポイント図解				¥1300	
978-4-04-602078-9	時短術大全		生産性改善会議 編			KADOKAWA		2017.9	319p	19cm						¥1400	
978-4-04-602098-7	神速仕事術40	たった1つの行動で「3つの成果」を上げる	伊庭正康 著			KADOKAWA		2017.8	239p	19cm						¥1300	
978-4-04-602100-7	きゅうり食べるだけダイエット		野崎洋光 著	工藤孝文 監修		KADOKAWA		2017.9	127p	21cm						¥1200	
978-4-04-602151-9	背景作画	ゼロから学ぶプロの技	mocha 著			KADOKAWA		2017.9	143p	26cm		KITORA	神技作画シリーズ			¥2000	
978-4-04-733266-9	閃乱カグラPEACH BEACH SPLASH公式イラスト集		ファミ通 責任編集			Gzブレイン	KADOKAWA	2017.8	183p	30cm						¥2600	
978-4-04-733278-2	おそ松さんTHE GAMEはちゃめちゃ就職アドバイス-デッドオアワーク-公式ファンブック					Gzブレイン	KADOKAWA	2017.9	95p	30cm		B'sLOG COLLECTION				¥2700	
978-4-04-734661-1	カイワレハンマー物語 下		imiga 原作	naru 作画		KADOKAWA		2017.8	205p	19cm						¥990	
978-4-04-734701-4	魔術士オーフェンはぐれ旅 我が呼び声に応えよ獣 下		連 漫画	秋田禎信 原作		KADOKAWA		2017.8	191p	19cm		ファミ通クリアコミックス				¥780	
978-4-04-734717-5	ガールズシンフォニー	少女交響詩	深見真 著			KADOKAWA		2017.8	250p	15cm		ファミ通文庫 G11-1-1				¥680	
978-4-04-734741-0	御城プロジェクト:RE〜CASTLE DEFENSE〜公式城娘図録		ファミ通文庫編集部 編集			KADOKAWA		2017.8	255p	30cm						¥3200	
978-4-04-734742-7	詩葉さんは別ノ詩を詠みはじめる		樫田レオ 著			KADOKAWA		2017.8	287p	15cm		ファミ通文庫 カ14-1-1				¥600	
978-4-04-734743-4	異世界建国記		桜木桜 著			KADOKAWA		2017.8	317p	15cm		ファミ通文庫 さ9-1-1				¥640	
978-4-04-734744-1	マメシバ頼りの魔獣使役者ライフ 2		鳥村居子 著			KADOKAWA		2017.8	252p	15cm		ファミ通文庫 と5-2-2			俺の相棒が学園祭の超人気スターになりまして	¥730	
978-4-04-734746-5	キミは一人じゃないじゃん、と僕の中の一人が言った		比嘉智康 著			KADOKAWA		2017.8	287p	15cm		ファミ通文庫 ヒ7-2-1				¥600	
