ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
	消化器・肝臓内科 Vol.2No.4(2017Oct.)	Gastroenterology & Hepatology	消化器・肝臓内科編集委員会 編集			科学評論社		2017.10	p353〜468	26cm					特集Ⅰ酸関連疾患診療の進歩 特集Ⅱ肝線維化診断の進歩	¥3000	
	数字でみる航空 2017		国土交通省航空局 監修			航空振興財団		2017.10	384p	15cm						¥1574	
	ハム・ソーセージ年鑑 平成30年版		日本加工食品新聞 編			食品経済社		2017.10	326p	21cm						¥10000	
	農薬安全適正使用ガイドブック 2017					全国農薬協同組合		2016.12	1182p	26cm						¥4000	
	地方税法 平成29年度	法律篇	地方税制度研究会 編			地方財務協会		2017.10	2180p	19cm						¥4167	
	類似団体別市町村財政指数表 平成29年10月		地方財務協会 編集			地方財務協会		2017.10	474p	30cm	CD-ROM(1枚 12cm)					¥5926	
	鉄スクラップ資料集 2017年版		日刊市况通信社 編集			日刊市况通信社		2017.4	286p	21cm						¥3500	
978-4-00-006151-3	ディラック量子力学		P.A.M.ディラック 著	朝永振一郎 共訳		岩波書店		2017.11	449p	22cm						¥7800	
978-4-00-022237-2	運慶のまなざし	宗教彫刻のかたちと霊性	金子啓明 著			岩波書店		2017.11	300, 3p	20cm						¥2000	
978-4-00-061230-2	カンボジアPKO日記	1991年12月〜1993年9月	明石康 著			岩波書店		2017.11	378p	22cm						¥4200	
978-4-00-092834-2	定本漱石全集 第14巻		夏目金之助 著			岩波書店		2017.11	733, 47p	20cm					文学論	¥4800	
978-4-00-270962-8	沖縄の基地の間違ったうわさ	検証34個の疑問	佐藤学 編	屋良朝博 編		岩波書店		2017.11	79p	21cm		岩波ブックレット No.962				¥580	
978-4-02-214241-2	難病患者になりましたっ!	漫画家夫婦のタハツセーコーカショーの日々	岡田がる 著			朝日新聞出版		2017.11	156p	21cm		ソノラマ+コミックス				¥1000	
978-4-02-251482-0	非正規クライシス		北川慧一 著	古賀大己 著		朝日新聞出版		2017.11	207p	19cm						¥1300	
978-4-02-251500-1	ゲッターズ飯田の裏運気の超え方		ゲッターズ飯田 著			朝日新聞出版		2017.11	221p	19cm						¥1000	
978-4-02-251504-9	焼き鳥の丸かじり		東海林さだお 著			朝日新聞出版		2017.11	223p	19cm		丸かじりシリーズ 40				¥1200	
978-4-02-273730-4	阿久悠と松本隆		中川右介 著			朝日新聞出版		2017.11	369p	18cm		朝日新書 638				¥900	
978-4-02-273739-7	消費低迷と日本経済		小野善康 著			朝日新聞出版		2017.11	209p	18cm		朝日新書 639				¥760	
978-4-02-273740-3	隠れ疲労	休んでも取れないグッタリ感の正体	梶本修身 著			朝日新聞出版		2017.11	203p	18cm		朝日新書 640				¥720	
978-4-02-273741-0	中高年シングルが日本を動かす	人口激減社会の消費と行動	三浦展 著			朝日新聞出版		2017.11	228p	18cm		朝日新書 641				¥760	
978-4-02-273742-7	おそろしいビッグデータ	超類型化AI社会のリスク	山本龍彦 著			朝日新聞出版		2017.11	198p	18cm		朝日新書 642				¥720	
978-4-02-277539-9	さいごまで自宅で診てくれるいいお医者さん	家族と平穏死をかなえる完全ガイド				朝日新聞出版		2017.11	130p	26cm		週刊朝日MOOK				¥907	
978-4-02-331625-6	貯金ゼロ・知識ゼロ・忍耐力ゼロからのとってもやさしいお金のふやし方		竹川美奈子 著			朝日新聞出版		2017.11	194p	19cm						¥1400	
978-4-02-331632-4	世界を変えた6つの「気晴らし」の物語		スティーブン・ジョンソン 著	大田直子 訳		朝日新聞出版		2017.11	414p	19cm		新・人類進化史				¥2100	
978-4-02-331633-1	ジャングルのサバイバル 5	生き残り作戦	洪在徹 文	李泰虎 絵		朝日新聞出版		2017.11	174p	23cm		かがくるBOOK	大長編サバイバルシリーズ		離ればなれの4人	¥1000	
978-4-02-331634-8	ヘルプマン!! Vol.9	HELPMAN!!	くさか里樹 著			朝日新聞出版		2017.11	212p	19cm					介護ボランティア編	¥640	
978-4-02-333184-6	ゆるめるヨガプログラム	ココロをリラックス 心とカラダをときほぐす10のプログラムを収録!	近藤真由美 監修			朝日新聞出版		2017.11	125p	24cm	DVDビデオディスク(1枚 12cm)					¥1300	
978-4-02-333185-3	見つける力トレーニング間違い探し	100問	朝日脳活ブックス編集部 編著			朝日新聞出版		2017.11	159p	19cm		朝日脳活ブックス				¥900	
978-4-02-333186-0	おうちでできるハイジュエリー感覚のグルーデコLesson Book	カラーバリエをふくむ70作品	本宮直美 著			朝日新聞出版		2017.11	111p	26cm						¥1200	
978-4-04-069492-4	こいつはダメだと知っている	HE'S THE WRONG MAN,I KNOW	吉田実加 著			KADOKAWA		2017.11	156p	19cm		fleur comics				¥680	
978-4-04-069538-9	お前の前で泣くもんかセレモニー	You will never see my tears!Ceremony	晴川シンタ 著			KADOKAWA		2017.11	1冊	19cm		fleur comics				¥680	
978-4-04-069539-6	スキップするように生きていきたい		こやまこいこ 著			KADOKAWA		2017.11	125p	21cm		MF comic essay				¥1000	
978-4-04-072361-7	魔剣少女は眠らない!		藤澤さなえ 著	グループSNE 著		KADOKAWA		2017.11	317p	15cm		富士見DRAGON BOOK 696	ソード・ワールド2.0リプレイSweets おかわり下	SW2.0RPG		¥700	
978-4-04-072376-1	神獣たちと一緒なら世界最強イケちゃいますよ? 2		福山陽士 著			KADOKAWA		2017.11	293p	15cm		富士見ファンタジア文庫 ふ-3-1-2				¥600	
978-4-04-072378-5	ハイスクールD×D 24		石踏一榮 著			KADOKAWA		2017.11	330p	15cm		富士見ファンタジア文庫 い-3-1-24			校外学習のグリムリッパー	¥600	
978-4-04-072383-9	最強パーティは残念ラブコメで全滅する!? 2		鏡遊 著			KADOKAWA		2017.11	302p	15cm		富士見ファンタジア文庫 か-13-4-2			恋と水着の冒険天国	¥640	
978-4-04-072414-0	デスゲームから始めるMMOスローライフ 4		草薙アキ 著			KADOKAWA		2017.11	265p	15cm		富士見ファンタジア文庫 く-3-2-4			浮遊島を目指してコスプレ衣装作り	¥660	
978-4-04-072419-5	ロクでなし魔術講師と禁忌教典 10		羊太郎 著			KADOKAWA		2017.11	349p	15cm		富士見ファンタジア文庫 ひ-5-1-10				¥600	
978-4-04-072454-6	追伸ソラゴトに微笑んだ君へ 3		田辺屋敷 著			KADOKAWA		2017.11	281p	15cm		富士見ファンタジア文庫 た-15-1-3				¥660	
978-4-04-072458-4	堕天の狗神-SLASHDØG- 1	ハイスクールD×D Universe	石踏一榮 著			KADOKAWA		2017.11	349p	15cm		富士見ファンタジア文庫 い-3-3-1				¥620	
978-4-04-072472-0	あやかしお宿の勝負めし出します。		友麻碧 著			KADOKAWA		2017.11	317p	15cm		富士見L文庫 ゆ-1-1-7	かくりよの宿飯 7			¥620	
978-4-04-072474-4	あやかし夫婦は、もう一度恋をする。		友麻碧 著			KADOKAWA		2017.11	348p	15cm		富士見L文庫 ゆ-1-2-3	浅草鬼嫁日記 3			¥640	
978-4-04-072487-4	モンスター・ファクトリー 2	MONSTER FACTORY	アロハ座長 著			KADOKAWA		2017.11	286p	15cm		富士見ファンタジア文庫 あ-7-3-2			左遷騎士と幻の真竜族	¥600	
978-4-04-072493-5	オンリーセンス・オンライン 6	Only Sense Online	羽仁倉雲 作画	アロハ座長 原作		KADOKAWA		2017.11	159p	18cm		ドラゴンコミックスエイジ は-4-1-6				¥620	
978-4-04-072508-6	十年後の僕らはまだ物語の終わりを知らない		尼野ゆたか 著			KADOKAWA		2017.11	313p	15cm		富士見L文庫 あ-10-1-1				¥620	
978-4-04-072509-3	おいしいベランダ。 4		竹岡葉月 著			KADOKAWA		2017.11	284p	15cm		富士見L文庫 た-3-2-4			午後4時の留守番フルーツティー	¥600	
978-4-04-072515-4	DARK SOULS TRPG 02		加藤ヒロノリ 著	グループSNE 著		KADOKAWA		2017.11	303p	19cm					LORD OF CINDER FALLEN	¥1600	
978-4-04-072516-1	再演世界の英雄大戦	神殺しの錬金術師と背徳の聖処女	三原みつき 著			KADOKAWA		2017.11	333p	15cm		富士見ファンタジア文庫 み-10-1-1				¥600	
978-4-04-072522-2	僕はリア充絶対爆発させるマン		浅岡旭 著			KADOKAWA		2017.11	286p	15cm		富士見ファンタジア文庫 あ-17-1-1				¥600	
978-4-04-072523-9	Only Sense Online白銀の女神 3		アロハ座長 著			KADOKAWA		2017.11	261p	15cm		富士見ファンタジア文庫 あ-7-2-3				¥600	
978-4-04-104056-0	空想科学学園 突撃!人のからだ編		柳田理科雄 原作・監修	エアーチーム まんが作画		KADOKAWA		2017.11	132p	19cm		角川まんが科学シリーズ K2				¥960	
978-4-04-105589-2	小説野性時代 VOL.169(2017DECEMBER)					KADOKAWA		2017.11	609p	21cm		カドカワ文芸ムック 171			発表第8回山田風太郎賞 新連載&読切伊東潤 冲方丁 貴志祐介 窪美澄 佐藤正午 塩田武士 高杉良 高野和明 東山彰良 本多孝好	¥796	
978-4-04-105923-4	サバンナを脱出せよ		トレイシー・ターナー 著	岡本由香子 訳		KADOKAWA		2017.11	160p	19cm		たったひとりのサバイバル・ゲーム!				¥850	
978-4-04-105924-1	どっちが強い!?オオカミvsハイエナ	肉食獣軍団、大バトル	スライウム ストーリー	イカロス ストーリー		KADOKAWA		2017.11	156p	19cm		角川まんが科学シリーズ A8				¥960	
978-4-04-106216-6	囲碁と悪女		稲葉禄子 著			KADOKAWA		2017.11	215p	19cm						¥1400	
978-4-04-106318-7	たまごがあるよ		たかしまてつを え	風木一人 さく		KADOKAWA		2017.11	24p	18×18cm						¥900	
978-4-04-106319-4	霧笛荘夜話		浅田次郎 著		新装版	KADOKAWA		2017.11	317p	15cm		角川文庫 あ46-2				¥640	
978-4-04-106320-0	背番号42のヒーロー		メアリー・ポープ・オズボーン 著	食野雅子 訳		KADOKAWA		2017.11	155p	19cm		マジック・ツリーハウス 43				¥780	
978-4-04-106380-4	いっせーのばあ	あけてびっくりしかけえほん	新井洋行 作・絵			KADOKAWA		2017.11	24p	16×16cm						¥1100	
978-4-04-601942-4	たった一言で人を動かす最高の話し方	“50文字”が「伝わらない」を解決する!	矢野香 著			KADOKAWA		2017.11	239p	19cm						¥1400	
978-4-04-601967-7	直前30日で9割とれる西村能一のセンター化学基礎		西村能一 著			KADOKAWA		2017.11	159p	19cm						¥1100	
978-4-04-601968-4	直前30日で9割とれる青木秀紀のセンター地学基礎		青木秀紀 著			KADOKAWA		2017.11	143p	19cm						¥1100	
978-4-04-601970-7	直前30日で9割とれる伊藤和修のセンター生物基礎		伊藤和修 著			KADOKAWA		2017.11	126p	19cm						¥1100	
978-4-04-601971-4	世界一わかりやすい阪大の英語合格講座		藤田健 著		改訂版	KADOKAWA		2017.11	319p	21cm		人気大学過去問シリーズ				¥1700	
978-4-04-602062-8	あなたが「一番輝く」仕事を見つける最強の自己分析		梅田幸子 著			KADOKAWA		2017.11	223p	21cm						¥1300	
978-4-04-602066-6	東京・横浜今昔散歩		原島広至 著			KADOKAWA		2017.11	383p	15cm		中経の文庫 C60				¥920	
978-4-04-602097-0	生産管理の基本が面白いほどわかる本		田島悟 著			KADOKAWA		2017.11	159p	19cm		ポイント図解				¥1300	
978-4-04-602133-5	お金も恋もするっと手に入るすごい秘密		タマオキアヤ 著			KADOKAWA		2017.11	207p	19cm						¥1300	
978-4-04-602154-0	ライフハック大全	人生と仕事を変える小さな習慣250	堀正岳 著			KADOKAWA		2017.11	303p	21cm						¥1500	
978-4-04-602166-3	オプエド	真実を知るための異論・反論・逆説	上杉隆 著	NOBORDER取材班 著		KADOKAWA		2017.11	199p	19cm						¥1300	
978-4-04-631696-7	カブキブ! 3		榎田ユウリ 作	十峯なるせ 絵		KADOKAWA		2017.11	253p	18cm		角川つばさ文庫 Bえ1-3			伝われ、俺たちの歌舞伎!	¥780	
978-4-04-631720-9	ソライロ・プロジェクト 2		一ノ瀬三葉 作	夏芽もも 絵		KADOKAWA		2017.11	214p	18cm		角川つばさ文庫 Aい3-4			恋愛経験ゼロたちの恋うたコンテスト	¥660	
978-4-04-631749-0	レオナルドの扉 1		真保裕一 作	しゅー 絵		KADOKAWA		2017.11	222p	18cm		角川つばさ文庫 Bし2-1				¥700	
978-4-04-631753-7	オンライン! 14		雨蛙ミドリ 作	大塚真一郎 絵		KADOKAWA		2017.11	223p	18cm		角川つばさ文庫 Aあ5-14			鎧のエメルダと漆黒の魔塔	¥680	
978-4-04-631754-4	モンスターハンタークロス ニャンターライフ 3		相坂ゆうひ 作	太平洋海 絵		KADOKAWA		2017.11	198p	18cm		角川つばさ文庫 Cあ1-43			氷雪の巨獣ガムート!	¥700	
978-4-04-631757-5	西郷どん!	角川つばさ文庫版 西郷隆盛の物語	林真理子 原作	吉橋通夫 文		KADOKAWA		2017.11	222p	18cm		角川つばさ文庫 Bは5-1				¥680	
978-4-04-631763-6	ひつじのショーン	モンスターをやっつけろ!	マーティン・ハワード 文	うえくらえり 訳		KADOKAWA		2017.11	157p	18cm		角川つばさ文庫 Cひ1-1				¥680	
978-4-04-734615-4	ハルタ volume49(2017NOVEMBER)	Harta				KADOKAWA		2017.11	999p	26cm		HARTA COMIX				¥680	
978-4-04-734648-2	男装王女の久遠なる輿入れ		朝前みちる 著			KADOKAWA		2017.11	284p	15cm		ビーズログ文庫 あ-7-08				¥680	
978-4-04-734658-1	みくまりの谷深 1	Divide in valley	小川幸辰 著			KADOKAWA		2017.11	1冊(ページ付なし)	19cm		HARTA COMIX				¥620	
978-4-04-734659-8	みくまりの谷深 2	Divide in valley	小川幸辰 著			KADOKAWA		2017.11	1冊(ページ付なし)	19cm		HARTA COMIX				¥620	
978-4-04-734737-3	精霊の守り人最終章完全ドラマガイド	NHK大河ファンタジー				KADOKAWA		2017.11	127p	30cm		エンターブレインムック				¥1200	
978-4-04-734764-9	グラブルジャージ部っ! 2	Guraburu Jersey Club!	有都あらゆる 漫画	Cygames 原作		KADOKAWA		2017.11	171p	19cm		ファミ通クリアコミックス				¥650	
978-4-04-734822-6	ゲス、騎乗前 3	GUESS.BEFORE RIDING A HORSE	西公平 著			KADOKAWA		2017.11	262p	19cm		HARTA COMIX				¥920	
978-4-04-734834-9	ふしぎの国のバード 4	UNBEATEN TRACKS in JAPAN An Account of Travels in The Interior Including Visit to The Aborigines of YEZO and The Shrines of NIKKO and ISE	佐々大河 著			KADOKAWA		2017.11	192p	19cm		HARTA COMIX				¥620	
978-4-04-734862-2	この世界がゲームだと俺だけが知っている 6		イチゼン 漫画	ウスバー 原作		KADOKAWA		2017.11	185p	19cm		ファミ通クリアコミックス				¥680	
978-4-04-734865-3	異世界で魔王の花嫁<未定>になりました。		長岡マキ子 著			KADOKAWA		2017.11	254p	15cm		ビーズログ文庫 な-8-01				¥620	
978-4-04-734866-0	死神令嬢と死にたがりの魔法使い		七海ちよ 著			KADOKAWA		2017.11	223p	15cm		ビーズログ文庫 な-9-01				¥600	
978-4-04-734871-4	プロローグは刺激的に		ayane 著			KADOKAWA		2017.11	319p	19cm						¥1200	
978-4-04-734872-1	俺に惚れたらたべてやる		毬田ユズ 著			KADOKAWA		2017.11	1冊	19cm		B's‐LOVEY COMICS				¥680	
978-4-04-734873-8	僕の可愛いセーラー服		小倉すぱ 著			KADOKAWA		2017.11	153p	19cm		B's‐LOVEY COMICS				¥680	
978-4-04-734874-5	あやかしお宿に嫁入りします。 3	かくりよの宿飯	衣丘わこ 著	友麻碧 原作		KADOKAWA		2017.11	1冊(ページ付なし)	19cm		ビーズログコミックス				¥620	
978-4-04-734878-3	ナラクノアドゥ 4		山本晋 著			KADOKAWA		2017.11	213p	19cm		ファミ通クリアコミックス				¥680	
978-4-04-734880-6	Wake Up,Girls!	エターナル・センシズ	GUNP 漫画	Green Leaves 原作・監修		KADOKAWA		2017.11	164p	19cm		ファミ通クリアコミックス				¥650	
978-4-04-734914-8	清水あいりpuyu		三浦雄司 撮影			KADOKAWA		2017.11	1冊(ページ付なし)	26cm	DVDビデオディスク(1枚 12cm)					¥3500	
978-4-04-893312-4	日本ファルコム公式英雄伝説閃の軌跡Ⅲザ・コンプリートガイド		電撃ゲーム書籍編集部 編集			KADOKAWA		2017.11	399p	21cm						¥1900	
978-4-04-893438-1	まろに★え〜る	marronni★yell	一葵さやか 著	とちぎテレビ 企画		KADOKAWA		2017.11	1冊(ページ付なし)	19cm		電撃コミックスNEXT N233-01				¥570	
978-4-04-893444-2	ドージン活動、はじめました!? 6		中条亮 著			KADOKAWA		2017.11	160p	19cm		it COMICS				¥650	
978-4-04-893449-7	限界凸城キャッスルパンツァーズ公式ビジュアルコレクション	CASTLE PANZERS OFFICIAL VISUAL COLLECTION	電撃ゲーム書籍編集部 編集			KADOKAWA		2017.11	159p	30cm						¥2500	
978-4-04-896021-2	千葉Walker 2018冬					KADOKAWA		2017.11	98p	30cm		ウォーカームック No.748				¥780	
978-4-04-896108-0	下ごしらえなし!すぐでき!晩ごはん222 Recipe					KADOKAWA		2017.11	120p	30cm		レタスクラブMOOK	玄関あけたらすぐでき!シリーズ VOL.1			¥750	
978-4-05-204738-1	忍者・忍術ビジュアル大百科		山田雄司 監修			学研プラス		2017.11	191p	18cm		学研ファースト歴史百科 4				¥980	
978-4-05-204740-4	3つのまほう	アラジンとまほうのランプ/まほうつかいのでし/金のがちょう	間所ひさこ 文	山西ゲンイチ 絵		学研プラス		2017.11	99p	22cm		ランドセル名作 5				¥980	
978-4-05-304698-7	TOEICテストリスニングをひとつひとつわかりやすく。		関戸冬彦 著			学研プラス		2017.11	118p	26cm	録音ディスク(2枚 12cm)					¥1450	
978-4-05-611269-6	小鳥のキモチ Vol.5					学研プラス		2017.11	98p	30cm		Gakken Mook			巻頭特集鳥さんたちの頭脳を知ってより仲よく もっと知りたい!トリゴコロ	¥1600	
