ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
978-4-04-106048-3	たそがれの市	あの世お伽話	近藤ようこ 著			KADOKAWA		2017.10	157p	21cm						¥1100	
978-4-04-106105-3	暇恋い		谷カオル 著			KADOKAWA		2017.11	172p	19cm		あすかコミックスCL-DX				¥600	
978-4-04-106206-7	この恋、あたためますか?		舞木サチ 著			KADOKAWA		2017.11	1冊(ページ付なし)	19cm		あすかコミックスCL-DX				¥600	
978-4-04-106214-2	龍一語彙	二〇一一年-二〇一七年	坂本龍一 著			KADOKAWA		2017.11	462p 図版32p	19cm						¥3700	
978-4-04-106313-2	メゾン・ド・パイロット 2	Maison de Pilote	トリヤス 著			KADOKAWA		2017.11	160p	18cm		角川コミックス・エース				¥580	
978-4-04-400333-3	角川新字源		小川環樹 編	西田太一郎 編	改訂新版 特装版	KADOKAWA		2017.10	192, 1774p	19cm						¥3000	
978-4-04-602148-9	自分ですらすらできる確定申告の書き方 平成29年度版		渡辺義則 著			KADOKAWA		2017.11	159p	30cm						¥1350	
978-4-04-621966-4	角川新字源		小川環樹 編	西田太一郎 編	改訂新版	KADOKAWA		2017.10	192, 1774p	19cm						¥3000	
978-4-04-733272-0	帝國図書館極秘資料集	文豪とアルケミスト1周年記念読本				Gzブレイン	KADOKAWA	2017.11	191p	30cm						¥3000	
978-4-04-733281-2	白と黒のアリス公式ビジュアルファンブック					Gzブレイン	KADOKAWA	2017.10	143p	30cm		B'sLOG COLLECTION				¥3000	
978-4-04-734747-2	僕とキミの15センチ	ショートストーリーズ	井上堅二 ほか著			KADOKAWA		2017.10	422p	15cm		ファミ通文庫 シ4-1-2				¥760	
978-4-04-734788-5	巨乳とは仲良くできない	貧乳アラサー独身OLなかむらたまごの日常	なかむらたまご 著			KADOKAWA		2017.10	219p	19cm						¥1200	
978-4-04-734790-8	本屋の鬼いさん 3		ももたん 著			KADOKAWA		2017.11	139p	19cm		ビーズログコミックス				¥620	
978-4-04-734840-0	深爪流	役に立ちそうで立たない少し役に立つ話	深爪 著			KADOKAWA		2017.11	235p	19cm						¥1200	
978-4-04-734848-6	異世界のんびり農家 01	Farming life in another world	内藤騎之介 著	やすも イラスト		KADOKAWA		2017.10	417p	19cm						¥1200	
978-4-04-734852-3	グランブルーファンタジー 9	GRANBLUE FANTASY	はせがわみやび 著	Cygames 原作・イラスト		KADOKAWA		2017.10	279p	15cm		ファミ通文庫 G10-1-9				¥680	
978-4-04-734853-0	Eクラス冒険者は果てなき騎士の夢を見る	先生、ステータス画面が読めないんだけど	夏柘楽緒 著			KADOKAWA		2017.10	286p	15cm		ファミ通文庫 な11-1-1				¥620	
978-4-04-734854-7	フラワーナイトガール 7	FLOWER KNIGHT GIRL	是鐘リュウジ 著			KADOKAWA		2017.10	286p	15cm		ファミ通文庫 F10-1-7			ヤクノヒナホシと嵐を呼ぶボートレース	¥680	
978-4-04-734856-1	異世界ですが魔物栽培しています。 3		雪月花 著			KADOKAWA		2017.10	317p	15cm		ファミ通文庫 せ3-1-3				¥630	
978-4-04-734857-8	佐伯さんと、ひとつ屋根の下 3	I'll have Sherbet!	九曜 著			KADOKAWA		2017.10	318p	15cm		ファミ通文庫 く7-1-3				¥670	
978-4-04-734916-2	腐女子ぐらし	全力ド修羅場ルームシェア!魔窟201	藤峰式 著			KADOKAWA		2017.11	171p	21cm						¥1000	
978-4-04-884138-2	点の記	歌集	平林静代 著			角川文化振興財団	KADOKAWA	2017.9	249p	20cm		かりん叢書 321				¥2600	
978-4-04-892876-2	いじわる上司がデレたら、めっちゃ溺愛が止まりませんっ	鬼編集長が御曹司で私に結婚志願中!?	魚住ユキコ 著			KADOKAWA		2017.11	313p	15cm		ジュエル文庫 う2-1				¥630	
978-4-04-893376-6	ラブライブ!スクールアイドルフェスティバルAqours official illustration book		電撃G'sマガジン編集部 編集	2013プロジェクトラブライブ! 監修		KADOKAWA		2017.10	159p	30cm						¥2000	
978-4-04-893386-5	星のカービィアート&スタイルコレクション	KIRBY ART&STYLE COLLECTION				KADOKAWA		2017.11	271p	22×22cm						¥2500	
978-4-04-893387-2	ラブライブ!スクールアイドルコレクションAqoursパーフェクトビジュアルブック	LoveLive!School Idol collection Aqours Perfect Visual Book	電撃ホビーウェブ編集部 編集			KADOKAWA		2017.10	111p	30cm						¥1600	
978-4-04-893474-9	魔皇帝さまっ!奥さまにいじわるすぎますっ!Hすぎますっ!	…でも愛されてます♥	若月京子 著			KADOKAWA		2017.11	379p	15cm		ジュエル文庫 わ1-3				¥670	
978-4-04-893480-0	最愛の恋愛革命		青野ちなつ 著			KADOKAWA		2017.11	244p	15cm		B-PRINCE文庫 あ5-19				¥640	
978-4-04-893482-4	鬼の棲む国		桜部さく 著			KADOKAWA		2017.11	223p	15cm		B-PRINCE文庫 さ5-1				¥640	
978-4-04-895968-1	チャンネルはフテネコのままで		芦沢ムネト 著			KADOKAWA		2017.11	129p	21cm						¥1000	
978-4-04-896109-7	疲れとり足首ウォーマーナチュラルピンク	朝まで深睡眠 履いて→眠る→朝までぽかぽか、ぐっすり睡眠!	池谷敏郎 総監修	友野なお メソッド監修		KADOKAWA		2017.10	63p	21cm		レタスクラブMOOK				¥1590	
978-4-05-406278-8	生命進化の偉大なる奇跡		アリス・ロバーツ 著	斉藤隆央 訳		学研プラス		2017.11	384, 20p	20cm						¥1900	
978-4-05-406600-7	斎藤一人成功の花を咲かせなさい		斎藤一人 著	宇野信行 著		学研プラス		2017.11	206p	19cm						¥1400	
978-4-05-611268-9	うちのうさぎのキモチがわかる本 2018秋&冬					学研プラス		2017.11	97p	30cm		GAKKEN MOOK				¥1500	
978-4-05-611279-5	最強のりものおけいこ	ひらがな・かず・えいご 2 3 4 5歳				学研プラス		2017.11	85p	26cm	DVDビデオディスク(1枚 12cm)	Gakken Mook				¥900	
978-4-05-800831-7	ストウブレシピ100	食材のおいしさを日々満喫する、staubのあるくらし。	柳川かおり 著			学研プラス		2017.11	95p	26cm						¥1400	
978-4-05-800837-9	藤井恵さんの体にいい和食ごはん	発酵食品と体にやさしい食材のおいしいレシピ140品	藤井恵 著			学研プラス		2017.11	111p	26cm						¥1300	
978-4-06-153833-7	はじめてのWebページ作成	HTML・CSS・JavaScriptの基本	松下孝太郎 編著	山本光 著		講談社		2017.10	118p	26cm						¥1900	
978-4-06-154811-4	認知行動療法入門		熊野宏昭 著	鈴木伸一 著		講談社		2017.10	247p	21cm		臨床心理フロンティアシリーズ				¥2400	
978-4-06-156573-9	世界一わかりやすい電気・電子回路	これ1冊で完全マスター!	薮哲郎 著			講談社		2017.10	335p	21cm						¥2900	
978-4-06-220492-7	はじめての楽々バラづくり	手をかけなくても美しく咲く	バラの家 著			講談社		2017.10	79p	26cm	DVDビデオディスク(1枚 12cm)					¥1800	
978-4-06-220770-6	人生が変わるリフォームの教科書	片づけなくても片づく住まいに	水越美枝子 著			講談社		2017.10	159p	21cm						¥1600	
978-4-06-220792-8	日本人の朝鮮観はいかにして形成されたか		池内敏 著			講談社		2017.10	332p	20cm		叢書東アジアの近現代史 第3巻				¥2200	
978-4-06-220802-4	スピンクの笑顔		町田康 著			講談社		2017.10	429p	20cm						¥1850	
978-4-06-220805-5	新しい小説のために		佐々木敦 著			講談社		2017.10	525p	20cm						¥2700	
978-4-06-220806-2	いわさきちひろ	子どもへの愛に生きて	松本猛 著			講談社		2017.10	348p	20cm						¥1800	
978-4-06-220807-9	鳥獣戯画		磯崎憲一郎 著			講談社		2017.10	284p	20cm						¥2000	
978-4-06-220817-8	1日1つ、なしとげる!	米海軍特殊部隊SEALsの教え	ウィリアム・H.マクレイヴン 著	斎藤栄一郎 訳		講談社		2017.10	153p	19cm						¥1300	
978-4-06-220865-9	もっとシマエナガちゃん		小原玲 著			講談社ビーシー	講談社	2017.10	95p	15×15cm						¥1300	
978-4-06-220873-4	はじめてのずかん555	英語つき 0〜4歳向け	講談社ビーシー 編		増補改訂版	講談社		2017.10	45p	20cm		BCキッズおなまえいえるかな?				¥980	
978-4-06-269513-8	蘭の花が咲いたら		小林深雪 著	牧村久実 画		講談社		2017.10	189p	19cm		YA!ENTERTAINMENT	泣いちゃいそうだよ《高校生編》			¥950	
978-4-06-283412-4	キラキラクリスマスパーティー	おんなのこシールえほん	おおでゆかこ イラスト			講談社		2017.10	9p	21×22cm		講談社のアルバムシリーズ				¥760	
978-4-06-344698-2	映画キラキラ☆プリキュアアラモード パリッと!想い出のミルフィーユ!					講談社		2017.10	17p	27cm		講談社のテレビ絵本 1698				¥500	
978-4-06-352864-0	結晶	篠崎愛写真集	西條彰仁 撮影			講談社		2017.11	1冊(ページ付なし)	30cm						¥3200	
978-4-06-366657-1	フルロード 臨時増刊(2017Late Autumn)	ベストカーのトラックマガジン				講談社		2017.10	88p	30cm					東京モーターショー2017<商用車>パーフェクトガイド	¥1200	
978-4-06-379097-9	きょうりゅうだいしゅうごう!					講談社		2017.10	33p	12×12cm		おともだちおでかけミニブック 47	講談社MOVEおでかけミニずかん			¥650	
978-4-06-379098-6	どうぶついちばん!だいしゅうごう					講談社		2017.10	33p	12×12cm		おともだちおでかけミニブック 48	講談社MOVEおでかけミニずかん			¥650	
978-4-06-379099-3	気をつけろ!きけんせいぶつ					講談社		2017.10	33p	12×12cm		おともだちおでかけミニブック 49	講談社MOVEおでかけミニずかん			¥650	
978-4-06-381624-2	銃皇無尽のファフニール 15		ツカサ 著			講談社		2017.11	258p	15cm		講談社ラノベ文庫 つ-3-1-15			アンリミテッド・シャイン	¥600	
978-4-06-381625-9	あのねこのまちあのねこのまち 2		紫野一歩 著			講談社		2017.11	294p	15cm		講談社ラノベ文庫 し-5-1-2				¥640	
978-4-06-381632-7	魔王、配信中!? 2		南篠豊 著			講談社		2017.11	279p	15cm		講談社ラノベ文庫 な-1-3-2				¥640	
978-4-06-381633-4	下僕ハーレムにチェックメイトです! 2		赤福大和 著			講談社		2017.11	228p	15cm		講談社ラノベ文庫 あ-12-3-2				¥620	
978-4-06-381634-1	双子喫茶と悪魔の料理書 2		望月唯一 著			講談社		2017.11	239p	15cm		講談社ラノベ文庫 も-2-4-2				¥620	
978-4-06-392610-1	終わりのセラフ一瀬グレン、16歳の破滅 1		浅見よう 漫画	鏡貴也 原作		講談社		2017.11				月刊少年マガジン				¥438	
978-4-06-509221-7	それでも彼らは噓をつく 1		むらきたまりこ 著			Cygames	講談社	2017.10	156p	19cm		サイコミ				¥560	
978-4-06-509222-4	かみさまのいる景色 1		水月とーこ 著			Cygames	講談社	2017.10	166p	19cm		サイコミ				¥560	
978-4-06-509223-1	ブラザーフッド 2	BROTHERHOOD	村上よしゆき 著			Cygames	講談社	2017.10	180p	19cm		サイコミ				¥570	
978-4-06-509224-8	ふたりモノローグ 2		ツナミノユウ 著			Cygames	講談社	2017.10	143p	19cm		サイコミ				¥540	
978-4-06-509225-5	ハデスさまはお気の毒さま 1		高松翼 著			Cygames	講談社	2017.10	156p	19cm		サイコミ				¥560	
978-4-06-509595-9	食と医療 Vol.3(2017FALL-WINTER)	学術誌				講談社エディトリアル	講談社	2017.10	130p	26cm		講談社MOOK			特集1たんぱく質 特集2腎臓疾患	¥1852	
978-4-06-510332-6	ポーション頼みで生き延びます! 1		九重ヒビキ 漫画	FUNA 原作		講談社		2017.11				月刊少年シリウス				¥600	
978-4-06-510399-9	日本のメイドカルチャー史 上		久我真樹 著			星海社	講談社	2017.10	301p	21cm						¥2500	
978-4-07-425455-2	すっきり暮らすための掃除・片づけのコツ	人気インスタグラマー25人の我が家の整え方	主婦の友社 編			主婦の友社		2017.11	143p	21cm		for Simple Life				¥1300	
978-4-07-426466-7	ねことばじてん		かしわらあきお 作・絵			主婦の友社		2017.12	48p	27cm						¥1200	
978-4-07-426710-1	やせる、不調が消える読む冷えとり	女子の体の悩みは、あたためれば解消	石原新菜 監修			主婦の友社		2017.11	159p	20cm						¥1300	
978-4-07-427046-0	愛らしいお直し	ダーニングで大好きな服がよみがえる	野口光 著			主婦の友インフォス	主婦の友社	2017.11	31p	21cm		主婦の友ヒットシリーズ				¥2300	
978-4-07-427141-2	きいて!うたって!おぼえよう!えいごのうた		アレン玉井光江 監修	主婦の友社 編		主婦の友社		2017.11	97p	25cm	録音ディスク(1枚 12cm) DVDビデオディスク(1枚 12cm)	頭のいい子を育てる				¥2300	
978-4-07-427230-3	Bon Chic VOL.16	美しい暮らしと住まいの情報誌				主婦の友社		2017.11	178p	30cm					アンティークとともに心豊かな暮らしを	¥1780	
978-4-07-427307-2	失明を招く緑内障 白内障 糖尿病網膜症 黄斑変性を解消するスゴワザ	眼科医まかせでは目はよくならない!	『健康』編集部 編			主婦の友インフォス	主婦の友社	2017.11	65p	30cm		主婦の友ヒットシリーズ	しあわせMOOK			¥880	
978-4-07-427425-3	カーテン&ウインドウデザインマニュアル	天井が低い日本の住まいを素敵にする	田野口淳子 著			主婦の友社		2017.11	223p	31cm						¥3800	
978-4-07-427477-2	米粉のお菓子	グルテンフリーのおいしいレシピ37	石橋かおり 著			主婦の友社		2017.11	79p	26cm						¥1200	
978-4-07-427750-6	ビンゴ5黄金比率「41」攻略	南蔵院当せん祈願「ビンゴ5申込カード」付き	月刊「ロト・ナンバーズ『超』的中法」 編			主婦の友インフォス	主婦の友社	2017.12	127p	21cm		超的シリーズ				¥1400	
978-4-07-427939-5	賢者の剣 5		陽山純樹 著			主婦の友社		2017.11	335p	16cm		ヒーロー文庫				¥620	
978-4-07-428198-5	傭兵団の料理番 4		川井昻 著			主婦の友社		2017.11	383p	16cm		ヒーロー文庫				¥620	
978-4-07-428206-7	康太の異世界ごはん 3		中野在太 著			主婦の友社		2017.11	335p	16cm		ヒーロー文庫				¥600	
978-4-07-428212-8	英雄の忘れ形見 2		風見祐輝 著			主婦の友社		2017.11	367p	16cm		ヒーロー文庫				¥620	
978-4-07-428229-6	その最強、神の依頼で異世界へ 2		速峰淳 著			主婦の友社		2017.11	334p	16cm		ヒーロー文庫				¥610	
978-4-07-428241-8	群青の竜騎士 1		尾野灯 著			主婦の友社		2017.11	366p	16cm		ヒーロー文庫				¥620	
978-4-08-111187-9	ONE PIECE総集編	THE 25TH LOG“DRESSROSA”	尾田栄一郎 作			集英社		2017.10	617p	26cm		集英社マンガ総集編シリーズ				¥700	
978-4-08-608054-5	侍女が噓をつく童話	野苺の侍女の観察録	長尾彩子 著			集英社		2017.11	302p	15cm		コバルト文庫 な14-15				¥620	
978-4-08-608055-2	天都宮帝室の然々な事情 2		我鳥彩子 著			集英社		2017.11	269p	15cm		コバルト文庫 わ5-34			二五三番目の皇子、天降りて綺麗国の美人に婿入りすること	¥600	
978-4-08-781643-3	人生を変えるクローゼットの作り方	あなたが素敵に見えないのは、その服のせい	ベティ・ホールブライシュ 著	レベッカ・ペイリー 著		集英社		2017.11	375p	19cm						¥1600	
978-4-08-781644-0	対岸のヴェネツィア		内田洋子 著			集英社		2017.11	209p	19cm						¥1400	
978-4-08-792023-9	日曜日はマルシェでボンボン 6		かわかみじゅんこ 著			集英社		2017.10	157p	21cm						¥1000	
978-4-08-792025-3	日に流れて橋に行く 1		日高ショーコ 著			集英社		2017.10	162p	19cm		愛蔵版コミックス				¥660	
978-4-08-881150-5	終わりのセラフ 15		山本ヤマト 漫画	鏡貴也 原作		集英社		2017.11				ジャンプコミックス	SQ.			¥438	
978-4-08-881161-1	プラチナエンド 7		小畑健 art	大場つぐみ story		集英社		2017.11				ジャンプコミックス	SQ.			¥450	
978-4-08-881163-5	ドラゴンボール超 4		とよたろう 漫画	鳥山明 原作		集英社		2017.11				ジャンプコミックス			HOPEへのラストチャンス	¥400	
978-4-08-881166-6	憂国のモリアーティ 4	MORIARTY THE PATRIOT	三好輝 漫画	コナン・ドイル 原案		集英社		2017.11	200p	18cm		ジャンプコミックス				¥438	
978-4-08-881167-3	双星の陰陽師 13		助野嘉昭			集英社		2017.11				ジャンプコミックス	SQ.			¥438	
978-4-08-881169-7	怪物事変 3		藍本松			集英社		2017.11				ジャンプコミックス	SQ.			¥438	
978-4-08-881170-3	ファイアパンチ 7		藤本タツキ			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881171-0	選択のトキ 1		群千キリ			集英社		2017.11				ジャンプコミックス	SQ.			¥500	
978-4-08-881172-7	ドラゴンクエスト蒼天のソウラ 10		中島諭宇樹 漫画	堀井雄二 監修		集英社		2017.11				ジャンプコミックス			暴走!!!	¥419	
978-4-08-881173-4	僕のヒーローアカデミアすまっしゅ!! 5		根田啓史	堀越耕平		集英社		2017.11				ジャンプコミックス				¥350	
978-4-08-881220-5	ゆらぎ荘の幽奈さん 8		ミウラタダヒロ			集英社		2017.11				ジャンプコミックス			バレンタイン狂想曲	¥400	
978-4-08-881221-2	僕のヒーローアカデミア Vol.16	MY HERO ACADEMIA	堀越耕平 著			集英社		2017.11	173p	18cm		ジャンプコミックス			烈怒頼雄斗	¥400	
978-4-08-881222-9	火ノ丸相撲 17		川田 著			集英社		2017.11	196p	18cm		ジャンプコミックス			鬼丸国綱と草薙剣、再び	¥400	
978-4-08-881223-6	磯部磯兵衛物語〜浮世はつらいよ〜 15		仲間りょう			集英社		2017.11				ジャンプコミックス			ペリーの春で候	¥400	
978-4-08-881224-3	食戟のソーマ 27		佐伯俊 作画	附田祐斗 原作		集英社		2017.11	191p	18cm		ジャンプコミックス			3rd BOUT	¥400	
978-4-08-881225-0	ONE PIECE 巻87		尾田栄一郎 著			集英社		2017.11	207p	18cm		ジャンプコミックス			甘くない	¥400	
978-4-08-881227-4	BORUTO 巻ノ4	NARUTO NEXT GENERATIONS	池本幹雄 漫画	岸本斉史 原作・監修		集英社		2017.11	181p	18cm		ジャンプコミックス			切り札の価値!!	¥400	
978-4-08-881235-9	地獄先生ぬ〜べ〜NEO 12		岡野剛 漫画	真倉翔 原作		集英社		2017.11	1冊(ページ付なし)	18cm		JCグランドジャンプ				¥400	
978-4-08-881245-8	命を分けたきみと、人生最後の夢をみる 3		小倉祐也	ウェルザード		集英社		2017.11				ジャンプコミックス				¥420	
978-4-08-881250-2	食戟のソーマL'etoile-エトワール- 5		昭時大紀 漫画	伊藤美智子 原案・監修		集英社		2017.11				ジャンプコミックス			わけありの天使	¥438	
978-4-08-881252-6	バイバイ人類 5		萩原あさ美 作画	渡辺恒造 原作		集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881260-1	活撃刀剣乱舞 1		津田穂波 漫画			集英社		2017.11				ジャンプコミックス	SQ.			¥438	
978-4-08-881261-8	DRAGON BALL外伝転生したらヤムチャだった件		ドラゴン画廊・リー 漫画	鳥山明 原作		集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881262-5	男坂 7		車田正美			集英社		2017.11				ジャンプコミックス			鯨海乙女の巻	¥400	
978-4-08-881265-6	弓塚いろはは手順が大事! 1		由伊大輔			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881266-3	愛されるより○されたい 1		ユーキあきら			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881268-7	シューダン! 1		横田卓馬			集英社		2017.11				ジャンプコミックス			ぼくらのフットボールアワー	¥400	
978-4-08-881269-4	モネさんのマジメすぎるつき合い方 1		梧桐柾木			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881270-0	十二大戦 1		暁月あきら 漫画	西尾維新 原作		集英社		2017.11				ジャンプコミックス				¥580	
978-4-08-881271-7	Mr.Clice PART1		秋本治			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881272-4	Mr.Clice PART2		秋本治			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881273-1	Mr.Clice PART3		秋本治			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881274-8	Mr.Clice PART4		秋本治			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881275-5	Mr.Clice PART5		秋本治			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881276-2	Mr.Clice PART6		秋本治			集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881277-9	貧民超人カネナシくん 2		ぱげらった			集英社		2017.11				ジャンプコミックス				¥550	
978-4-08-881278-6	約束のネバーランド 6	THE PROMISED NEVERLAND	出水ぽすか 作画	白井カイウ 原作		集英社		2017.11	193p	18cm		ジャンプコミックス			B06-32	¥400	
978-4-08-881279-3	とんかつDJアゲ太郎 11		小山ゆうじろう 漫画	イーピャオ 原案		集英社		2017.11				ジャンプコミックス				¥580	
978-4-08-881280-9	天神-TENJIN- 9		杉江翼 漫画	小森陽一 原作・ストーリー		集英社		2017.11				ジャンプコミックス				¥400	
978-4-08-881281-6	街コロマッチ!+ 2		平方昌宏			集英社		2017.11				ジャンプコミックス				¥950	
978-4-08-890802-1	BLACK TIGER 1		秋本治			集英社		2017.11				ヤングジャンプコミックスGJ				¥600	
978-4-09-102386-5	グランド・スラム NO.50(2017NOVEMBER)	アマチュア・ベースボールオフィシャルガイド'17				小学館		2017.11	178p	26cm		小学館スポーツスペシャル			第88回都市対抗野球大会/第28回アジア野球選手権大会レビュー	¥1250	
978-4-09-112558-3	あそびいっぱいブック シールでにこ・ぷん・うえ〜ん	おかあさんといっしょ 2歳〜				小学館		2017.10	48p	26cm		小学館のカラーワイド				¥800	
978-4-09-139594-8	恋して!るなKiss 6		中原杏			小学館		2017.11				ちゃおコミックス				¥429	
978-4-09-139595-5	悪魔くんのカノジョ。 3		くまき絵里			小学館		2017.11				ちゃおコミックス				¥429	
978-4-09-139596-2	終わる世界でキミに恋する 5		能登山けいこ			小学館		2017.11				ちゃおコミックス				¥429	
978-4-09-139809-3	ぎゅっとしたいの!	アニマルらんど	環方このみ ほか			小学館		2017.11				ちゃおコミックス				¥429	
978-4-09-189457-1	蒼ざめた馬 下	名探偵・英玖保嘉門の推理手帖	星野泰視 著	アガサ・クリスティー 原作		小学館		2017.11				ビッグコミックススペシャル				¥600	
