ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
	朝日新聞縮刷版 2017-9					朝日新聞社	朝日新聞出版	2017.10	60, 1458p	28cm						¥6000	
	埼玉新聞縮刷版 平成29年9月号					埼玉新聞社		2017.10	554p	29cm						¥4444	
	中日新聞縮刷版 2017-9					中日新聞社		2017.10	1272, 8p	30cm						¥5524	
	日経産業新聞縮刷版 2017年9月号					日本経済新聞社	日本経済新聞出版社	2017.10	412, 30p	29cm						¥6200	
	日本経済新聞縮刷版 2017-9					日本経済新聞社	日本経済新聞出版社	2017.10	1548, 65p	29cm						¥7300	
	毎日新聞縮刷版 2017-9					毎日新聞社	毎日新聞出版	2017.10	48, 1170p	28cm						¥5741	
	読売新聞縮刷版 2017-9					読売新聞東京本社		2017.10	20, 1340p	28cm						¥5524	
	帝国データバンク会社年鑑 98版(2018)東日本1					帝国データバンク		2017.10	18, 2561p	31cm					金融機関 東京都 北海道	¥27500	4巻セット¥110000
	帝国データバンク会社年鑑 98版(2018)東日本2					帝国データバンク		2017.10	p2563〜4886	31cm					東北/関東 甲信越	¥27500	4巻セット¥110000
	帝国データバンク会社年鑑 98版(2018)西日本1					帝国データバンク		2017.10	19, 2246p	31cm					金融機関 大阪府 北陸/東海	¥27500	4巻セット¥110000
	帝国データバンク会社年鑑 98版(2018)西日本2					帝国データバンク		2017.10	p2247〜4636	31cm					近畿/中国 四国/九州	¥27500	4巻セット¥110000
	法令全書 平成29年9月号1		国立印刷局 編集			国立印刷局		2017.10	832p	26cm						¥3500	2巻セット¥7000
	法令全書 平成29年9月号2		国立印刷局 編集			国立印刷局		2017.10	p833〜1677 1p	26cm						¥3500	2巻セット¥7000
978-4-00-022097-2	11の国のアメリカ史 上	分断と相克の400年	コリン・ウッダード 著	肥後本芳男 訳		岩波書店		2017.10	271, 19p	20cm						¥2900	
978-4-00-022098-9	11の国のアメリカ史 下	分断と相克の400年	コリン・ウッダード 著	肥後本芳男 訳		岩波書店		2017.10	262, 28p	20cm						¥2900	
978-4-00-023892-2	中国が愛を知ったころ	張愛玲短篇選	張愛玲 著	濱田麻矢 訳		岩波書店		2017.10	184p	20cm						¥2400	
978-4-00-024056-7	帝国と戦後の文化政策	舞台の上の日本像	朴祥美 著			岩波書店		2017.10	171, 2p	20cm						¥2300	
978-4-00-024057-4	哲学のプラグマティズム的転回		リチャード・J.バーンスタイン 著	廣瀬覚 訳		岩波書店		2017.10	330, 69p	20cm						¥3600	
978-4-00-028270-3	ロシア革命とソ連の世紀 5		松戸清裕 編集委員	浅岡善治 編集委員		岩波書店		2017.10	316, 10p	22cm					越境する革命と民族	¥3700	
978-4-00-061219-7	季語体系の背景	地貌季語探訪	宮坂静生 著			岩波書店		2017.10	404, 6p	20cm						¥3700	
978-4-00-061222-7	金融法講義		神田秀樹 編著	神作裕之 編著	新版	岩波書店		2017.10	611p	21cm						¥3900	
978-4-00-061223-4	書物の宮殿		ロジェ・グルニエ 著	宮下志朗 訳		岩波書店		2017.10	208p	20cm						¥2700	
978-4-00-061224-1	欧州統合は行きすぎたのか 上		G.マヨーネ 著	庄司克宏 監訳		岩波書店		2017.10	271, 20p	20cm					<失敗>とその原因	¥3200	
978-4-00-061225-8	欧州統合は行きすぎたのか 下		G.マヨーネ 著	庄司克宏 監訳		岩波書店		2017.10	p274〜492 26p	20cm					国民国家との共生の条件	¥3200	
978-4-00-116012-3	凍てつく海のむこうに		ルータ・セペティス 作	野沢佳織 訳		岩波書店		2017.10	395p	19cm						¥2100	
978-4-02-275062-4	落第忍者乱太郎 62		尼子騒兵衛 著			朝日新聞出版		2017.10	244p	18cm		あさひコミックス				¥540	
978-4-02-279168-9	国公立大学by AERA 2018	大人になる君たちへ				朝日新聞出版		2017.11	114p	29cm		AERAムック			未来を描く大学選び	¥840	
978-4-03-003440-2	物語と歩いてきた道	インタビュー・スピーチ&エッセイ集	上橋菜穂子 著			偕成社		2017.11	205p	20cm						¥1500	
978-4-03-221340-9	いそげ!きゅうきゅうしゃ		鈴木まもる 絵	竹下文子 作		偕成社		2017.11	32p	21×26cm						¥1000	
978-4-03-332790-7	ふたつでひとつ		かじりみな子 さく			偕成社		2017.11	32p	27cm						¥1300	
978-4-04-069375-0	異世界ですが魔物栽培しています。 1		蕨野くげ子 著	雪月花 原作		KADOKAWA		2017.10	159p	19cm		MFC				¥600	
978-4-04-069451-1	ハイスクール・フリートアニメイラスト画集	HIGH SCHOOL FLEET ANIME VISUAL BOOK				KADOKAWA		2017.11	119p	30cm						¥3500	
978-4-04-072525-3	イロドリミドリ公式ガイドブック2nd Anniversary					KADOKAWA		2017.11	95p	26cm						¥1800	
978-4-04-104221-2	木島日記もどき開口		大塚英志 著			KADOKAWA		2017.11	562p	19cm						¥2200	
978-4-04-104797-2	まんがでわかるまんがの歴史		大塚英志 作	ひらりん まんが		KADOKAWA		2017.11	303p	21cm		単行本コミックス				¥1800	
978-4-04-105066-8	さくら、うるわし		長野まゆみ 著			KADOKAWA		2017.11	237p	20cm		左近の桜 3				¥1400	
978-4-04-105792-6	ゲームやるから100円貸して! 02		ナカノ 著	ザワ 著		KADOKAWA		2017.11	169p	18cm		角川コミックス・エース				¥580	
978-4-04-105889-3	八雲百怪 3		大塚英志 著	森美夏 著		KADOKAWA		2017.11	188p	21cm		単行本コミックス				¥1200	
978-4-04-105895-4	許嫁協定 10		フクダーダ 著			KADOKAWA		2017.11	171p	18cm		角川コミックス・エース				¥580	
