ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
978-4-02-251494-3	生きて、もっと歌いたい	片足のアイドル・木村唯さん、18年の軌跡	芳垣文子 著			朝日新聞出版		2017.10	175p	19cm						¥1100	
978-4-02-263064-3	身体知性	医師が見つけた身体と感情の深いつながり	佐藤友亮 著			朝日新聞出版		2017.10	251p	19cm		朝日選書 964				¥1500	
978-4-02-263065-0	これが人間か		プリーモ・レーヴィ 著	竹山博英 訳		朝日新聞出版		2017.10	314p	19cm		朝日選書 965				¥1500	
978-4-02-264859-4	うめ婆行状記		宇江佐真理 著			朝日新聞出版		2017.10	326p	15cm		朝日文庫 う17-2	朝日時代小説文庫			¥620	
978-4-02-264860-0	黎明の剣		小杉健治 著			朝日新聞出版		2017.10	323p	15cm		朝日文庫 こ34-4	朝日時代小説文庫	御用船捕物帖 4		¥620	
978-4-02-264861-7	情に泣く		細谷正充 編	宇江佐真理 著		朝日新聞出版		2017.10	272p	15cm		朝日文庫 ほ19-1	朝日時代小説文庫	朝日文庫時代小説アンソロジー 人情・市井編		¥720	
978-4-02-264862-4	相棒 season15上		碇卯人 ノベライズ	輿水泰弘 ほか脚本		朝日新聞出版		2017.10	340p	15cm		朝日文庫 い68-41				¥860	
978-4-02-264863-1	斬!江戸の用心棒		佐々木裕一 著			朝日新聞出版		2017.10	279p	15cm		朝日文庫 さ51-1	朝日時代小説文庫			¥620	
978-4-02-277537-5	高齢者ホーム 2018				完全保存版	朝日新聞出版		2017.10	264p	29cm		週刊朝日MOOK			プロに教わるやすらぎの選びかた	¥907	
978-4-02-278256-4	まち歩き地図京都 2017	街のテーマでお散歩!充実の50コース			ハンディ版	朝日新聞出版		2017.10	159p	24cm		ASAHI ORIGINAL				¥880	
978-4-02-331617-1	縄文世界へタイムワープ		もとじろう マンガ	チーム・ガリレオ ストーリー		朝日新聞出版		2017.10	175p	23cm		歴史漫画タイムワープシリーズ				¥1200	
978-4-02-333177-8	肌触りのよい糸で編むかわいい色のベビーニット		朝日新聞出版 編著			朝日新聞出版		2017.10	103p	26cm						¥1200	
978-4-02-333178-5	フェルト羊毛でつくる和のこもの		須佐沙知子 著			朝日新聞出版		2017.10	95p	20×21cm						¥1200	
978-4-02-333179-2	ふだんの服で大人のおしゃれ	プチプラを上手に取り入れて	福田栄華 監修			朝日新聞出版		2017.10	127p	26cm						¥1300	
978-4-03-348390-0	きのうえのおうちへようこそ!		ドロシア・ウォーレン・フォックス 作	おびかゆうこ 訳		偕成社		2017.10	40p	27cm						¥1500	
978-4-03-635680-5	ふしぎ駄菓子屋銭天堂 8		廣嶋玲子 作	jyajya 絵		偕成社		2017.10	189p	19cm						¥900	
978-4-04-072436-2	概念		さんかくやま 作			KADOKAWA		2017.10	144p	18cm		ドラゴンコミックスエイジ さ-13-1-1				¥620	
978-4-04-072466-9	疾刻少女 2	SPRINT TIME GIRL	つくすん 作			KADOKAWA		2017.10	158p	18cm		ドラゴンコミックスエイジ つ-5-1-2				¥620	
978-4-04-072467-6	シックス・バレッツ 02	6th Bullets	大沢祐輔 作			KADOKAWA		2017.10	226p	18cm		ドラゴンコミックスエイジ お-8-1-2				¥700	
978-4-04-072468-3	孫子のアイドル兵法! 2		わだぺん。 作			KADOKAWA		2017.10	202p	18cm		ドラゴンコミックスエイジ わ-4-1-2				¥640	
978-4-04-072469-0	哲学さんと詭弁くん 2		里好 作			KADOKAWA		2017.10	158p	18cm		ドラゴンコミックスエイジ さ-11-1-2				¥620	
978-4-04-072470-6	CHAIN CHRONICLEヘクセイタスの閃 2		あさひな栞 作画	セガ 原作		KADOKAWA		2017.10	154p	18cm		ドラゴンコミックスエイジ あ-4-3-2				¥620	
978-4-04-072478-2	勇者召喚が似合わない僕らのクラス 2		白神怜司 著	目浮津 画		KADOKAWA		2017.10	251p	19cm		カドカワBOOKS M-し-5-1-2				¥1300	
978-4-04-072479-9	王都の学園に強制連行された最強のドラゴンライダーは超が付くほど田舎者		八茶橋らっく 著	典樹 画		KADOKAWA		2017.10	275p	19cm		カドカワBOOKS M-や-1-1-1				¥1200	
978-4-04-072481-2	アラフォーおっさん異世界へ!!でも時々実家に帰ります		平尾正和 著	吉武 画		KADOKAWA		2017.10	349p	19cm		カドカワBOOKS M-ひ-2-1-1				¥1200	
978-4-04-072482-9	蜘蛛ですが、なにか? 7		馬場翁 著	輝竜司 イラスト		KADOKAWA		2017.10	323p	19cm		カドカワBOOKS M-は-1-1-7				¥1200	
978-4-04-072497-3	寄生してレベル上げたんだが、育ちすぎたかもしれない 4		伊垣久大 著	そりむらようじ 画		KADOKAWA		2017.10	285p	19cm		カドカワBOOKS M-い-1-1-4				¥1200	
978-4-04-072501-7	最強の鑑定士って誰のこと? 2	満腹ごはんで異世界生活	港瀬つかさ 著	シソ 画		KADOKAWA		2017.10	286p	19cm		カドカワBOOKS M-み-2-1-2				¥1200	
978-4-04-082119-1	正しさをゴリ押しする人		榎本博明 著			KADOKAWA		2017.10	210p	18cm		角川新書 K-167				¥820	
978-4-04-082166-5	壁を超える		川口能活 著			KADOKAWA		2017.10	212p	18cm		角川新書 K-165				¥800	
978-4-04-082167-2	知的性生活	医師が教える大人の性の新常識	志賀貢 著			KADOKAWA		2017.10	217p	18cm		角川新書 K-166				¥800	
978-4-04-082181-8	エンタテインメントの作り方	売れる小説はこう書く	貴志祐介 著			KADOKAWA		2017.10	232p	18cm		角川新書 K-169				¥800	
978-4-04-082183-2	核に縛られる日本		田井中雅人 著			KADOKAWA		2017.10	255p	18cm		角川新書 K-168				¥840	
978-4-04-105382-9	肉弾		河崎秋子 著			KADOKAWA		2017.10	252p	19cm						¥1600	
978-4-04-106091-9	剣姫、咲く 2		山高守人 著			KADOKAWA		2017.10	207p	18cm		角川コミックス・エース				¥580	
978-4-04-106092-6	であいもん 3		浅野りん 著			KADOKAWA		2017.10	177p	18cm		角川コミックス・エース				¥580	
978-4-04-106199-2	オーク探偵オーロック 2		碓井ツカサ 漫画	円居挽 原作		KADOKAWA		2017.10	191p	18cm		角川コミックス・エース				¥580	
978-4-04-106409-2	あゝ、荒野	写真集	森山大道 著			KADOKAWA		2017.10	1冊(ページ付なし)	22cm						¥2500	
978-4-04-733286-7	別冊てれびげーむマガジンスペシャル マインクラフトとびきりアドベンチャー号					Gzブレイン	KADOKAWA	2017.10	66p	28cm	DVDビデオディスク(1枚 12cm)	エンターブレインムック				¥925	
978-4-04-733287-4	オトメイトマガジン vol.31					Gzブレイン	KADOKAWA	2017.9	63p	26cm		エンターブレインムック			『戦刻ナイトブラッド』&『オトメイトチャンネル』大特集!	¥1900	
978-4-04-733289-8	てれびげーむマガジン 2017-11月-12月					Gzブレイン	KADOKAWA	2017.9	104p	28cm	DVDビデオディスク(1枚 12cm)	エンターブレインムック				¥925	
978-4-04-734565-2	身体のリアル	Mamoru Oshii and Kazuko Mogami dialogue in the reality of the body	押井守 著	最上和子 著		KADOKAWA		2017.10	346p	19cm						¥1800	
978-4-04-734773-1	Star Creators!	〜YouTuberの本〜SWEET				KADOKAWA		2017.9	74p	30cm		エンターブレインムック				¥917	
978-4-04-734817-2	キレイにやせる!驚きの新常識50	NHK美と若さの新常識カラダのヒミツ	NHK「美と若さの新常識」取材班 編			KADOKAWA		2017.9	116p	26cm		エンターブレインムック				¥1300	
978-4-04-734843-1	ミレニアルズ 2017November	MILLENNIALS				KADOKAWA		2017.9	112p	30cm		エンターブレインムック				¥917	
978-4-04-734882-0	馬券に活かすサラブレッド父系入門					KADOKAWA		2017.9	129p	26cm		エンターブレインムック				¥1389	
978-4-04-893277-6	誰でもなれる!ラノベ主人公	オマエそれ大阪でも同じこと言えんの?	真代屋秀晃 著			KADOKAWA		2017.10	345p	15cm		電撃文庫 3320				¥650	
978-4-04-893396-4	幼馴染の山吹さん		道草よもぎ 著			KADOKAWA		2017.10	315p	15cm		電撃文庫 3317				¥630	
978-4-04-893399-5	キノの旅 21	the Beautiful World	時雨沢恵一 著			KADOKAWA		2017.10	235p	15cm		電撃文庫 3315				¥590	
978-4-04-893400-8	異世界が嫌いでもエルフの神様になれますか?	Disファンタジー・ディスコード	囲恭之介 著			KADOKAWA		2017.10	327p	15cm		電撃文庫 3321				¥630	
978-4-04-893401-5	ネトゲの嫁は女の子じゃないと思った? Lv.15		聴猫芝居 著			KADOKAWA		2017.10	337p	15cm		電撃文庫 3318				¥630	
978-4-04-893402-2	陰キャになりたい陽乃森さん Step1		岬鷺宮 著			KADOKAWA		2017.10	299p	15cm		電撃文庫 3322				¥610	
978-4-04-893403-9	境界線上のホライゾン 10上		川上稔 著			KADOKAWA		2017.10	785p	15cm		電撃文庫 3319	GENESISシリーズ			¥910	
978-4-04-893405-3	新約とある魔術の禁書目録 19		鎌池和馬 著			KADOKAWA		2017.10	376p	15cm		電撃文庫 3313				¥650	
978-4-04-893406-0	魔人執行官 3		佐島勤 著			KADOKAWA		2017.10	310p	15cm		電撃文庫 3314			スピリチュアル・エッセンス	¥630	
978-4-04-896039-7	花時間 2017秋号					KADOKAWA		2017.9	162p	29cm		角川SSCムック			大好きなバラといつも一緒に	¥1500	
978-4-04-896049-6	野菜たっぷりおかず					KADOKAWA		2017.9	127p	26cm		角川SSCムック	3分クッキング永久保存版シリーズ			¥1200	
978-4-04-896050-2	Disney Donald DuckふかふかブランケットBOOK					KADOKAWA		2017.9	1冊(ページ付なし)	30cm		角川SSCムック				¥1690	
978-4-04-896051-9	DisneyちいさなプリンセスソフィアふかふかブランケットBOOK					KADOKAWA		2017.9	18p	30cm		角川SSCムック				¥1590	
978-4-04-896104-2	関西本当にうまい肉					KADOKAWA		2017.9	104p	30cm		ウォーカームック No.785				¥750	
978-4-04-896106-6	食べれば運気がアップする!開運レシピ		中井耀香 監修			KADOKAWA		2017.9	96p	24cm		レタスクラブMOOK	レタスクラブの開運レシピシリーズ 1			¥1100	
978-4-04-896110-3	平塚Walker				完全保存版	KADOKAWA		2017.9	96p	30cm		ウォーカームック No.783	ひと駅ウォーカー			¥920	
978-4-04-896123-3	エウレカセブンWalker	映画3部作「交響詩篇エウレカセブンハイエボリューション1」公式ガイド	ボンズ 監修	交響詩篇エウレカセブンハイエボリューション1製作委員会 監修		KADOKAWA		c2017	122p	26cm		ウォーカームック				¥1800	
978-4-04-898313-6	spoon.2Di vol.30					プレビジョン	KADOKAWA	2017.9	80p	30cm		KADOKAWA MOOK No.716				¥1157	
978-4-05-204670-4	おかしなおつかい		萩原ゆか 絵	ささがわいさむ 作		学研プラス		2017.10	1冊(ページ付なし)	19×24cm						¥980	
978-4-05-204710-7	いぶくろちゃん	ライブえほん	平田景 え	平田昌広 さく		学研プラス		2017.10	1冊(ページ付なし)	22cm						¥1000	
978-4-05-304657-4	レピピアルマリオスタディブック 小5	算 国 理 社 英				学研プラス		2017.10	151p	21cm						¥1400	
978-4-05-304658-1	レピピアルマリオスタディブック 小6	算 国 理 社 英				学研プラス		2017.10	151p	21cm						¥1400	
978-4-05-304685-7	宮本算数教室の教材賢くなるたんていパズル国語と算数をのばす推理 むずかしい	小学校全学年用	宮本哲也 著			学研プラス		2017.10	1冊(ページ付なし)	19×26cm						¥650	
978-4-05-406587-1	たのしいプログラミング!	マイクラキッズのための超入門	小笠原種高 著	大澤文孝 著		学研プラス		2017.10	207p	24cm						¥2300	
978-4-05-611220-7	神クラフターになれる!建築マスターガイド	絶対つくれるマインクラフト設計図つき				学研プラス		2017.10	191p	21cm		GAKKEN COMPUTER MOOK				¥990	
978-4-05-611255-9	買い物いらずのラクうまレシピ480品	家にあるものだけでスグ作れる! 12食材をフル活用!			保存版	学研プラス		2017.10	160p	26cm		Gakken Hit Mook	学研のお料理レシピ			¥830	
978-4-05-611272-6	長生きパズルで脳活性110問ドリル	スラスラ解こう	島田達生 監修			学研プラス		2017.10	135p	30cm		GAKKEN MOOK				¥830	
978-4-05-611276-4	超絶スキルアップ!サッカー足ワザDVD	スーパースターの勝てるテク50				学研プラス		2017.10	113p	21cm	DVDビデオディスク(1枚 12cm)	GAKKEN SPORTS MOOK				¥852	
978-4-05-611277-1	エクセル&ワード&パワポ+エクセル関数基本&便利ワザまるわかり	最新バージョン2016対応				学研プラス		2017.10	242p	26cm		Gakken Computer Mook				¥980	
978-4-05-611278-8	Men's Voice FLUORITE					学研プラス		2017.10	97p	30cm		Gakken Mook				¥2000	
978-4-05-611281-8	難問ロジックコレクション 10					学研プラス		2017.10	90p	26cm		GAKKEN MOOK				¥780	
978-4-05-611284-9	メガミマガジンRX COLLECTION 1					学研プラス		2017.10	187p	26cm		学研ムック				¥1600	
978-4-05-611286-3	ループコースパズル傑作プレミアム					学研プラス		2017.10	82p	26cm		学研ムック	学研パズル			¥843	
978-4-06-133328-4	アントンせんせいあかちゃんです		西村敏雄 作			講談社		2017.10	32p	27cm		講談社の創作絵本				¥1300	
978-4-06-220299-2	スター・ウォーズ フォースの覚醒のなかまたち100		講談社 編集	老田勝 文		講談社		2017.9	103p	13cm		ディズニーブックス	ディズニー幼児絵本			¥880	
978-4-06-220701-0	サンタちゃん		ひこ・田中 作	こはらかずの 絵		講談社		2017.10	38p	20cm						¥1300	
978-4-06-220733-1	ディズニーたっぷりあそべる!ツムさがし		講談社 編集			講談社		2017.9	1冊(ページ付なし)	12×12cm		ディズニーブックス				¥650	
978-4-06-220761-4	スター・ウォーズの武器100		講談社 編集	老田勝 文		講談社		2017.9	103p	13cm		ディズニーブックス	ディズニー幼児絵本			¥880	
978-4-06-220774-4	ホーンテッドマンションのすべて		ジェイソン・サーレル 著	小宮山みのり 訳		講談社		2017.10	132p	28cm						¥3900	
978-4-06-220786-7	羊毛フェルトで刺す絵画「タブレーヌ」		福田りお 著			講談社		2017.9	95p	15×21cm						¥1300	
978-4-06-220789-8	#びちょびちょ	橋本マナミ	向山裕信 撮影			講談社		2017.9	1冊(ページ付なし)	30cm						¥3200	
978-4-06-220816-1	夫の後始末		曽野綾子 著			講談社		2017.10	236p	18cm						¥926	
978-4-06-220827-7	友情	平尾誠二と山中伸弥「最後の一年」	山中伸弥 著	平尾誠二 著		講談社		2017.10	208p	19cm						¥1300	
978-4-06-259719-7	うちの子はADHD	反抗期で超たいへん!	かなしろにゃんこ。 著	田中康雄 監修		講談社		2017.10	140p	21cm		こころライブラリー				¥1300	
978-4-06-262764-1	ちいさなプリンセスソフィア クローバーといっしょ	2〜4歳向け	斎藤妙子 構成・文			講談社		2017.9	1冊(ページ付なし)	27cm		ディズニーゴールド絵本				¥490	
978-4-06-283246-5	走れ!ヒットン	運動会小説	須藤靖貴 著			講談社		2017.10	254p	20cm		講談社・文学の扉				¥1400	
978-4-06-286960-7	囮-探偵助手は忙しい		高岡ミズミ 著			講談社		2017.10	237p	15cm		講談社X文庫 たF-24	white heart			¥660	
978-4-06-286963-8	強引な恋の虜	魔女は騎士に騙される	火崎勇 著			講談社		2017.10	248p	15cm		講談社X文庫 ひE-13	white heart			¥690	
978-4-06-286965-2	恋する救命救急医	アンビバレンツなふたり	春原いずみ 著			講談社		2017.10	285p	15cm		講談社X文庫 すA-03	white heart			¥660	
978-4-06-286966-9	誓いはウィーンで		樹生かなめ 著			講談社		2017.10	244p	15cm		講談社X文庫 きD-42	white heart	龍の宿敵、華の嵐 2		¥660	
978-4-06-291508-3	東京と神戸に核ミサイルが落ちたとき所沢と大阪はどうなる		兵頭二十八 著			講談社		2017.10	204p	18cm		講談社+α新書 686-3C				¥840	
978-4-06-299037-0	南柯の夢		椹野道流 著			講談社		2017.10	221p	18cm		講談社ノベルス フI-08	鬼籍通覧 8			¥880	
978-4-06-299106-3	十津川警部山手線の恋人		西村京太郎 著			講談社		2017.10	176p	18cm		講談社ノベルス ニB-65				¥800	
978-4-06-299107-0	鉄路の牢獄		豊田巧 著			講談社		2017.10	204p	18cm		講談社ノベルス トI-02	警視庁鉄道捜査班 2			¥880	
978-4-06-299109-4	鉄道探偵団	まぼろしの踊り子号	倉阪鬼一郎 著			講談社		2017.10	213p	18cm		講談社ノベルス クL-14				¥920	
978-4-06-299110-0	東海道新幹線殺人事件		葵瞬一郎 著			講談社		2017.10	220p	18cm		講談社ノベルス アAL-01				¥880	
978-4-06-299881-9	コリ、むくみ、冷えをギューッと吸い出す!解毒玉	ゲルマニウムチップ入り	村木宏衣 監修			講談社		2017.9	35p	21cm		講談社の実用BOOK				¥1380	
978-4-06-299883-3	さよさんの「きれいが続く」収納レッスン	片づけやすさのカギは、グッズ活用術にある!	小西紗代 著			講談社		2017.10	127p	21cm		講談社の実用BOOK				¥1200	
978-4-06-344689-0	仮面ライダービルドなぞとふしぎ130					講談社		2017.9	25p	21cm		講談社のテレビ絵本 1689	テレビマガジン			¥620	
978-4-06-344695-1	仮面ライダーブットバソウル超メダルコレクションずかん					講談社		2017.10	41p	15×15cm		講談社のテレビ絵本 1695				¥740	
978-4-06-365025-9	ゆーげん画集	アウトブレイク・カンパニー萌える侵略者	ゆーげん イラスト	榊一郎 小説原作		講談社		2017.9	133p	30cm						¥3300	
978-4-06-365042-6	自称!平凡魔族の英雄ライフ 2	B級魔族なのにチートダンジョンを作ってしまった結果	あまうい白一 著	卵の黄身 画		講談社		2017.9	286p	19cm		Kラノベブックス				¥1200	
978-4-06-366743-1	バスマガジン vol.85	バス好きのためのバス総合情報誌				講談社		2017.9	114p	30cm		バスマガジンMOOK			ニュー・日野セレガフルステージ試乗	¥1430	
978-4-06-377574-7	水木しげる漫画大全集 019	MIZUKI SHIGERU Collection of comics perfection	水木しげる 著			講談社		2017.10	561p	21cm					貸本戦記漫画集 6	¥2800	
978-4-06-377585-3	水木しげる漫画大全集 044	MIZUKI SHIGERU Collection of comics perfection	水木しげる 著			講談社		2017.10	609p	21cm					ゲゲゲの鬼太郎 16	¥2700	
978-4-06-380946-6	あのなつ。 4		チカ			講談社		2017.10				ARIA				¥581	
978-4-06-380947-3	魔法じかけのプリンス 1		椿木とりか			講談社		2017.10				ARIA				¥581	
978-4-06-380948-0	矢野くんに推し変はできない! 1		吉田ばな			講談社		2017.10				ARIA				¥581	
978-4-06-380949-7	僕らとひとつ屋根の下 1	番町ボーイズ☆Backstage	くまだゆか			講談社		2017.10				ARIA				¥581	
978-4-06-380950-3	ツツジモリ 1	遺品整理始末録	naked ape			講談社		2017.10				ARIA				¥581	
978-4-06-380951-0	保坂先生の愛のむち 2		車谷晴子			講談社		2017.10				ARIA				¥581	
978-4-06-380952-7	犬鷲百桃はゆるがない 2		小嶋ララ子			講談社		2017.10				ARIA				¥581	
978-4-06-380953-4	赤豹のサンクチュアリ 1		猫目トーチカ			講談社		2017.10				BE LOVE				¥581	
978-4-06-380954-1	社畜フランケン		鳥屋			講談社		2017.10				BE LOVE				¥581	
978-4-06-380955-8	能面女子の花子さん 3	Noh Masked High School Girl Hanako	織田涼 著			講談社		2017.10	159p	19cm		KCx 455	ITAN			¥581	
978-4-06-380956-5	鬼喰い少女と月梟 1		茂木清香			講談社		2017.10				BE LOVE				¥581	
978-4-06-380957-2	超能力者と恋におちる 1		上機しほ			講談社		2017.10				Kiss				¥581	
978-4-06-380958-9	戦国ヴァンプ 5		ほおのきソラ			講談社		2017.10				ARIA				¥581	
978-4-06-381627-3	僕の文芸部にビッチがいるなんてありえない。 10		赤福大和 著			講談社		2017.9	274p	15cm		講談社ラノベ文庫 あ-12-2-10				¥620	
978-4-06-381628-0	真面目系クズくんと、真面目にクズやってるクズちゃん#クズ活		持崎湯葉 著			講談社		2017.9	299p	15cm		講談社ラノベ文庫 も-3-3-1				¥630	
978-4-06-388290-2	ぐらんぶる 9	GRAND BLUE	吉岡公威 漫画	井上堅二 原作		講談社		2017.10	191p	19cm		アフタヌーンKC 1590				¥590	
978-4-06-388291-9	はねバド! 11	The Badminton play of Ayano Hanesaki!	濱田浩輔 著			講談社		2017.10	193p	19cm		アフタヌーンKC 1591				¥600	
978-4-06-388292-6	小路花唄 2		麻生みこと 著			講談社		2017.10	175p	19cm		アフタヌーンKC 1592				¥590	
978-4-06-388293-3	ブタイゼミ 2		みかわ絵子			講談社		2017.10				アフタヌーン				¥650	
978-4-06-388973-4	チャギントンシールえほん	あつまれ!ゆかいなチャガーたち				講談社		2017.9	9p	21×22cm		講談社おともだちシールブック 73				¥730	
978-4-06-390731-5	恋愛ハーレムゲーム終了のお知らせがくる頃に 2		緋賀ゆかり 漫画	竜騎士07 原作		講談社		2017.10				月刊少年シリウス				¥600	
978-4-06-390732-2	異世界支配のスキルテイカー 3	ゼロから始める奴隷ハーレム	笠原巴 漫画	柑橘ゆすら 原作		講談社		2017.10				月刊少年シリウス				¥600	
978-4-06-390733-9	マクロスΔ 3		タツヲ 漫画	河森正治 監修		講談社		2017.10				月刊少年シリウス				¥600	
978-4-06-391085-8	キノの旅the Beautiful World 2		シオミヤイルカ 漫画	時雨沢恵一 原作		講談社		2017.10				エッジ				¥650	
978-4-06-391552-5	ゆずのどうぶつカルテ 3	こちら わんニャンどうぶつ病院	伊藤みんご			講談社		2017.10				なかよし				¥429	
978-4-06-393263-8	コミック&アニメ公式ガイド鬼灯の冷徹鬼灯なんでも入門		江口夏実 監修	モーニング編集部 監修		講談社		2017.10				KCDX				¥920	
978-4-06-393289-8	NEMESIS #36(2017)					講談社		2017.10				シリウスKCDX				¥787	
978-4-06-393290-4	ITAN 40号					講談社		2017.10				講談社KCDX				¥500	
978-4-06-399958-7	Richesse No.21(2017FALL)					ハースト婦人画報社	講談社	2017.9	353p	31cm		FG MOOK			夢見るヴェネツィア	¥1296	
978-4-06-509403-7	ハローキティのたべるのだいすき!	はってはがせるシールえほん	サンリオ 著			講談社		2017.9	9p	21cm		げんきの絵本	ハローキティとなかまたち			¥650	
978-4-06-509404-4	ミッフィーのトイレはみがきできたよ!		ディック・ブルーナ 絵			講談社		2017.9	1冊(ページ付なし)	12×12cm		げんきの絵本	しつけえほんプチ			¥550	
978-4-06-509566-9	ダース・ベイダーステッカー&ポストカード集	DARTH VADER Sticker & Postcard Book	講談社 編			講談社		2017.9	16枚	14cm		ディズニーブックス	ディズニーシール絵本			¥880	
978-4-06-510134-6	殺さざる者、生くべからず 2		中丸洋介			講談社		2017.10				ヤングマガジン				¥580	
978-4-06-510194-0	男子バド部に女子が紛れてる-シークレットバドミントンクラブ- 5		にいさとる			講談社		2017.10				週刊少年マガジン				¥429	
978-4-06-510196-4	私人警察 1		小川亮			講談社		2017.10				週刊少年マガジン				¥429	
978-4-06-510206-0	捕食者の牙 2	イーターズ・ファング	浦山歩			講談社		2017.10				週刊少年マガジン				¥429	
978-4-06-510215-2	赤松健画集	Collected Paintings of KEN AKAMATSU	赤松健 著			講談社		2017.10	92p	30cm						¥2500	
978-4-06-510231-2	皆様の玩具です 01		石井康之			講談社		2017.10				週刊少年マガジン				¥429	
978-4-06-510233-6	異常者の愛 2		千田大輔			講談社		2017.10				週刊少年マガジン				¥429	
978-4-06-510234-3	骨が腐るまで 5		内海八重			講談社		2017.10				週刊少年マガジン				¥429	
978-4-06-510236-7	魔王遭難中!!! 2	愉快な仲間達を添えて	遠田マリモ			講談社		2017.10				週刊少年マガジン				¥429	
978-4-06-510239-8	アホガール 10		ヒロユキ			講談社		2017.10				週刊少年マガジン	SHONEN MAGAZINE COMICS			¥429	
978-4-06-510240-4	トモダチゲーム VOL.10		佐藤友生 漫画	山口ミコト 原作		講談社		2017.10	191p	18cm		講談社コミックスマガジン KCM6038	SHONEN MAGAZINE COMICS			¥429	
978-4-06-510241-1	君が死ぬ夏に 5		大柴健 著			講談社		2017.10	191p	18cm		講談社コミックスマガジン KCM6039	Shonen Magazine Comics			¥429	
978-4-06-510247-3	鉤月のオルタ 1		麻日隆			講談社		2017.10				週刊少年マガジン				¥560	
978-4-06-510251-0	彼岸島48日後… 13		松本光司			講談社		2017.10				ヤングマガジン				¥580	
978-4-06-510252-7	SEVEN☆STAR MEN SOUL 3		柳内大樹			講談社		2017.10				ヤングマガジン				¥580	
978-4-06-510253-4	本阿弥ストラット 2		玉井雪雄			講談社		2017.10				ヤングマガジン				¥602	
