ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
	腫瘍内科 第20巻第3号(2017年9月)	CLINICAL ONCOLOGY	腫瘍内科編集委員会 編集			科学評論社		2017.9	p181〜258	26cm					特集乳がんに対する新しい診断法や治療法	¥3000	
	精神科 Vol.31No.4(2017Oct.)	PSYCHIATRY	精神科編集委員会 編集			科学評論社		2017.10	p275〜390	26cm					特集Ⅰ精神科医が知っておきたい緩和ケアの基本 特集Ⅱ宗教と精神医学 特集Ⅲ周産期のメンタルケア	¥3000	
	文部科学関係法人名鑑 平成29年度版				限定版	官庁通信社		2017.9	745p	22cm						¥7500	
	法令全書 平成29年8月号		国立印刷局 編集			国立印刷局		2017.9	590, 2p	26cm						¥7000	
	日経産業新聞縮刷版 2017年8月号					日本経済新聞社	日本経済新聞出版社	2017.9	410, 29p	29cm						¥6200	
	日経流通新聞縮刷版 2017年7-8月号					日本経済新聞社	日本経済新聞出版社	2017.9	440, 54p	29cm						¥5800	
	昇降機・遊戯施設定期検査業務基準書 2017年版		日本建築設備・昇降機センター 編集	国土交通省住宅局建築指導課 編集協力		日本建築設備・昇降機センター		2017.9	680p	30cm						¥4630	
	アジ研ワールド・トレンド No.264(2017-10月号)	発展途上国の明日を展望する分析情報誌	日本貿易振興機構アジア経済研究所研究支援部 編集			日本貿易振興機構アジア経済研究所研究支援部		2017.9	42p	29cm					特集新興国における新しい農業経営	¥600	
	法と民主主義 NO.521(2017-8/9)					日本民主法律家協会		2017.9	52p	26cm					特集「安倍9条改憲」に抗して	¥1000	
	北海道新聞縮刷版 2017年8月号					北海道新聞社		2017.9	40, 1426p	28cm						¥6190	
	読売新聞縮刷版 2017-8					読売新聞東京本社		2017.9	20, 1382p	28cm						¥5524	
978-4-00-022096-5	実践日々のアナキズム	世界に抗う土着の秩序の作り方	ジェームズ・C.スコット 著	清水展 訳		岩波書店		2017.9	195, 4p	20cm						¥2800	
978-4-00-024885-3	民法の基礎から学ぶ民法改正		山本敬三 著			岩波書店		2017.9	171p	21cm						¥1200	
978-4-00-028269-7	ロシア革命とソ連の世紀 4		松戸清裕 編集委員	浅岡善治 編集委員		岩波書店		2017.9	314, 16p	22cm					人間と文化の革新	¥3700	
978-4-00-061209-8	岩波文庫解説総目録 1927〜2016		岩波文庫編集部 編			岩波書店		2017.9	1287p	20cm						¥4500	
978-4-00-061220-3	誰の健康が優先されるのか	医療資源の倫理学	グレッグ・ボグナー 著	イワオ・ヒロセ 著		岩波書店		2017.9	293, 11p	20cm						¥3700	
978-4-00-061221-0	偽装の被爆国	核を捨てられない日本	太田昌克 著			岩波書店		2017.9	196p	19cm						¥1700	
978-4-01-051009-4	大学の真の実力情報公開BOOK 2018年度用					旺文社		2017.9	445p	30cm		旺文社ムック				¥2300	
978-4-02-190759-3	かぎ針で編む和柄のざぶとん					アップルミンツ	朝日新聞出版	2017.10	63p	26cm		Asahi Original 771				¥1400	
978-4-02-190760-9	コロコロかわいいくす玉折り紙		小林一夫 監修			アップルミンツ	朝日新聞出版	2017.10	80p	26cm		Asahi Original 772				¥1500	
978-4-02-251492-9	北斎への招待		朝日新聞出版 編	内藤正人 監修		朝日新聞出版		2017.10	111p	26cm						¥1500	
978-4-02-251493-6	エッグマン	EGG MAN	辻仁成 著			朝日新聞出版		2017.10	253p	20cm						¥1600	
