ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
978-4-01-094838-5	短期完成英検2級3回過去問集 2017-2018年対応	文部科学省後援				旺文社		2017.9	103p	21cm	録音ディスク(2枚 12cm)	旺文社英検書				¥1300	
978-4-01-094839-2	短期完成英検準2級3回過去問集 2017-2108年対応	文部科学省後援				旺文社		2017.9	93p	21cm	録音ディスク(2枚 12cm)	旺文社英検書				¥1200	
978-4-01-094840-8	短期完成英検3級3回過去問集 2017-2018年対応	文部科学省後援				旺文社		2017.9	93p	21cm	録音ディスク(2枚 12cm)	旺文社英検書				¥1200	
978-4-01-094841-5	短期完成英検4級3回過去問集 2017-2018年対応	文部科学省後援				旺文社		2017.9	79p	21cm	録音ディスク(2枚 12cm)	旺文社英検書				¥1000	
978-4-01-094842-2	短期完成英検5級3回過去問集 2017-2018年対応	文部科学省後援				旺文社		2017.9	70p	21cm	録音ディスク(1枚 12cm)	旺文社英検書				¥1000	
978-4-02-273094-7	人間関係の疲れをとる技術	自衛隊メンタル教官が教える	下園壮太 著			朝日新聞出版		2017.9	270p	18cm		朝日新書 630				¥780	
978-4-02-273731-1	職業としての地下アイドル		姫乃たま 著			朝日新聞出版		2017.9	269p	18cm		朝日新書 631				¥780	
978-4-02-273732-8	山本直純と小澤征爾		柴田克彦 著			朝日新聞出版		2017.9	247p	18cm		朝日新書 632				¥780	
978-4-02-273733-5	発達障害を仕事に活かす		星野仁彦 著			朝日新聞出版		2017.9	292p	18cm		朝日新書 633				¥820	
978-4-03-345430-6	にちようびは名探偵		杉山亮 作	中川大輔 絵		偕成社		2017.9	144p	22cm		ミルキー杉山のあなたも名探偵シリーズ 19				¥1000	
978-4-03-509050-2	写真で見る星と伝説	秋と冬の星	野尻抱影 文	八板康麿 写真		偕成社		2017.9	127p	25cm						¥1600	
978-4-04-069317-0	遺産ゲーム		藤原一裕 著			KADOKAWA		2017.9	174p	19cm						¥1350	
978-4-04-069385-9	三日月骨董品店の看板猫		所ケメコ 著			KADOKAWA		2017.9	160p	19cm		fleur comics				¥680	
978-4-04-069421-4	そうしそうあい 4	mutual love	りべるむ 著			KADOKAWA		2017.9	150p	19cm		MFCジーンピクシブシリーズ				¥600	
978-4-04-069426-9	おそ松さん公式アンソロジーコミックケモケモ		赤塚不二夫 原作	おそ松さん製作委員会 監修		KADOKAWA		2017.9				MFコミックス	ジーンシリーズ			¥600	
978-4-04-069427-6	おそ松さん公式アンソロジーコミックゲスゲス		赤塚不二夫 原作	おそ松さん製作委員会 監修		KADOKAWA		2017.9	128p	19cm		MFCジーンピクシブシリーズ				¥600	
978-4-04-069435-1	おそ松さん公式アンソロジーコミック呑んだくれ		赤塚不二夫 原作	おそ松さん製作委員会 監修		KADOKAWA		2017.9	140p	19cm		MFC				¥600	
978-4-04-069443-6	日の当たらない場所 3		たつもとみお 著			KADOKAWA		2017.9	139p	19cm		fleur comics				¥680	
978-4-04-069444-3	東雲さん、いつまでいるの?		水稀たま 著			KADOKAWA		2017.9	161p	19cm		fleur comics				¥680	
978-4-04-070526-2	東京レイヴンズ 15		あざの耕平 著			KADOKAWA		2017.9	406p	15cm		富士見ファンタジア文庫 あ-2-5-15			ShamaniC DawN	¥640	
978-4-04-072297-9	始まりの魔法使い 2		石之宮カント 著			KADOKAWA		2017.9	349p	15cm		富士見ファンタジア文庫 い-8-1-2			言葉の時代	¥640	
978-4-04-072301-3	オンリーセンス・オンライン 13	Only Sense Online	アロハ座長 著			KADOKAWA		2017.9	284p	15cm		富士見ファンタジア文庫 あ-7-1-13				¥600	
978-4-04-072302-0	非オタの彼女が俺の持ってるエロゲに興味津々なんだが… 6		滝沢慧 著			KADOKAWA		2017.9	316p	15cm		富士見ファンタジア文庫 た-12-1-6				¥600	
978-4-04-072306-8	織田信奈の野望 19	全国版	春日みかげ 著			KADOKAWA		2017.9	367p	15cm		富士見ファンタジア文庫 か-11-2-19				¥640	
978-4-04-072372-3	ゲーマーズ!DLC	GAMERS DLC	葵せきな 著			KADOKAWA		2017.9	269p	15cm		富士見ファンタジア文庫 あ-3-6-1				¥600	
978-4-04-072397-6	寺嫁さんのおもてなし	和カフェであやかし癒やします	華藤えれな 著			KADOKAWA		2017.9	270p	15cm		富士見L文庫 か-7-1-1				¥620	
978-4-04-072416-4	セブンキャストのひきこもり魔術王 5		岬かつみ 著			KADOKAWA		2017.9	349p	15cm		富士見ファンタジア文庫 み-8-2-5				¥680	
978-4-04-072431-7	オール・ジョブ・ザ・ワールド	ALL JOB THE WORLD	百瀬祐一郎 著			KADOKAWA		2017.9	329p	15cm		富士見ファンタジア文庫 も-2-1-1				¥600	
978-4-04-072446-1	紅霞後宮物語 第0幕2		雪村花菜 著			KADOKAWA		2017.9	254p	15cm		富士見L文庫 ゆ-2-2-2			運命の胎動	¥600	
978-4-04-072447-8	春華とりかえ抄	榮国物語	一石月下 著			KADOKAWA		2017.9	318p	15cm		富士見L文庫 い-3-4-1				¥620	
978-4-04-072448-5	お弁当代行屋さんの届けもの		妃川螢 著			KADOKAWA		2017.9	251p	15cm		富士見L文庫 ひ-1-4-1				¥600	
978-4-04-072449-2	君と綴った約束ノート		古河樹 著			KADOKAWA		2017.9	246p	15cm		富士見L文庫 ふ-3-1-1				¥580	
978-4-04-072451-5	世界神話大殲	神話創世RPGアマデウスゴッドデータブック	河嶋陶一朗 著	冒険企画局 著		KADOKAWA		2017.9	127p	26cm						¥3500	
978-4-04-072453-9	エイジ・オブ・グリモワール		北沢慶 監修	田中公侍 著		KADOKAWA		2017.9	183p	26cm		ソード・ワールド2.0サプリメント	SW2.0RPG			¥3600	
978-4-04-072489-8	モンスター・ファクトリー	左遷騎士が始める魔物牧場物語	アロハ座長 著			KADOKAWA		2017.9	309p	15cm		富士見ファンタジア文庫 あ-7-3-1				¥600	
978-4-04-105273-0	鬼の家		花房観音 著			KADOKAWA		2017.9	222p	19cm						¥1550	
978-4-04-105587-8	小説野性時代 VOL.167(2017OCTOBER)					KADOKAWA		2017.9	497p	21cm		カドカワ文芸ムック 169			読切東野圭吾 初野晴 新連載赤川次郎 澤田瞳子 対談島本理生×松本潤	¥796	
978-4-04-105809-1	ブラタモリ 9		NHK「ブラタモリ」制作班 監修			KADOKAWA		2017.9	135p	21cm					平泉 新潟 佐渡 広島 宮島	¥1400	
978-4-04-105810-7	ブラタモリ 10		NHK「ブラタモリ」制作班 監修			KADOKAWA		2017.9	135p	21cm					富士の樹海 富士山麓 大阪 大坂城 知床	¥1400	
978-4-04-105884-8	新海誠絵コンテ集 2	STORYBOARD BY MAKOTO SHINKAI	新海誠 著			KADOKAWA		2017.9	639p	21cm					君の名は。	¥3400	
978-4-04-105954-8	34歳無職父さんの東大受験日記	メメント1993	両角長彦 著			KADOKAWA		2017.9	254p	19cm						¥1400	
978-4-04-106104-6	おそ松さん公式アンソロジーコミック祭り		赤塚不二夫 原作	おそ松さん製作委員会 監修		KADOKAWA		2017.9	138p	19cm		あすかコミックスDX				¥600	
978-4-04-106185-5	スター・ウォーズ新たなる希望40周年記念スペシャル	STAR WARS A NEW HOPE:OFFICIAL CELEBRATION SPECIAL	ウォルト・ディズニー・ジャパン株式会社 監修			KADOKAWA		2017.9	103p	28cm						¥2800	
978-4-04-256060-9	美人上司とダンジョンに潜るのは残業ですか?		七菜なな 著			KADOKAWA		2017.9	321p	15cm		ノベルゼロ な02-01				¥680	
978-4-04-601957-8	仕事の生産性が上がるトヨタの習慣	Daily Practices to improve Productivity and Efficiency:THE TOYOTA WAY	OJTソリューションズ 著			KADOKAWA		2017.9	222p	19cm						¥1400	
978-4-04-601972-1	世界一わかりやすい京大の英語合格講座		原田健作 著		改訂版	KADOKAWA		2017.9	383p	21cm		人気大学過去問シリーズ				¥1900	
978-4-04-602088-8	誰も書かなかった西郷隆盛の謎		徳永和喜 監修			KADOKAWA		2017.9	222p	15cm		中経の文庫 C56				¥640	
978-4-04-602089-5	幕末明治鹿児島県謎解き散歩		徳永和喜 監修			KADOKAWA		2017.9	223p	15cm		中経の文庫 C57				¥720	
978-4-04-602130-4	はじめて講師を頼まれたら読む本		大谷由里子 著		最新版	KADOKAWA		2017.9	239p	19cm						¥1400	
978-4-04-631694-3	カブキブ! 2		榎田ユウリ 作	十峯なるせ 絵		KADOKAWA		2017.9	263p	18cm		角川つばさ文庫 Bえ1-2			カブキブVS.演劇部!	¥780	
978-4-04-631700-1	らくがき☆ポリス 3		まひる 作	立樹まや 絵		KADOKAWA		2017.9	196p	18cm		角川つばさ文庫 Aま4-3			流れ星に願うなら!?	¥660	
978-4-04-631737-7	モンスターハンターストーリーズ 2	MONSTER HUNTER STORIES	前田圭士 作	布施龍太 絵		KADOKAWA		2017.9	167p	18cm		角川つばさ文庫 Cま2-12			新たな絆	¥680	
978-4-04-631740-7	世界一クラブ	最強の小学生、あつまる!	大空なつき 作	明菜 絵		KADOKAWA		2017.9	214p	18cm		角川つばさ文庫 Aお2-1				¥640	
978-4-04-631744-5	ナミヤ雑貨店の奇蹟		東野圭吾 作	よん 絵		KADOKAWA		2017.9	398p	18cm		角川つばさ文庫 Bひ1-1				¥780	
978-4-04-733264-5	あんさんぶるスターズ!公式ビジュアルファンブック vol.2					Gzブレイン	KADOKAWA	2017.9	247p	30cm		B'sLOG COLLECTION				¥3500	
978-4-04-734625-3	星明かりグラフィクス 01	HOSHIAKARI GRAPHICS	山本和音 著			KADOKAWA		2017.9	192p	19cm		HARTA COMIX				¥620	
978-4-04-734628-4	ヒナまつり 13		大武政夫 著			KADOKAWA		2017.9	190p	19cm		HARTA COMIX				¥620	
978-4-04-734632-1	サーカスの娘オルガ 1	Чирк девушки Ольга	山本ルンルン 著			KADOKAWA		2017.9	192p	19cm		HARTA COMIX				¥620	
978-4-04-734703-8	サクラダリセット 1	SAGRADA RESET	乃花タツ 漫画	河野裕 原作・脚本		KADOKAWA		2017.9	134p	19cm		ファミ通クリアコミックス				¥650	
978-4-04-734708-3	後宮で、女の戦いはじめました。		汐邑雛 著			KADOKAWA		2017.9	284p	15cm		ビーズログ文庫 し-7-04	なんちゃってシンデレラ 4	王都迷宮編		¥620	
978-4-04-734753-3	悪役令嬢としてヒロインと婚約者をくっつけようと思うのですが、うまくいきません…。		枳莎 著			KADOKAWA		2017.9	253p	15cm		ビーズログ文庫アリス き-4-01				¥620	
978-4-04-734756-4	きみは、まだ知らない	YOU DON'T KNOW YET	彩月ユリィ 著			KADOKAWA		2017.9	156p	19cm		B's‐LOVEY COMICS				¥680	
978-4-04-734757-1	無欲なボクの不貞行為		鳥生莉世 著			KADOKAWA		2017.9	142p	19cm		B's‐LOVEY COMICS				¥680	
978-4-04-734758-8	おそ松さん公式アンソロジー〜コント松集〜		赤塚不二夫 原作	おそ松さん製作委員会 監修		KADOKAWA		2017.9	1冊(ページ付なし)	19cm		ビーズログコミックス				¥600	
978-4-04-734761-8	艦隊これくしょん-艦これ-アンソロジーコミック 横須賀鎮守府編18					KADOKAWA		2017.9	136p	19cm		ファミ通クリアコミックス				¥650	
978-4-04-734762-5	おへんろ。 高知〜愛媛編	寄り道コミック!!	寺本薫 漫画	ufotable 原作		KADOKAWA		2017.9	135p	19cm		ファミ通クリアコミックス				¥680	
978-4-04-734763-2	おへんろ。 愛媛〜香川編	寄り道コミック!!!	寺本薫 漫画	ufotable 原作		KADOKAWA		2017.9	144p	19cm		ファミ通クリアコミックス				¥680	
978-4-04-734776-2	A子さんの恋人 4	A‐ko's Boyfriends	近藤聡乃 著			KADOKAWA		2017.9	208p	19cm		HARTA COMIX				¥620	
978-4-04-734801-1	異世界トリップしたその場で食べられちゃいました		五十鈴スミレ 著			KADOKAWA		2017.9	286p	15cm		ビーズログ文庫 い-3-01				¥640	
978-4-04-734803-5	令嬢エリザベスの華麗なる身代わり生活		江本マシメサ 著			KADOKAWA		2017.9	286p	15cm		ビーズログ文庫 え-1-01				¥640	
978-4-04-734805-9	悪の2代目になんてなりません!		西台もか 著			KADOKAWA		2017.9	253p	15cm		ビーズログ文庫アリス に-1-03				¥620	
978-4-04-734806-6	委員長は××がお好き		穂兎ここあ 著			KADOKAWA		2017.9	255p	15cm		ビーズログ文庫アリス ほ-3-02				¥620	
978-4-04-876462-9	黙示	句集	有馬朗人 著			角川文化振興財団	KADOKAWA	2017.8	225p	20cm						¥2700	
978-4-04-876475-9	世界はこの体一つ分	歌集	川口慈子 著			角川文化振興財団	KADOKAWA	2017.8	180p	20cm		かりん叢書 314				¥2600	
978-4-04-892867-0	ドリトル先生航海記		ヒュー・ロフティング 作	河合祥一郎 編訳		KADOKAWA		2017.9	141p	21cm		100年後も読まれる名作 5				¥880	
978-4-04-893326-1	おそ松さん公式アンソロジーコミックこぼれ話集 2		赤塚不二夫 原作	おそ松さん製作委員会 監修		KADOKAWA		2017.9	140p	19cm		シルフコミックス S-74-2				¥600	
978-4-04-896025-0	SNSで夢を叶える	ニートだった私の人生を変えた発信力の育て方	ゆうこす 著			KADOKAWA		2017.9	187p	19cm						¥1300	
978-4-04-896052-6	盛りつけエブリデイ	普通の料理がセンスよくおいしそうに見える	植木俊裕 著			KADOKAWA		2017.9	95p	15×21cm						¥1300	
978-4-04-896066-3	読者が選んだ“くり返し作りたい”「作りおきおかず」がギュッと一冊に!					KADOKAWA		2017.9	66p	30cm		レタスクラブMOOK	レタスクラブで人気のくり返し作りたいベストシリーズ vol.4			¥390	
978-4-04-896069-4	柴犬3兄弟ひなあおそら	わんダフルに生きる31の言葉	yu matsu 著			KADOKAWA		2017.9	95p	20cm						¥1080	
978-4-05-204575-2	なぜ?の図鑑 からだ		阿部和厚 監修			学研プラス		2017.9	126p	27cm						¥1900	
978-4-05-204666-7	0さいだもんポケットいないいないばあ!	いないいないばあ 親子のふれあい				学研プラス		2017.9	28p	16cm		ふれあい親子のほん				¥800	
978-4-05-204667-4	1さいだもんポケットとことこみつけた	いないいないばあ ものの認識				学研プラス		2017.9	30p	16cm		ふれあい親子のほん				¥850	
978-4-05-204668-1	2さいだもんポケットはじめてずかん	セレクト95語 ものの名前 くり返し認識				学研プラス		2017.9	30p	16cm		ふれあい親子のほん				¥850	
978-4-05-204669-8	3さいだもんポケットものしりずかん	8ジャンル150語 英語つき ひらがな				学研プラス		2017.9	36p	16cm		ふれあい親子のほん				¥900	
978-4-05-204707-7	魔法医トリシアの冒険カルテ 4		南房秀久 著	小笠原智史 絵		学研プラス		2017.9	175p	19cm					飛空城とつばさの指輪	¥820	
978-4-05-611275-7	新脳が活性化する100日間パズル 4		川島隆太 監修			学研プラス		2017.9	160p	26cm		学研ムック	元気脳練習帳			¥780	
978-4-06-133329-1	ぼく、ママとけっこんする!	ママがおばけになっちゃった!	のぶみ さく			講談社		2017.9	32p	24cm		講談社の創作絵本				¥1200	
978-4-06-133337-6	しあわせ		いもとようこ 作			講談社		2017.9	23p	25×25cm		講談社の創作絵本				¥1400	
978-4-06-156513-5	テレロボティクスから学ぶロボットシステム		松日楽信人 著			講談社		2017.9	151p	21cm						¥2700	
978-4-06-156564-7	はじめての微分積分15講		小寺平治 著			講談社		2017.9	159p	21cm						¥2200	
978-4-06-199654-0	ディズニープリンセス 大好きな人のために	眠れる森の美女〜完ぺきな一日〜 アラジン〜金貨をさがして〜	ウェンディ・ロッジア 文	サラ・ネイサン 文		講談社		2017.9	188p	18cm		講談社KK文庫 A22-12				¥680	
978-4-06-220448-4	アントマン		アレックス・アーヴァイン ノベル	ペイトン・リード 監督		講談社		2017.9	199p	18cm						¥880	
978-4-06-220704-1	NHKダーウィンが来た! D-8	生きもの新伝説	NHK「ダーウィンが来た!」 原作	講談社 編纂	新装版	講談社		2017.9	123p	21cm		発見!マンガ図鑑			なぞの珍獣大集合編	¥950	
978-4-06-220734-8	うっかりの玉		大久保雨咲 作	陣崎草子 絵		講談社		2017.9	107p	19cm						¥1300	
978-4-06-220750-8	銀河鉄道の父		門井慶喜 著			講談社		2017.9	408p	20cm						¥1600	
978-4-06-220764-5	この世界の私をそこから見たら		CHIE 著	のぶみ 絵		講談社		2017.9	175p	19cm						¥1204	
978-4-06-258662-7	丸山眞男の憂鬱		橋爪大三郎 著			講談社		2017.9	299p	19cm		講談社選書メチエ 659				¥1800	
978-4-06-258663-4	凱旋門と活人画の風俗史	儚きスペクタクルの力	京谷啓徳 著			講談社		2017.9	325p	19cm		講談社選書メチエ 660				¥1850	
978-4-06-290358-5	文芸的な、余りに文芸的な/饒舌録ほか	芥川vs.谷崎論争	芥川龍之介 著	谷崎潤一郎 著		講談社		2017.9	312p	16cm		講談社文芸文庫 あH3				¥1600	
978-4-06-290359-2	三木清文芸批評集		三木清 著	大澤聡 編		講談社		2017.9	307p	16cm		講談社文芸文庫 みL4				¥1550	
978-4-06-290360-8	天窓のあるガレージ		日野啓三 著			講談社		2017.9	264p	16cm		講談社文芸文庫 ひA7				¥1550	
978-4-06-292446-7	江戸の大普請	徳川都市計画の詩学	タイモン・スクリーチ 著	森下正昭 訳		講談社		2017.9	277p	15cm		講談社学術文庫 2446				¥960	
978-4-06-292447-4	『快楽の園』を読む	ヒエロニムス・ボスの図像学	神原正明 著			講談社		2017.9	349p	15cm		講談社学術文庫 2447				¥1150	
978-4-06-292448-1	葉隠 上	新校訂全訳注	菅野覚明 訳・注・校訂	栗原剛 訳・注・校訂		講談社		2017.9	644p	15cm		講談社学術文庫 2448				¥1750	
978-4-06-292451-1	水滸伝 1		井波律子 訳			講談社		2017.9	715p	15cm		講談社学術文庫 2451				¥1850	
978-4-06-292456-6	宗教改革三大文書	付「九五箇条の提題」	マルティン・ルター 著	深井智朗 訳		講談社		2017.9	437p	15cm		講談社学術文庫 2456				¥1300	
978-4-06-292466-5	地中海世界とローマ帝国		本村凌二 著			講談社		2017.9	397p	15cm		講談社学術文庫 2466	興亡の世界史			¥1230	
978-4-06-293637-8	華鬼		梨沙 著			講談社		2017.9	339p	15cm		講談社文庫 り12-1				¥680	
978-4-06-293657-6	サイタ×サイタ	EXPLOSIVE	森博嗣 著			講談社		2017.9	377p	15cm		講談社文庫 も28-69	Xシリーズ 5			¥720	
978-4-06-293665-1	明日の色		新野剛志 著			講談社		2017.9	469p	15cm		講談社文庫 し67-5				¥860	
978-4-06-293729-0	STプロフェッション		今野敏 著			講談社		2017.9	332p	15cm		講談社文庫 こ25-49	ST警視庁科学特捜班			¥660	
978-4-06-293742-9	逆島断雄 進駐官養成高校の決闘編2		石田衣良 著			講談社		2017.9	387p	15cm		講談社文庫 い101-7				¥740	
978-4-06-293748-1	連城三紀彦レジェンド 2	傑作ミステリー集	連城三紀彦 著	綾辻行人 ほか編		講談社		2017.9	308p	15cm		講談社文庫 れ1-12				¥660	
978-4-06-293749-8	影のクロス	監察特任刑事	姉小路祐 著			講談社		2017.9	381p	15cm		講談社文庫 あ62-23				¥720	
978-4-06-293750-4	怪盗グリフィン対ラトウィッジ機関		法月綸太郎 著			講談社		2017.9	369p	15cm		講談社文庫 の7-14				¥720	
978-4-06-293751-1	虹の歯ブラシ	上木らいち発散	早坂吝 著			講談社		2017.9	371p	15cm		講談社文庫 は110-2				¥720	
978-4-06-293753-5	怖い中国食品、不気味なアメリカ食品		奥野修司 著	徳山大樹 著		講談社		2017.9	353p	15cm		講談社文庫 お100-3				¥740	
978-4-06-293755-9	伽藍堂の殺人〜Banach‐Tarski Paradox〜		周木律 著			講談社		2017.9	418p	15cm		講談社文庫 し111-4				¥800	
978-4-06-293756-6	湖底の城 6	呉越春秋	宮城谷昌光 著			講談社		2017.9	289p	15cm		講談社文庫 み34-25				¥630	
978-4-06-293757-3	賢帝と逆臣と	康煕帝と三藩の乱	小前亮 著			講談社		2017.9	399p	15cm		講談社文庫 こ72-8				¥760	
978-4-06-293758-0	シュークリーム・パニック		倉知淳 著			講談社		2017.9	572p	15cm		講談社文庫 く43-5				¥920	
978-4-06-293759-7	一つ屋根の下の探偵たち		森川智喜 著			講談社		2017.9	333p	15cm		講談社文庫 も52-4				¥680	
978-4-06-293761-0	弱虫日記		足立紳 著			講談社		2017.9	256p	15cm		講談社文庫 あ136-1				¥610	
978-4-06-293762-7	恋と噓	映画ノベライズ	有沢ゆう希 著	ムサヲ 原作		講談社		2017.9	208p	15cm		講談社文庫 あ137-1				¥580	
978-4-06-293765-8	悪道 五右衛門の復讐		森村誠一 著			講談社		2017.9	466p	15cm		講談社文庫 も1-101				¥820	
978-4-06-293766-5	七回死んだ男		西澤保彦 著		新装版	講談社		2017.9	391p	15cm		講談社文庫 に24-21				¥720	
978-4-06-293767-2	ねこの証明		森村誠一 著			講談社		2017.9	251p	15cm		講談社文庫 も1-100				¥630	
978-4-06-293772-6	木嶋佳苗100日裁判傍聴記	佐藤優対談収録完全版	北原みのり 著			講談社		2017.9	277p	15cm		講談社文庫 き63-2				¥680	
978-4-06-293773-3	戦いすんで日が暮れて		佐藤愛子 著		新装版	講談社		2017.9	292p	15cm		講談社文庫 さ6-5				¥640	
978-4-06-314881-7	小説明日のナージャ	16歳の旅立ち	金春智子 著	東堂いづみ 原作		講談社		2017.9	281p	15cm		講談社キャラクター文庫 026				¥680	
978-4-06-337868-9	ねこ色保健室 1		松本ひで吉			講談社		2017.9				なかよし			つかまえて癒す	¥850	
978-4-06-344687-6	仮面ライダービルド	ビルドアップ!さいきょうライダー				講談社		2017.9	36p	15×15cm		講談社のテレビ絵本 1687	テレビマガジン			¥640	
978-4-06-348684-1	ディズニーNAVI'17ハロウィーンspecial	ロマンティックハロウィーン★	講談社 編			講談社		2017.9	80p	29cm		1週間MOOK				¥800	
978-4-06-365029-7	ストレイバレットベイベー	Stray bullet baby	市川けい 著			講談社		2017.9	191p	19cm		Honey Milk Comics				¥680	
978-4-06-365030-3	交じりあう僕等		カズ 著			講談社		2017.9	173p	19cm		Honey Milk Comics				¥650	
978-4-06-365031-0	気ままなアイツを飼いならせ		ぴい 著			講談社		2017.9	173p	19cm		Honey Milk Comics				¥650	
978-4-06-365919-1	お世話係はままならない 2		栄羽弥			講談社		2017.9				デザート				¥460	
978-4-06-365922-1	恋わずらいのエリー 5		藤もも 著			講談社		2017.9	164p	18cm		KCデザート 922				¥429	
978-4-06-365923-8	藤もも初期作品集		藤もも			講談社		2017.9				デザート				¥429	
978-4-06-365927-6	3D彼女リアルガール 4		那波マオ		新装版	講談社		2017.9				デザート				¥429	
978-4-06-365928-3	3D彼女リアルガール 5		那波マオ		新装版	講談社		2017.9				デザート				¥429	
978-4-06-365929-0	3D彼女リアルガール 6		那波マオ		新装版	講談社		2017.9				デザート				¥429	
978-4-06-365930-6	好きっていいなよ。 18		葉月かなえ 著			講談社		2017.9	1冊	18cm		KCデザート 930				¥429	
978-4-06-365931-3	ライアー×ライアー 10	Liar×Liar	金田一蓮十郎 著			講談社		2017.9	187p	18cm		KCデザート 931				¥429	
978-4-06-366656-4	フルロード VOL.26(2017Autumn)	ベストカーのトラックマガジン				講談社		2017.9	96p	30cm					特集新型クオンの魅力と実力を試す!	¥1200	
978-4-06-369581-6	クズとメガネと文学少女<偽> 1		谷川ニコ 著			星海社	講談社	2017.9	127p	19cm		星海社COMICS	ツイ4			¥640	
978-4-06-369582-3	空の境界 7	the Garden of sinners	天空すふぃあ 著	奈須きのこ 原作		星海社	講談社	2017.9	175p	19cm		星海社COMICS				¥640	
978-4-06-385043-7	ヤング島耕作 主任編1	Young Shima Kosaku	弘兼憲史 著			講談社		2017.9	271p	15cm		講談社漫画文庫 ひ1-91				¥750	
978-4-06-385044-4	ヤング島耕作 主任編2	Young Shima Kosaku	弘兼憲史 著			講談社		2017.9	271p	15cm		講談社漫画文庫 ひ1-92				¥750	
978-4-06-385045-1	ヤング島耕作 主任編3	Young Shima Kosaku	弘兼憲史 著			講談社		2017.9	263p	15cm		講談社漫画文庫 ひ1-93				¥750	
978-4-06-389219-2	25ans Wedding 結婚準備スタート2018春					ハースト婦人画報社	講談社	2017発売	263p	30cm		FG MOOK			最高にハッピーなウエディングのつくり方	¥1500	
978-4-06-391082-7	グリモワールの庭 4		はる桜菜			講談社		2017.9				エッジ				¥650	
978-4-06-391551-8	氷山くんは家庭教師 2		三月トモコ			講談社		2017.9				なかよし				¥429	
978-4-06-392129-8	黒崎くんの言いなりになんてならない 10		マキノ			講談社		2017.9				別冊フレンド				¥429	
978-4-06-392130-4	黒王子の言いなりになりたい		マキノ ほか			講談社		2017.9				別冊フレンド	BETSUFURE LOVE COLLECTION			¥457	
978-4-06-392131-1	PとJK 10		三次マキ 著			講談社		2017.9	175p	18cm		講談社コミックス別冊フレンド 2131				¥429	
978-4-06-392132-8	LOVEとJK	三次マキ初期作品集	三次マキ			講談社		2017.9				別冊フレンド				¥429	
978-4-06-392602-6	カンブリア 3		渡嘉敷拓			講談社		2017.9				月刊少年マガジン				¥429	
978-4-06-392603-3	スーパーアルバイター伝説ムラサメ 1		隆原ヒロタ			講談社		2017.9				月刊少年マガジン				¥429	
978-4-06-392604-0	龍狼伝 王霸立国編2		山原義人			講談社		2017.9				月刊少年マガジン				¥429	
978-4-06-393039-9	小説不思議の国のフェアリーテイル		華南恋 著	真島ヒロ 原作・イラスト		講談社		2017.9				KCDX				¥680	
978-4-06-393266-9	カードキャプターさくら クリアカード編3		CLAMP 著			講談社		2017.9	159p	18cm		KCデラックス 4366				¥429	
978-4-06-393271-3	傘寿まり子 4		おざわゆき			講談社		2017.9				BE LOVE				¥580	
978-4-06-394554-6	ピーチガールNEXT 3		上田美和			講談社		2017.9				BE LOVE				¥429	
