ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
	消化器・肝臓内科 Vol.2No.2(2017Aug.)	Gastroenterology & Hepatology	消化器・肝臓内科編集委員会 編集			科学評論社		2017.8	p125〜228	26cm					特集Ⅰ慢性便秘アップデート 特集Ⅱアルコールと消化器疾患	¥3000	
	腎臓内科・泌尿器科 Vol.6No.3(2017Sept.)	Nephrology & Urology	腎臓内科・泌尿器科編集委員会 編集			科学評論社		2017.9	p165〜272	26cm					特集腎泌尿器疾患の移行期医療	¥3000	
	ペインクリニック Vol.38No.9(2017.9)	痛みの専門誌				真興交易株式会社医書出版部		2017.9	p1149〜1273	26cm					特集・ペインクリニック開業医から-あんな話・こんな話-	¥2286	
	会社四季報 2018年上期	未上場会社版				東洋経済新報社		2017.10	1539p	18cm		東洋経済別冊 臨時増刊				¥2574	
	国文学年次別論文集 上代1平成25(2013)年		学術文献刊行会 編集			朋文出版		2017.8	392p	18×26cm						¥9800	
978-4-00-011403-5	岩波講座日本経済の歴史 3		深尾京司 編集	中村尚史 編集		岩波書店		2017.9	295p	22cm					近代 1	¥3800	
978-4-00-029665-6	はしかの脅威と驚異		山内一也 著			岩波書店		2017.9	110, 7p	19cm		岩波科学ライブラリー 265				¥1200	
978-4-00-061217-3	私たちの星で		梨木香歩 著	師岡カリーマ・エルサムニー 著		岩波書店		2017.9	168p	20cm						¥1400	
978-4-00-270972-7	メディアに操作される憲法改正国民投票		本間龍 著			岩波書店		2017.9	52, 12p	21cm		岩波ブックレット No.972				¥520	
978-4-00-270973-4	《自粛社会》をのりこえる	「慰安婦」写真展中止事件と「表現の自由」	安世鴻 編	李春煕 編		岩波書店		2017.9	77p	21cm		岩波ブックレット No.973				¥620	
978-4-01-094837-8	短期完成英検準1級3回過去問集 2017-2018年対応	文部科学省後援				旺文社		2017.9	109p	21cm	録音ディスク(2枚 12cm)	旺文社英検書				¥1800	
