ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
978-4-01-034415-6	医学部の英語	長文読解	三浦淳一 著			旺文社		2017.9	159p	21cm						¥2500	
978-4-01-034426-2	古文読解・演習ドリル		山下幸穂 著			旺文社		2017.9	110p	26cm		基礎からのジャンプアップノート				¥740	
978-4-02-190757-9	かぎ針編みのクリスマス雑貨					アップルミンツ	朝日新聞出版	2017.10	63p	26cm		Asahi Original 769	セレクトコレクション			¥1400	
978-4-02-190758-6	かぎ針で編むフェアアイルこもの					アップルミンツ	朝日新聞出版	2017.10	63p	26cm		Asahi Original 770				¥1400	
978-4-02-275529-2	真田太平記 9		細川忠孝 漫画	池波正太郎 原作		朝日新聞出版		2017.9	190p	19cm		ASAHIコミックス				¥600	
978-4-02-277536-8	医学部に入る 2018	医師になるための基礎&実戦対策				朝日新聞出版		2017.9	226p	26cm		週刊朝日MOOK				¥1200	
978-4-02-278259-5	東京カフェ 2018	Tokyo CAFE GUIDE	朝日新聞出版 編集			朝日新聞出版		2017.10	111p	26cm		ASAHI ORIGINAL	C&Life		カフェSNAP最前線。	¥900	
978-4-02-279164-1	京都橘大学by AERA	飛べ、まっすぐ。				朝日新聞出版		2017.10	89p	29cm		AERAムック				¥840	
978-4-03-629890-7	思いちがいの言葉		山口理 著			偕成社		2017.10	143p	22cm		国語おもしろ発見クラブ				¥1500	
978-4-03-727260-9	まっすぐな地平線		森島いずみ 著			偕成社		2017.10	140p	20cm						¥1200	
978-4-03-814430-1	街角には物語が…		高楼方子 作	出久根育 絵		偕成社		2017.10	164p	20cm						¥1400	
978-4-04-069202-9	アブソリュート・デュオ VOLUME4		成家慎一郎 作画	柊★たくみ 原作		KADOKAWA		2017.6				MFコミックスアライブシリーズ				¥550	
978-4-04-069266-1	お嬢様たちには秘密です。		草加ハルヒ 著			KADOKAWA		2017.9	105p	19cm		MFCジーンピクシブシリーズ				¥680	
978-4-04-069302-6	お嬢様はアイスがお好き。 1	The Lady Loves Ice Cream	はなこ 著			KADOKAWA		2017.9	122p	19cm		MFCキューンシリーズ				¥600	
978-4-04-069307-1	ハイスクール・フリート ローレライの乙女たち 3		槌居 著	AAS 原作		KADOKAWA		2017.9				MFコミックスアライブシリーズ				¥550	
978-4-04-069368-2	緋弾のアリア 16		こよかよしの	赤松中学 原作		KADOKAWA		2017.9				MFコミックスアライブシリーズ				¥550	
978-4-04-069378-1	ガールズ&パンツァー フェイズエリカ 2		才谷屋龍一 漫画	ガールズ&パンツァー劇場版製作委員会 原作		KADOKAWA		2017.9				MFコミックス	フラッパーシリーズ			¥600	
978-4-04-069382-8	うちの猫がまた変なことしてる。 3		卵山玉子 著			KADOKAWA		2017.9	173p	21cm		メディアファクトリーのコミックエッセイ				¥1100	
978-4-04-069414-6	盾の勇者の成り上がり 9		藍屋球	アネコユサギ 原作		KADOKAWA		2017.9				MFコミックス	フラッパーシリーズ			¥600	
978-4-04-069415-3	ちおちゃんの通学路 7		川崎直孝			KADOKAWA		2017.9				MFコミックス	フラッパーシリーズ			¥600	
978-4-04-069418-4	無職転生 7	異世界行ったら本気だす	フジカワユカ	理不尽な孫の手 原作		KADOKAWA		2017.9				MFコミックス	フラッパーシリーズ			¥600	
978-4-04-069420-7	戦刻ナイトブラッド 1		おの秋人 漫画	『戦刻ナイトブラッド』プロジェクト 原作		KADOKAWA		2017.9				MFコミックス	ジーンシリーズ			¥600	
978-4-04-069422-1	ガイコツ書店員本田さん 3		本田 著			KADOKAWA		2017.9	133p	19cm		MFCジーンピクシブシリーズ				¥550	
978-4-04-069423-8	あやかしパレードゲーム 2		霜月かいり			KADOKAWA		2017.9				MFコミックス	ジーンシリーズ			¥550	
978-4-04-069424-5	社畜に死神が憑く案件 1		くろたま 著			KADOKAWA		2017.9	161p	19cm		MFCジーンピクシブシリーズ				¥550	
978-4-04-069425-2	おとぎ話バトルロワイヤル 2	Otogibanashi Battle royal	稲空穂 漫画			KADOKAWA		2017.9	148p	19cm		MFCジーンピクシブシリーズ				¥550	
978-4-04-069429-0	明るい記憶喪失 2	Cheerful Amnesia	奥たまむし 著			KADOKAWA		2017.9	118p	19cm		MFCキューンシリーズ				¥600	
978-4-04-069430-6	今日も女の子を攻略した 2		むく 著			KADOKAWA		2017.9	115p	19cm		MFCキューンシリーズ				¥600	
978-4-04-069437-5	この素晴らしい世界に爆焰を! 4		森野カスミ	暁なつめ 原作		KADOKAWA		2017.9				MFコミックスアライブシリーズ				¥550	
978-4-04-069438-2	Re:ゼロから始める異世界生活 公式アンソロジーコミック 2		長月達平 原作			KADOKAWA		2017.9				MFコミックスアライブシリーズ				¥650	
978-4-04-069440-5	あの娘にキスと白百合を 7		缶乃			KADOKAWA		2017.9				MFコミックスアライブシリーズ				¥550	
978-4-04-069445-0	ぼくらの選択 1		漣ミサ 著			KADOKAWA		2017.9				MFコミックス	ジーンシリーズ			¥550	
978-4-04-069446-7	てぃ先生 6	My teacher Mr.T	ゆくえ高那 漫画	てぃ先生 原作		KADOKAWA		2017.9				MFコミックス	フラッパーシリーズ			¥550	
978-4-04-069452-8	ミュージアムの女		宇佐江みつこ 著			KADOKAWA		2017.9	134p	18cm						¥1200	
978-4-04-072464-5	とにかく書き出し解決術!	家事も、育児も、お金も、紙に書くだけでお悩みスッキリ!	うだひろえ 著			KADOKAWA		2017.9	122p	21cm						¥1000	
978-4-04-101927-6	僕たちのアラル		乾緑郎 著			KADOKAWA		2017.9	297p	20cm						¥1500	
978-4-04-104600-5	砂上		桜木紫乃 著			KADOKAWA		2017.9	220p	20cm						¥1500	
978-4-04-104658-6	終末なにしてますか?もう一度だけ、会えますか? #05		枯野瑛 著			KADOKAWA		2017.10	281p	15cm		角川スニーカー文庫 か-4-2-5				¥600	
978-4-04-105291-4	エクスタス・オンライン 04	ecstas online	久慈マサムネ 著			KADOKAWA		2017.10	303p	15cm		角川スニーカー文庫 く-1-2-4			ぼっち魔王とチート神は偽りの友情を結ぶ	¥620	
978-4-04-105626-4	けがれの汀で恋い慕え		結城光流 著			KADOKAWA		2017.10	255p	15cm		角川ビーンズ文庫 BB16-64	少年陰陽師 51	厳霊編 3		¥600	
978-4-04-105660-8	ゲーム・プレイング・ロール ver.2	GAME PLAYING ROLE	木村心一 著			KADOKAWA		2017.10	271p	15cm		角川スニーカー文庫 き-1-2-2			妹が邪神になりまして。	¥640	
978-4-04-105719-3	西郷の首		伊東潤 著			KADOKAWA		2017.9	475p	20cm						¥1800	
978-4-04-105822-0	フリーライフ〜異世界何でも屋奮闘記〜 2		気がつけば毛玉 著			KADOKAWA		2017.10	302p	15cm		角川スニーカー文庫 き-3-3-2				¥620	
978-4-04-105914-2	ライセカミカ 1		瀬川はじめ 著			KADOKAWA		2017.9	210p	18cm		角川コミックス・エース				¥580	
978-4-04-105944-9	1999年の王		加藤元 著			KADOKAWA		2017.9	222p	19cm						¥1400	
978-4-04-105960-9	スーパーカブ 2	Super Cub	トネ・コーケン 著			KADOKAWA		2017.10	254p	15cm		角川スニーカー文庫 と-2-1-2				¥620	
978-4-04-105962-3	ミリオン・クラウン 1	MILLION CROWN	竜ノ湖太郎 著			KADOKAWA		2017.10	319p	15cm		角川スニーカー文庫 た-3-3-1				¥620	
978-4-04-105967-8	美魔は花泉にたゆたう		鴇六連 著			KADOKAWA		2017.10	271p	15cm		角川ルビー文庫 R158-12	ドラゴンギルド			¥680	
978-4-04-105981-4	VOICE Newtype No.065	オール撮り下ろし声優グラビアマガジン				KADOKAWA		2017.9	102p	30cm		カドカワムック 712			<特集>「アイドルマスターSideM」Jupiter 岡本信彦 花江夏樹 斉藤壮馬ほか	¥1204	
978-4-04-105994-4	東京レイヴンズ 15		鈴見敦 漫画	あざの耕平 原作		KADOKAWA		2017.9	205p	18cm		角川コミックス・エース				¥580	
978-4-04-106035-3	戦刻ナイトブラッド	上杉の陣〜掌中之珠〜	三津留ゆう 著	『戦刻ナイトブラッド』プロジェクト 原作		KADOKAWA		2017.10	218p	15cm		角川ビーンズ文庫 BB126-1				¥580	
978-4-04-106038-4	一華後宮料理帖 第5品		三川みり 著			KADOKAWA		2017.10	255p	15cm		角川ビーンズ文庫 BB73-30				¥600	
978-4-04-106066-7	アバローのプリンセスエレナ	エレナとアバローのひみつ				KADOKAWA		2017.9	79p	27cm		角川アニメ絵本				¥1600	
978-4-04-106087-2	ロクでなし魔術講師と禁忌教典 6		常深アオサ 漫画	羊太郎 原作		KADOKAWA		2017.9	159p	18cm		角川コミックス・エース				¥580	
978-4-04-106088-9	情けない僕らの色恋模様 2		茅なや 著			KADOKAWA		2017.9	169p	18cm		角川コミックス・エース				¥580	
978-4-04-106089-6	銀のヴェンデッタ 2		天羽銀 著			KADOKAWA		2017.9	176p	18cm		角川コミックス・エース				¥580	
978-4-04-106096-4	東方鈴奈庵 7	Forbidden Scrollery	春河もえ 漫画	ZUN 原作		KADOKAWA		2017.9	150p	21cm		Kadokawa Comics	単行本コミックス			¥780	
978-4-04-106106-0	ユートピアダーリン	UTOPIA DARLING	超涼閑筆報 著			KADOKAWA		2017.9	190p	19cm		あすかコミックスCL-DX				¥600	
978-4-04-106113-8	ハートの主張		香坂茉里 著	HoneyWorks 原案		KADOKAWA		2017.10	240p	15cm		角川ビーンズ文庫 BB501-8	告白予行練習 7			¥580	
978-4-04-106115-2	僕がモンスターになった日		時田とおる 著	れるりり 原案		KADOKAWA		2017.10	269p	15cm		角川ビーンズ文庫 BB510-1				¥600	
978-4-04-106116-9	時めきたるは、月の竜王	竜宮輝夜記	糸森環 著			KADOKAWA		2017.10	254p	15cm		角川ビーンズ文庫 BB83-20				¥600	
978-4-04-106120-6	人気俳優の初恋独占欲		佐倉温 著			KADOKAWA		2017.10	236p	15cm		角川ルビー文庫 R176-8				¥620	
978-4-04-106123-7	雪豹公爵としっぽの約束		成瀬かの 著			KADOKAWA		2017.10	222p	15cm		角川ルビー文庫 R152-6				¥620	
978-4-04-106126-8	サラリーマン田中K一がゆく!		田中圭一 著		新装版	KADOKAWA		2017.9	170p	21cm						¥1000	
978-4-04-106127-5	マンガ家田中K一がゆく!		田中圭一 著		新装版	KADOKAWA		2017.9	172p	21cm						¥1000	
978-4-04-106129-9	治癒魔法の間違った使い方 1	戦場を駆ける回復要員	九我山レキ 漫画	くろかた 原作		KADOKAWA		2017.9	190p	18cm		角川コミックス・エース				¥580	
978-4-04-106180-0	猫たちの色メガネ	THE WORLD ACCORDING TO CATS	浅生鴨 著			KADOKAWA		2017.9	254p	19cm						¥1500	
978-4-04-106182-4	悪い夏		染井為人 著			KADOKAWA		2017.9	329p	20cm						¥1500	
978-4-04-106195-4	櫻子さんの足下には死体が埋まっている	蝶は十一月に消えた	綾峰けう 漫画	太田紫織 原作		KADOKAWA		2017.9	174p	18cm		角川コミックス・エース				¥580	
978-4-04-106280-7	富士見二丁目交響楽団ベストアルバム 2		秋月こお 著			KADOKAWA		2017.10	721p	15cm		角川ルビー文庫 R23-81				¥1200	
978-4-04-601764-2	近すぎず、遠すぎず。	他人に振り回されない人付き合いの極意	枡野俊明 著			KADOKAWA		2017.9	205p	19cm						¥1400	
978-4-04-602015-4	大学4年間のマーケティングが10時間でざっと学べる		阿部誠 著			KADOKAWA		2017.9	221p	19cm						¥1500	
978-4-04-602017-8	上司からYESを引き出す!「即決される」資料作成術		柏木吉基 著			KADOKAWA		2017.9	191p	21cm						¥1400	
978-4-04-602102-1	仕事の「生産性」はドイツ人に学べ	「効率」が上がる、「休日」が増える	隅田貫 著			KADOKAWA		2017.9	222p	19cm						¥1400	
978-4-04-602108-3	オトナの一休さん		NHKオトナの一休さん制作班 著			KADOKAWA		2017.10	158p	19cm						¥1300	
978-4-04-602110-6	美少女作画	ゼロから学ぶプロの技	フライ 著	げみ 著		KADOKAWA		2017.9	143p	26cm		KITORA	神技作画シリーズ			¥1800	
978-4-04-602140-3	アラフィフでヘルパーはじめました		ゆるゆらり 著			KADOKAWA		2017.9	127p	21cm						¥1200	
978-4-04-602180-9	大阪天神橋昆布問屋の昆布水レシピ		喜多條清光 著		増補・改訂版	KADOKAWA		2017.9	95p	26cm						¥1350	
978-4-04-733280-5	艦これプレイ漫画艦々日和 8		水本正 著			Gzブレイン	KADOKAWA	2017.9	127p	21cm						¥800	
978-4-04-733283-6	ダンジョントラベラーズ2&2-2オフィシャルビジュアルコレクション	Dungeon Travelers 2&2-2 Official Visual Collection	ファミ通 責任編集			Gzブレイン	KADOKAWA	2017.9	319p	30cm						¥2700	
978-4-04-734727-4	もっと猫医者に訊け!		鈴木真 著	くるねこ大和 画		KADOKAWA		2017.9	149p	21cm						¥700	
978-4-04-734745-8	千年戦争アイギス 3	白の帝国編	むらさきゆきや 著			KADOKAWA		2017.9	250p	15cm		ファミ通文庫 S24-3-3				¥680	
978-4-04-734775-5	くるねこ 20		くるねこ大和 著			KADOKAWA		2017.9	255p	21cm						¥1000	
978-4-04-734777-9	賢者の孫 7		吉岡剛 著			KADOKAWA		2017.9	311p	15cm		ファミ通文庫 よ2-1-7			豪勇無双の英雄再臨	¥610	
978-4-04-734778-6	東京ダンジョンマスター	社畜勇者(28)は休めない	三島千廣 著			KADOKAWA		2017.9	314p	15cm		ファミ通文庫 み7-1-1				¥620	
978-4-04-734779-3	俺、「城」を育てる	可愛いあの子は無敵の要塞になりたいようです	富哉とみあ 著			KADOKAWA		2017.9	286p	15cm		ファミ通文庫 と7-1-1				¥600	
978-4-04-734781-6	女神の勇者を倒すゲスな方法 3		笹木さくま 著			KADOKAWA		2017.9	286p	15cm		ファミ通文庫 さ8-1-3			ボク、悪い邪神じゃないよ	¥630	
978-4-04-734783-0	誰にでもできる影から助ける魔王討伐 3		槻影 著	bob イラスト		KADOKAWA		2017.9	314p	19cm						¥1200	
978-4-04-734791-5	GRANBLUE FANTASY双剣の絆 2		兔ろうと 著	Cygames 原作		KADOKAWA		2017.9	1冊(ページ付なし)	19cm		ビーズログコミックス				¥620	
978-4-04-734792-2	夫の事情妻の秘密 2	HUSBAND'S CIRCUMSTANCES WIFE'S SECRET	青 著			KADOKAWA		2017.9	179p	19cm		ビーズログコミックス				¥620	
978-4-04-734794-6	B'sLOG COMIC 2017Autumn		睦月ムンク ほか作			KADOKAWA		2017.9	1冊	26cm		B'sLOG COMICS				¥680	
978-4-04-734809-7	けものフレンズアンソロジーコミック ジャパリカフェ編2		けものフレンズプロジェクト 原作	コミッククリア編集部 編		KADOKAWA		2017.9	120p	19cm		ファミ通クリアコミックス				¥650	
978-4-04-734811-0	曇天三茶生活	我、かく闘えり	いましろたかし 著			KADOKAWA		2017.9	178p	19cm		BEAM COMIX				¥860	
978-4-04-734841-7	クトゥルフ神話TRPG4コマゆるるいえ!		坂井サチ 漫画	内山靖二郎 原作		KADOKAWA		2017.9	120p	19cm						¥680	
978-4-04-734844-8	クトゥルフ神話TRPGクトゥルフ・コデックス	CALL OF CTHULHU	坂本雅之 編	アーカム・メンバーズ 編		KADOKAWA		2017.9	159p	26cm		ログインテーブルトークRPGシリーズ				¥3800	
978-4-04-734845-5	オーバーロード 12	OVERLORD	丸山くがね 著	so‐bin イラスト		KADOKAWA		2017.9	401p	19cm					聖王国の聖騎士 上	¥1000	
978-4-04-734846-2	異世界転生に感謝を 6	Thanks to the Parallel World	古河正次 著	六七質 イラスト		KADOKAWA		2017.9	471p	19cm						¥1200	
978-4-04-734847-9	LV999の村人 5	THE VILLAGERS OF LEVEL 999	星月子猫 著	ふーみ イラスト		KADOKAWA		2017.9	394p	19cm						¥1200	
978-4-04-734849-3	生き残り錬金術師は街で静かに暮らしたい 01	The survived alchemist with a dream of quiet town life	のの原兎太 著	ox 画		KADOKAWA		2017.9	397p	19cm						¥1200	
978-4-04-734851-6	語り部は悪魔と本を編む		川添枯美 著			KADOKAWA		2017.9	278p	15cm		ファミ通文庫 カ15-1-1				¥600	
978-4-04-734859-2	俺たちマジ校デストロイ 1		たなかマルメロ 著			KADOKAWA		2017.9	238p	19cm		ビーズログコミックス				¥680	
978-4-04-734860-8	俺たちマジ校デストロイ 1		たなかマルメロ 著		限定版	KADOKAWA		2017.9	238p	19cm		ビーズログコミックス				¥930	
978-4-04-876476-6	花高野	歌集	道浦母都子 著			角川文化振興財団	KADOKAWA	2017.9	231p	20cm						¥2600	
978-4-04-891984-5	ぼくが生まれてきたわけ		池川明 著	こうのみほこ 本文絵		KADOKAWA		2017.9	143p	19cm						¥1200	
978-4-04-892993-6	なぞなぞリラックマ	全222もん!!	キャラぱふぇ編集部 編集	サンエックス 監修		KADOKAWA		2017.10	79p	19cm		キャラぱふぇブックス				¥800	
978-4-04-893303-2	こいとうたたね 2		鳥生ちのり 著			KADOKAWA		2017.9	156p	19cm		電撃コミックスNEXT N189-02				¥570	
978-4-04-893315-5	Charlotte 4		池澤真 作画	津留崎優 作画		KADOKAWA		2017.9	127p	19cm		電撃コミックスNEXT N127-04				¥570	
978-4-04-893318-6	吸血鬼ちゃん×後輩ちゃん 1	Vampire & Junior	嵩乃朔 著			KADOKAWA		2017.9	174p	19cm		電撃コミックスNEXT N219-01				¥570	
978-4-04-893324-7	週刊アスキー特別編集2017秋の超お買物特大号	新iPhone & 激安デジモノを総力特集!!				KADOKAWA		2017.9	129p	28cm		アスキームック				¥639	
978-4-04-893342-1	シンデレラガールズ劇場 7	アイドルマスターシンデレラガールズ	バンダイナムコエンターテインメント 原作			KADOKAWA		2017.9	127p	21cm		Dengeki Comics EX DE220-7				¥920	
978-4-04-893349-0	ペルソナ4ジ・アルティマックスウルトラスープレックスホールド 3	PERSONA 4 The ULTIMAX ULTRA SUPLEX HOLD	斉藤ロクロ 著	アトラス 原作		KADOKAWA		2017.9	190p	19cm		電撃コミックスNEXT N059-04				¥570	
978-4-04-893350-6	昭和と師弟愛	植木等と歩いた43年	小松政夫 著			KADOKAWA		2017.9	222p	19cm						¥1400	
978-4-04-893361-2	ソードアート・オンライン-ホロウ・リアリゼーション- 2	SWORD ART ONLINE-HOLLOW REALIZATION-	緋呂河とも 漫画	川原礫 原作		KADOKAWA		2017.9	151p	19cm		電撃コミックスNEXT N198-02				¥570	
978-4-04-893365-0	ご主人様と獣耳の少女メル 2		伊藤ハチ 著			KADOKAWA		2017.9	158p	19cm		電撃コミックスNEXT N187-02				¥570	
978-4-04-893366-7	まったく最近の探偵ときたら 3		五十嵐正邦 著			KADOKAWA		2017.9	161p	19cm		電撃コミックスNEXT N167-03				¥570	
978-4-04-893367-4	銀河の死なない子供たちへ 上		施川ユウキ 著			KADOKAWA		2017.9	1冊(ページ付なし)	19cm		電撃コミックスNEXT N220-01				¥570	
978-4-04-893373-5	ガヴリールドロップアウト 5	Gabriel DropOut	うかみ 著			KADOKAWA		2017.9	129p	19cm		電撃コミックスNEXT N094-05				¥570	
978-4-04-893375-9	専門学校JK 1		ほっけ様 著	代々木アニメーション学院 協力		KADOKAWA		2017.9	143p	19cm		電撃コミックスNEXT N221-01				¥570	
978-4-04-893378-0	イングレス的日常 2	クロエさんの場合	新井春巻 漫画	Niantic,Inc. 原作・監修		KADOKAWA		2017.9	184p	19cm		電撃コミックスNEXT N192-02				¥570	
978-4-04-893379-7	INGRESS:TOKYO ANOMALY 2		木村太熊 漫画	Niantic,Inc. 原作・監修		KADOKAWA		2017.9	187p	19cm		電撃コミックスNEXT N191-02				¥570	
978-4-04-893419-0	悪魔のような国王陛下がピュアラブに目覚めた話	花嫁にメロメロでどうしようもない様子です!	粟生慧 著			KADOKAWA		2017.9	337p	15cm		ジュエル文庫 あ3-1				¥640	
978-4-04-893421-3	エロティクス・カイザー	買われた姫は皇帝の子を孕む	水戸泉 著			KADOKAWA		2017.9	312p	15cm		ジュエル文庫 み3-2				¥630	
978-4-04-893442-8	お女ヤン!! 11	イケメン★ヤンキー★パラダイス	貴里みち 作画	岬 原作		KADOKAWA		2017.9	1冊	19cm		魔法のiらんどCOMICS				¥580	
978-4-04-893447-3	よるのないくに2〜新月の花嫁〜公式コンプリートガイド		電撃ゲーム書籍編集部 編集			KADOKAWA		2017.9	143p	26cm						¥2200	
978-4-04-895964-3	HOGO猫		五十嵐健太 著			KADOKAWA		2017.9	80p	15×19cm						¥1000	
978-4-04-896057-1	人気料理家11人の本当においしいチーズケーキ					KADOKAWA		2017.9	95p	26cm						¥1300	
978-4-04-896076-2	賛否両論笠原将弘 鶏大事典		笠原将弘 著			KADOKAWA		2017.9	207p	26cm						¥2000	
978-4-04-896081-6	新房昭之Walker	打ち上げ花火、下から見るか?横から見るか?	新房昭之 監修			KADOKAWA		2017.9	159p	30cm		ウォーカームック No.767				¥3300	
978-4-04-896090-8	骨格診断アドバイザーNAOの本当に「似合う服」で人生が変わる		NAO 著			KADOKAWA		2017.9	110p	21cm						¥1300	
978-4-04-896098-4	ラーメンWalker東京 2018	東京23区+武蔵野・多摩 町田・立川・八王子・府中				KADOKAWA		2017.9	196p	30cm		ウォーカームック No.771				¥900	
978-4-04-898303-7	舞台「劇団シャイニングfromうたの☆プリンスさまっ『天下無敵の忍び道』」OFFICIAL VISUAL BOOK		spoon.2Di編集部 編			プレビジョン	KADOKAWA	2017.9	143p	25cm						¥2500	
978-4-05-204687-2	動物と話せる少女リリアーネ 12		タニヤ・シュテーブナー 著	中村智子 訳		学研プラス		2017.10	335p	19cm					サバンナの女王!	¥880	
978-4-05-204693-3	ちいさなプリンセスソフィアひらがな	3・4・5歳 ソフィアやなかまたちといっしょにまなぼう	榊原洋一 監修			学研プラス		2017.10	60p	21×30cm		学研わくわく知育ドリル				¥790	
978-4-05-204709-1	青空トランペット		吉野万理子 作	宮尾和孝 絵		学研プラス		2017.10	231p	20cm		ティーンズ文学館				¥1400	
978-4-05-406581-9	仕事力を高める記憶術・読書術	得た知識を自分のものにする!	仕事の教科書編集部 編			学研プラス		2017.10	129p	21cm		仕事の教科書mini				¥580	
978-4-05-406595-6	強運は「行動する人」だけが手に入れる		信長 著			学研プラス		2017.10	213p	19cm						¥1300	
978-4-05-406596-3	UFOとローマ法王、そして自然栽培	空飛ぶ円盤で日本を変えた男	高野誠鮮 著			学研プラス		2017.10	175p	19cm						¥1600	
978-4-05-406598-7	地球46億年の秘密がわかる本		地球科学研究倶楽部 編		決定版	学研プラス		2017.10	255p	19cm						¥600	
978-4-05-800797-6	鍋ごとオーブンで、ごちそう煮込み料理		上島亜紀 著			学研プラス		2017.10	127p	19×23cm						¥1300	
978-4-05-800811-9	幼保連携型認定こども園教育・保育要領ハンドブック	イラストたっぷりやさしく読み解く 2017年告示版	無藤隆 監修			学研教育みらい	学研プラス	2017.10	223p	21cm		Gakken保育Books				¥1700	
978-4-05-800833-1	まいにち食べたいスープごはん	チンするだけ、混ぜるだけ、煮込むだけでメインおかずに				学研プラス		2017.10	95p	21cm						¥1100	
978-4-06-195786-2	魔女バジルと闇の魔女		茂市久美子 作	よしざわけいこ 絵		講談社		2017.9	142p	22cm		わくわくライブラリー				¥1300	
978-4-06-220703-4	人生の役に立つ聖書の名言		佐藤優 著			講談社		2017.9	221p	19cm						¥1400	
978-4-06-220720-1	通りすがりのあなた		はあちゅう 著			講談社		2017.9	237p	19cm						¥1300	
978-4-06-220749-2	廓の媚学		菊地ひと美 著・絵			講談社		2017.9	123p	21cm						¥1850	
978-4-06-220753-9	カラスヤサトシの日本文学紀行		カラスヤサトシ 著			講談社		2017.9	206p	21cm						¥1200	
978-4-06-220757-7	マーク・デイヴィス作品集	ディズニー伝説の天才クリエーター キャラクターからアトラクションまで創造の軌跡を探る	マーク・デイヴィス 画	ジョン・ケインメーカー ほか文		講談社		2017.9	208p	29cm						¥4300	
978-4-06-220759-1	高架線		滝口悠生 著			講談社		2017.9	231p	20cm						¥1600	
978-4-06-220760-7	ホーンテッドマンション		ジェームス・ジラード 絵	海老根祐子 文		講談社		2017.9	33p	24×26cm						¥1800	
978-4-06-220765-2	作家別あの名画に会える美術館ガイド 江戸絵画篇		金子信久 著			講談社		2017.9	191p	21cm						¥2400	
978-4-06-220766-9	無駄のないクローゼットの作り方	暮らしも生き方も軽やかに	熊倉正子 著			講談社		2017.9	142p	19cm						¥1300	
978-4-06-220768-3	ストレスの脳科学	予防のヒントが見えてくる	田中正敏 著			講談社		2017.9	223p	19cm						¥1500	
978-4-06-220815-4	無意識の力を伸ばす8つの講義	実践・脳を活かす幸福学	前野隆司 著			講談社		2017.9	245p	19cm						¥1500	
