ISBN	タイトル	サブタイトル	著者	著者2	版表示	出版社	発売者	出版年月	ページ数等	大きさ	付属資料の種類と形態	シリーズ名・シリーズ番号	シリーズ名・シリーズ番号2	シリーズ名・シリーズ番号3	各巻のタイトル	本体価格	セット本体価格
	朝日新聞縮刷版 2017-8					朝日新聞社	朝日新聞出版	2017.9	55, 1290p	28cm						¥6000	
	呼吸器内科 Vol.32No.3(2017Sept.)	Respiratory Medicine	呼吸器内科編集委員会 編集			科学評論社		2017.9	p207〜306	26cm					特集世界が注目する疾患;特発性間質性肺炎・特発性肺線維症	¥3000	
	建築施工単価 '17-10秋	建築・改修・電気設備・機械設備工事費/ビルメンテナンス料金	経済調査会 編集			経済調査会		2017.10	29, 95, 688p	26cm		積算資料				¥4381	
	埼玉新聞縮刷版 平成29年8月号					埼玉新聞社		2017.9	586p	29cm						¥4444	
	ナチュリラ vol.39(2017秋号)	“ちょっといい毎日”を叶える大人の普段着				主婦と生活社		2017.9	113p	29cm					今こそ、似合う服を見直そう	¥907	
	中日新聞縮刷版 2017-8					中日新聞社		2017.9	1282, 8p	30cm						¥5524	
	会社財務カルテ 2018					東洋経済新報社		2017.10	1859p	26cm		Data Bank SERIES				¥24000	
	日本経済新聞縮刷版 2017-8					日本経済新聞社	日本経済新聞出版社	2017.9	1566, 85p	29cm						¥7300	
	環境備品マニュアル 2017年度版					フジタクト		2017.6	326p	26cm						¥9000	
	毎日新聞縮刷版 2017-8					毎日新聞社	毎日新聞出版	2017.9	48, 1204p	28cm						¥5741	
978-4-00-023065-0	残像のモダニズム	「共感のヒューマニズム」をめざして	槇文彦 著			岩波書店		2017.9	328p	22cm						¥5200	
978-4-00-024484-8	ハイパーソニック・エフェクト	HYPERSONIC EFFECT	大橋力 著			岩波書店		2017.9	537p	22cm						¥6400	
978-4-00-026504-1	シリーズ刑事司法を考える 第4巻		指宿信 編集委員	木谷明 編集委員		岩波書店		2017.9	301p	22cm					犯罪被害者と刑事司法	¥3600	
978-4-00-029207-8	思想としての言語		中島隆博 著			岩波書店		2017.9	246p	19cm		岩波現代全書 107				¥2300	
978-4-00-061218-0	「分かち合い」社会の構想	連帯と共助のために	神野直彦 編	井手英策 編		岩波書店		2017.9	240p	20cm						¥1900	
978-4-00-431676-3	日本の歴史を旅する		五味文彦 著			岩波書店		2017.9	248p	18cm		岩波新書 新赤版 1676				¥860	
978-4-00-431677-0	イギリス現代史		長谷川貴彦 著			岩波書店		2017.9	194, 20p	18cm		岩波新書 新赤版 1677				¥780	
978-4-00-431678-7	60歳からの外国語修行	メキシコに学ぶ	青山南 著			岩波書店		2017.9	236, 10p	18cm		岩波新書 新赤版 1678				¥820	
978-4-00-431679-4	抗生物質と人間	マイクロバイオームの危機	山本太郎 著			岩波書店		2017.9	170, 7p	18cm		岩波新書 新赤版 1679				¥760	
978-4-00-500860-5	自分のことがわかる本	ポジティブ・アプローチで描く未来	安部博枝 著			岩波書店		2017.9	166p	18cm		岩波ジュニア新書 860				¥800	
978-4-01-034409-5	漢字2500書き取り・読み方ドリル		佐藤喜一 著		改訂版	旺文社		2017.9	99p	26cm		基礎からのジャンプアップノート				¥740	
